Driver,DriverNumber,Team,LapNumber,Stint,Compound,TyreLife,FreshTyre,Position,TrackStatus,lap_time_s,time_s,lap_start_time_s,air_temp_c,track_temp_c,humidity_pct,rainfall,is_in_lap,is_out_lap,is_missing_laptime,is_inaccurate,is_wet_compound,is_non_green,is_unknown_status,is_deleted,is_pace_lap,stint_crosses_red_flag
VER,1,Red Bull Racing,1.0,1.0,MEDIUM,1.0,True,3.0,124,101.571,3838.671,3736.863,17.4,34.4,52.0,False,False,False,False,True,False,True,False,False,False,True
VER,1,Red Bull Racing,2.0,1.0,MEDIUM,2.0,True,3.0,4,132.105,3970.776,3838.671,17.6,34.1,53.0,False,False,False,False,True,False,True,False,False,False,True
VER,1,Red Bull Racing,3.0,1.0,MEDIUM,3.0,True,3.0,41,130.657,4101.433,3970.776,17.6,34.3,52.0,False,False,False,False,True,False,True,False,False,False,True
VER,1,Red Bull Racing,4.0,1.0,MEDIUM,4.0,True,3.0,1,83.391,4184.824,4101.433,17.8,34.3,52.0,False,False,False,False,False,False,False,False,False,True,True
VER,1,Red Bull Racing,5.0,1.0,MEDIUM,5.0,True,3.0,1,83.104,4267.928,4184.824,17.8,34.0,52.0,False,False,False,False,False,False,False,False,False,True,True
VER,1,Red Bull Racing,6.0,1.0,MEDIUM,6.0,True,3.0,1,82.843,4350.771,4267.928,17.7,33.7,52.0,False,False,False,False,False,False,False,False,False,True,True
VER,1,Red Bull Racing,7.0,1.0,MEDIUM,7.0,True,2.0,124,95.07,4445.841,4350.771,17.8,33.7,51.0,False,False,False,False,True,False,True,False,False,False,True
VER,1,Red Bull Racing,8.0,1.0,MEDIUM,8.0,True,2.0,451,,5526.797,4445.841,17.8,33.1,52.0,False,True,False,True,True,False,True,False,False,False,True
VER,1,Red Bull Racing,9.0,2.0,HARD,1.0,True,2.0,1,,5748.176,5518.608,17.9,32.8,52.0,False,False,True,True,True,False,False,False,False,False,True
VER,1,Red Bull Racing,10.0,2.0,HARD,2.0,True,2.0,1,87.827,5836.003,5748.176,18.0,32.9,52.0,False,False,False,False,False,False,False,False,False,True,True
VER,1,Red Bull Racing,11.0,2.0,HARD,3.0,True,2.0,1,83.46,5919.463,5836.003,18.0,33.0,51.0,False,False,False,False,False,False,False,False,False,True,True
VER,1,Red Bull Racing,12.0,2.0,HARD,4.0,True,1.0,1,81.994,6001.457,5919.463,18.0,33.0,51.0,False,False,False,False,False,False,False,False,False,True,True
VER,1,Red Bull Racing,13.0,2.0,HARD,5.0,True,1.0,1,83.286,6084.743,6001.457,18.0,32.9,52.0,False,False,False,False,False,False,False,False,False,True,True
VER,1,Red Bull Racing,14.0,2.0,HARD,6.0,True,1.0,1,82.869,6167.612,6084.743,18.0,32.8,50.0,False,False,False,False,False,False,False,False,False,True,True
VER,1,Red Bull Racing,15.0,2.0,HARD,7.0,True,1.0,1,82.817,6250.429,6167.612,18.1,32.5,51.0,False,False,False,False,False,False,False,False,False,True,True
VER,1,Red Bull Racing,16.0,2.0,HARD,8.0,True,1.0,1,82.599,6333.028,6250.429,18.0,32.5,51.0,False,False,False,False,False,False,False,False,False,True,True
VER,1,Red Bull Racing,17.0,2.0,HARD,9.0,True,1.0,1,82.595,6415.623,6333.028,17.9,32.1,50.0,False,False,False,False,False,False,False,False,False,True,True
VER,1,Red Bull Racing,18.0,2.0,HARD,10.0,True,1.0,16,100.315,6515.938,6415.623,18.0,32.3,51.0,False,False,False,False,True,False,True,False,False,False,True
VER,1,Red Bull Racing,19.0,2.0,HARD,11.0,True,1.0,671,103.75,6619.688,6515.938,17.9,32.0,51.0,False,False,False,False,True,False,True,False,False,False,True
VER,1,Red Bull Racing,20.0,2.0,HARD,12.0,True,1.0,1,82.389,6702.077,6619.688,17.9,31.7,51.0,False,False,False,False,False,False,False,False,False,True,True
VER,1,Red Bull Racing,21.0,2.0,HARD,13.0,True,1.0,1,82.11,6784.187,6702.077,17.8,31.7,54.0,False,False,False,False,False,False,False,False,False,True,True
VER,1,Red Bull Racing,22.0,2.0,HARD,14.0,True,1.0,1,82.269,6866.456,6784.187,17.9,31.7,54.0,False,False,False,False,False,False,False,False,False,True,True
VER,1,Red Bull Racing,23.0,2.0,HARD,15.0,True,1.0,1,82.193,6948.649,6866.456,17.8,31.7,53.0,False,False,False,False,False,False,False,False,False,True,True
VER,1,Red Bull Racing,24.0,2.0,HARD,16.0,True,1.0,1,81.843,7030.492,6948.649,17.7,31.7,55.0,False,False,False,False,False,False,False,False,False,True,True
VER,1,Red Bull Racing,25.0,2.0,HARD,17.0,True,1.0,1,82.104,7112.596,7030.492,17.8,31.4,53.0,False,False,False,False,False,False,False,False,False,True,True
VER,1,Red Bull Racing,26.0,2.0,HARD,18.0,True,1.0,1,81.972,7194.568,7112.596,17.7,31.4,52.0,False,False,False,False,False,False,False,False,False,True,True
VER,1,Red Bull Racing,27.0,2.0,HARD,19.0,True,1.0,1,81.924,7276.492,7194.568,17.8,31.4,54.0,False,False,False,False,False,False,False,False,False,True,True
VER,1,Red Bull Racing,28.0,2.0,HARD,20.0,True,1.0,1,81.926,7358.418,7276.492,17.7,31.1,54.0,False,False,False,False,False,False,False,False,False,True,True
VER,1,Red Bull Racing,29.0,2.0,HARD,21.0,True,1.0,1,81.772,7440.19,7358.418,17.7,31.1,54.0,False,False,False,False,False,False,False,False,False,True,True
VER,1,Red Bull Racing,30.0,2.0,HARD,22.0,True,1.0,1,82.002,7522.192,7440.19,17.8,31.0,54.0,False,False,False,False,False,False,False,False,False,True,True
VER,1,Red Bull Racing,31.0,2.0,HARD,23.0,True,1.0,1,82.024,7604.216,7522.192,17.9,30.9,54.0,False,False,False,False,False,False,False,False,False,True,True
VER,1,Red Bull Racing,32.0,2.0,HARD,24.0,True,1.0,1,82.012,7686.228,7604.216,17.9,31.0,54.0,False,False,False,False,False,False,False,False,False,True,True
VER,1,Red Bull Racing,33.0,2.0,HARD,25.0,True,1.0,1,81.819,7768.047,7686.228,17.9,30.8,53.0,False,False,False,False,False,False,False,False,False,True,True
VER,1,Red Bull Racing,34.0,2.0,HARD,26.0,True,1.0,1,81.894,7849.941,7768.047,17.9,30.7,54.0,False,False,False,False,False,False,False,False,False,True,True
VER,1,Red Bull Racing,35.0,2.0,HARD,27.0,True,1.0,1,81.681,7931.622,7849.941,17.9,30.6,54.0,False,False,False,False,False,False,False,False,False,True,True
VER,1,Red Bull Racing,36.0,2.0,HARD,28.0,True,1.0,1,81.732,8013.354,7931.622,17.9,30.6,55.0,False,False,False,False,False,False,False,False,False,True,True
VER,1,Red Bull Racing,37.0,2.0,HARD,29.0,True,1.0,1,81.403,8094.757,8013.354,17.8,30.2,55.0,False,False,False,False,False,False,False,False,False,True,True
VER,1,Red Bull Racing,38.0,2.0,HARD,30.0,True,1.0,1,81.319,8176.076,8094.757,17.9,30.2,55.0,False,False,False,False,False,False,False,False,False,True,True
VER,1,Red Bull Racing,39.0,2.0,HARD,31.0,True,1.0,1,81.578,8257.654,8176.076,17.8,30.1,55.0,False,False,False,False,False,False,False,False,False,True,True
VER,1,Red Bull Racing,40.0,2.0,HARD,32.0,True,1.0,1,81.078,8338.732,8257.654,17.7,30.1,56.0,False,False,False,False,False,False,False,False,False,True,True
VER,1,Red Bull Racing,41.0,2.0,HARD,33.0,True,1.0,1,80.986,8419.718,8338.732,17.6,29.9,56.0,False,False,False,False,False,False,False,False,False,True,True
VER,1,Red Bull Racing,42.0,2.0,HARD,34.0,True,1.0,1,81.148,8500.866,8419.718,17.6,29.9,57.0,False,False,False,False,False,False,False,False,False,True,True
VER,1,Red Bull Racing,43.0,2.0,HARD,35.0,True,1.0,1,81.166,8582.032,8500.866,17.6,29.7,57.0,False,False,False,False,False,False,False,False,False,True,True
VER,1,Red Bull Racing,44.0,2.0,HARD,36.0,True,1.0,1,81.089,8663.121,8582.032,17.6,29.6,57.0,False,False,False,False,False,False,False,False,False,True,True
VER,1,Red Bull Racing,45.0,2.0,HARD,37.0,True,1.0,1,80.807,8743.928,8663.121,17.5,29.2,57.0,False,False,False,False,False,False,False,False,False,True,True
VER,1,Red Bull Racing,46.0,2.0,HARD,38.0,True,1.0,1,80.703,8824.631,8743.928,17.5,29.3,58.0,False,False,False,False,False,False,False,False,False,True,True
VER,1,Red Bull Racing,47.0,2.0,HARD,39.0,True,1.0,1,84.107,8908.738,8824.631,17.5,29.4,58.0,False,False,False,False,False,False,False,False,True,False,True
