Driver,DriverNumber,Team,LapNumber,Stint,Compound,TyreLife,FreshTyre,Position,TrackStatus,lap_time_s,time_s,lap_start_time_s,air_temp_c,track_temp_c,humidity_pct,rainfall,is_in_lap,is_out_lap,is_missing_laptime,is_inaccurate,is_wet_compound,is_non_green,is_unknown_status,is_deleted,is_pace_lap,stint_crosses_red_flag
VER,1,Red Bull Racing,1.0,1.0,HARD,1.0,True,10.0,12,109.827,3874.218,3764.148,29.8,36.7,72.0,False,False,False,False,True,False,True,False,False,False,False
VER,1,Red Bull Racing,2.0,1.0,HARD,2.0,True,9.0,12,101.596,3975.814,3874.218,29.8,37.2,72.0,False,False,False,False,False,False,True,False,False,False,False
VER,1,Red Bull Racing,3.0,1.0,HARD,3.0,True,9.0,1,101.51,4077.324,3975.814,29.9,37.3,72.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,4.0,1.0,HARD,4.0,True,9.0,1,101.143,4178.467,4077.324,29.9,37.2,71.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,5.0,1.0,HARD,5.0,True,9.0,1,101.308,4279.775,4178.467,29.9,37.0,71.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,6.0,1.0,HARD,6.0,True,8.0,1,101.313,4381.088,4279.775,30.0,36.8,72.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,7.0,1.0,HARD,7.0,True,8.0,1,100.423,4481.511,4381.088,30.0,36.8,71.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,8.0,1.0,HARD,8.0,True,8.0,1,100.177,4581.688,4481.511,30.0,36.5,72.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,9.0,1.0,HARD,9.0,True,8.0,1,100.264,4681.952,4581.688,30.0,36.6,73.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,10.0,1.0,HARD,10.0,True,8.0,1,100.408,4782.36,4681.952,30.0,36.8,73.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,11.0,1.0,HARD,11.0,True,8.0,1,100.423,4882.783,4782.36,30.0,36.8,72.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,12.0,1.0,HARD,12.0,True,8.0,1,100.602,4983.385,4882.783,30.0,36.8,72.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,13.0,1.0,HARD,13.0,True,8.0,1,100.693,5084.078,4983.385,30.1,36.6,72.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,14.0,1.0,HARD,14.0,True,8.0,1,100.633,5184.711,5084.078,30.1,36.4,72.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,15.0,1.0,HARD,15.0,True,8.0,1,100.206,5284.917,5184.711,30.1,36.4,72.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,16.0,1.0,HARD,16.0,True,8.0,1,100.39,5385.307,5284.917,30.1,36.5,72.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,17.0,1.0,HARD,17.0,True,8.0,1,100.481,5485.788,5385.307,30.0,36.5,73.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,18.0,1.0,HARD,18.0,True,8.0,1,100.464,5586.252,5485.788,30.0,36.4,73.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,19.0,1.0,HARD,19.0,True,8.0,12,100.746,5686.998,5586.252,30.0,36.3,73.0,False,False,False,False,False,False,True,False,False,False,False
VER,1,Red Bull Racing,20.0,1.0,HARD,20.0,True,6.0,14,118.294,5805.292,5686.998,30.0,36.2,72.0,False,False,False,False,True,False,True,False,False,False,False
VER,1,Red Bull Racing,21.0,1.0,HARD,21.0,True,2.0,4,,5977.375,5805.292,30.0,36.4,72.0,False,False,False,True,True,False,True,False,False,False,False
VER,1,Red Bull Racing,22.0,1.0,HARD,22.0,True,2.0,41,149.966,6127.341,5977.375,29.9,36.0,72.0,False,False,False,False,True,False,True,False,False,False,False
VER,1,Red Bull Racing,23.0,1.0,HARD,23.0,True,3.0,1,103.346,6230.687,6127.341,29.9,36.1,72.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,24.0,1.0,HARD,24.0,True,4.0,1,101.971,6332.658,6230.687,29.9,35.9,72.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,25.0,1.0,HARD,25.0,True,4.0,1,100.7,6433.358,6332.658,29.9,36.0,72.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,26.0,1.0,HARD,26.0,True,4.0,1,100.244,6533.602,6433.358,29.9,36.2,72.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,27.0,1.0,HARD,27.0,True,5.0,1,101.18,6634.782,6533.602,30.0,36.1,72.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,28.0,1.0,HARD,28.0,True,6.0,1,101.431,6736.213,6634.782,30.0,35.7,73.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,29.0,1.0,HARD,29.0,True,6.0,1,100.437,6836.65,6736.213,30.0,35.9,74.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,30.0,1.0,HARD,30.0,True,6.0,1,100.326,6936.976,6836.65,30.0,35.9,74.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,31.0,1.0,HARD,31.0,True,6.0,1,100.247,7037.223,6936.976,30.0,35.9,74.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,32.0,1.0,HARD,32.0,True,6.0,1,100.033,7137.256,7037.223,30.0,35.9,74.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,33.0,1.0,HARD,33.0,True,6.0,1,100.087,7237.343,7137.256,30.0,35.9,74.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,34.0,1.0,HARD,34.0,True,6.0,1,100.378,7337.721,7237.343,30.0,35.9,74.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,35.0,1.0,HARD,35.0,True,6.0,1,100.266,7437.987,7337.721,30.0,35.5,74.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,36.0,1.0,HARD,36.0,True,6.0,1,100.372,7538.359,7437.987,29.9,35.5,74.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,37.0,1.0,HARD,37.0,True,6.0,1,100.224,7638.583,7538.359,29.9,35.3,74.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,38.0,1.0,HARD,38.0,True,6.0,1,100.61,7739.193,7638.583,29.8,35.5,74.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,39.0,1.0,HARD,39.0,True,6.0,1,101.173,7840.366,7739.193,29.7,35.5,75.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,40.0,1.0,HARD,40.0,True,6.0,1,108.808,7949.174,7840.366,29.8,35.5,75.0,False,True,False,False,True,False,False,False,False,False,False
VER,1,Red Bull Racing,41.0,2.0,MEDIUM,1.0,True,15.0,1,119.248,8068.422,7949.174,29.8,35.5,74.0,False,False,True,False,True,False,False,False,False,False,False
VER,1,Red Bull Racing,42.0,2.0,MEDIUM,2.0,True,15.0,1,97.713,8166.135,8068.422,29.8,35.3,74.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,43.0,2.0,MEDIUM,3.0,True,13.0,126,116.357,8282.492,8166.135,29.7,34.9,74.0,False,False,False,False,True,False,True,False,False,False,False
VER,1,Red Bull Racing,44.0,2.0,MEDIUM,4.0,True,12.0,6,137.522,8420.014,8282.492,29.6,35.3,74.0,False,False,False,False,True,False,True,False,False,False,False
VER,1,Red Bull Racing,45.0,2.0,MEDIUM,5.0,True,11.0,671,104.939,8524.953,8420.014,29.6,35.1,74.0,False,False,False,False,True,False,True,False,False,False,False
VER,1,Red Bull Racing,46.0,2.0,MEDIUM,6.0,True,11.0,1,97.57,8622.523,8524.953,29.5,35.0,75.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,47.0,2.0,MEDIUM,7.0,True,10.0,12,98.09,8720.613,8622.523,29.5,34.9,75.0,False,False,False,False,False,False,True,False,False,False,False
VER,1,Red Bull Racing,48.0,2.0,MEDIUM,8.0,True,9.0,1,98.333,8818.946,8720.613,29.6,34.8,75.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,49.0,2.0,MEDIUM,9.0,True,9.0,1,97.085,8916.031,8818.946,29.6,34.9,75.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,50.0,2.0,MEDIUM,10.0,True,8.0,1,99.006,9015.037,8916.031,29.6,35.2,75.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,51.0,2.0,MEDIUM,11.0,True,8.0,1,97.144,9112.181,9015.037,29.6,35.6,75.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,52.0,2.0,MEDIUM,12.0,True,8.0,1,96.835,9209.016,9112.181,29.6,34.9,75.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,53.0,2.0,MEDIUM,13.0,True,8.0,12,97.132,9306.148,9209.016,29.6,34.8,75.0,False,False,False,False,False,False,True,False,False,False,False
VER,1,Red Bull Racing,54.0,2.0,MEDIUM,14.0,True,7.0,1,98.196,9404.344,9306.148,29.6,34.6,76.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,55.0,2.0,MEDIUM,15.0,True,7.0,1,96.899,9501.243,9404.344,29.5,34.8,76.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,56.0,2.0,MEDIUM,16.0,True,7.0,1,97.519,9598.762,9501.243,29.5,34.8,76.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,57.0,2.0,MEDIUM,17.0,True,6.0,1,99.299,9698.061,9598.762,29.6,34.8,76.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,58.0,2.0,MEDIUM,18.0,True,6.0,12,96.912,9794.973,9698.061,29.5,34.9,76.0,False,False,False,False,False,False,True,False,False,False,False
VER,1,Red Bull Racing,59.0,2.0,MEDIUM,19.0,True,6.0,21,96.748,9891.721,9794.973,29.5,35.2,76.0,False,False,False,False,False,False,True,False,False,False,False
VER,1,Red Bull Racing,60.0,2.0,MEDIUM,20.0,True,6.0,1,96.758,9988.479,9891.721,29.5,35.0,76.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,61.0,2.0,MEDIUM,21.0,True,6.0,1,96.575,10085.054,9988.479,29.5,34.9,76.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,62.0,2.0,MEDIUM,22.0,True,5.0,12,98.197,10183.251,10085.054,29.4,34.8,76.0,False,False,False,False,False,False,True,False,False,False,False
GAS,10,Alpine,1.0,1.0,MEDIUM,1.0,True,11.0,12,110.115,3874.506,3764.148,29.8,36.7,72.0,False,False,False,False,True,False,True,False,False,False,False
GAS,10,Alpine,2.0,1.0,MEDIUM,2.0,True,11.0,12,102.353,3976.859,3874.506,29.8,37.2,72.0,False,False,False,False,False,False,True,False,False,False,False
GAS,10,Alpine,3.0,1.0,MEDIUM,3.0,True,11.0,1,101.442,4078.301,3976.859,29.9,37.3,72.0,False,False,False,False,False,False,False,False,False,True,False
