Driver,DriverNumber,Team,LapNumber,Stint,Compound,TyreLife,FreshTyre,Position,TrackStatus,lap_time_s,time_s,lap_start_time_s,air_temp_c,track_temp_c,humidity_pct,rainfall,is_in_lap,is_out_lap,is_missing_laptime,is_inaccurate,is_wet_compound,is_non_green,is_unknown_status,is_deleted,is_pace_lap,stint_crosses_red_flag
VER,1,Red Bull Racing,1.0,1.0,MEDIUM,1.0,True,1.0,1,92.19,3836.965,3744.519,27.1,33.6,49.0,False,False,False,False,True,False,False,False,False,False,False
VER,1,Red Bull Racing,2.0,1.0,MEDIUM,2.0,True,1.0,1,90.71,3927.675,3836.965,27.0,33.4,51.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,3.0,1.0,MEDIUM,3.0,True,1.0,1,90.408,4018.083,3927.675,27.1,33.7,49.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,4.0,1.0,MEDIUM,4.0,True,1.0,1,90.716,4108.799,4018.083,27.0,33.2,50.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,5.0,1.0,MEDIUM,5.0,True,1.0,1,90.552,4199.351,4108.799,27.0,33.1,50.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,6.0,1.0,MEDIUM,6.0,True,1.0,1,90.44,4289.791,4199.351,27.0,33.0,50.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,7.0,1.0,MEDIUM,7.0,True,1.0,1,90.529,4380.32,4289.791,27.0,33.2,51.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,8.0,1.0,MEDIUM,8.0,True,1.0,1,90.516,4470.836,4380.32,26.9,33.0,51.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,9.0,1.0,MEDIUM,9.0,True,1.0,1,90.632,4561.468,4470.836,26.9,32.8,51.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,10.0,1.0,MEDIUM,10.0,True,1.0,1,90.506,4651.974,4561.468,26.9,32.7,52.0,False,False,False,False,False,False,False,False,False,True,False
