Driver,DriverNumber,Team,LapNumber,Stint,Compound,TyreLife,FreshTyre,Position,TrackStatus,lap_time_s,time_s,lap_start_time_s,air_temp_c,track_temp_c,humidity_pct,rainfall,is_in_lap,is_out_lap,is_missing_laptime,is_inaccurate,is_wet_compound,is_non_green,is_unknown_status,is_deleted,is_pace_lap,stint_crosses_red_flag
PIA,81,McLaren,1.0,1.0,MEDIUM,1.0,True,1.0,1,86.746,3391.948,3304.938,28.9,45.5,45.0,False,False,False,False,True,False,False,False,False,False,False
PIA,81,McLaren,2.0,1.0,MEDIUM,2.0,True,1.0,1,84.038,3475.986,3391.948,29.0,44.6,45.0,False,False,False,False,False,False,False,False,False,True,False
PIA,81,McLaren,3.0,1.0,MEDIUM,3.0,True,1.0,1,84.401,3560.387,3475.986,29.0,45.2,46.0,False,False,False,False,False,False,False,False,False,True,False
PIA,81,McLaren,4.0,1.0,MEDIUM,4.0,True,1.0,1,84.115,3644.502,3560.387,28.8,46.8,48.0,False,False,False,False,False,False,False,False,False,True,False
PIA,81,McLaren,5.0,1.0,MEDIUM,5.0,True,1.0,1,83.796,3728.298,3644.502,29.0,46.6,46.0,False,False,False,False,False,False,False,False,False,True,False
PIA,81,McLaren,6.0,1.0,MEDIUM,6.0,True,1.0,1,83.846,3812.144,3728.298,28.9,46.7,46.0,False,False,False,False,False,False,False,False,False,True,False
PIA,81,McLaren,7.0,1.0,MEDIUM,7.0,True,1.0,1,84.11,3896.254,3812.144,28.9,47.4,46.0,False,False,False,False,False,False,False,False,False,True,False
PIA,81,McLaren,8.0,1.0,MEDIUM,8.0,True,1.0,1,83.892,3980.146,3896.254,28.9,47.3,47.0,False,False,False,False,False,False,False,False,False,True,False
PIA,81,McLaren,9.0,1.0,MEDIUM,9.0,True,1.0,1,84.206,4064.352,3980.146,28.8,46.8,46.0,False,False,False,False,False,False,False,False,False,True,False
PIA,81,McLaren,10.0,1.0,MEDIUM,10.0,True,1.0,1,84.257,4148.609,4064.352,28.9,46.2,48.0,False,False,False,False,False,False,False,False,False,True,False
PIA,81,McLaren,11.0,1.0,MEDIUM,11.0,True,1.0,1,84.062,4232.671,4148.609,28.9,45.0,47.0,False,False,False,False,False,False,False,False,False,True,False
