Driver,DriverNumber,Team,LapNumber,Stint,Compound,TyreLife,FreshTyre,Position,TrackStatus,lap_time_s,time_s,lap_start_time_s,air_temp_c,track_temp_c,humidity_pct,rainfall,is_in_lap,is_out_lap,is_missing_laptime,is_inaccurate,is_wet_compound,is_non_green,is_unknown_status,is_deleted,is_pace_lap,stint_crosses_red_flag
VER,1,Red Bull Racing,1.0,1.0,MEDIUM,1.0,True,1.0,1,95.505,3679.63,3583.836,25.4,31.5,62.0,False,False,False,False,True,False,False,False,False,False,False
VER,1,Red Bull Racing,2.0,1.0,MEDIUM,2.0,True,1.0,1,94.205,3773.835,3679.63,25.4,31.5,62.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,3.0,1.0,MEDIUM,3.0,True,1.0,1,94.043,3867.878,3773.835,25.4,31.7,62.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,4.0,1.0,MEDIUM,4.0,True,1.0,1,93.754,3961.632,3867.878,25.5,31.7,61.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,5.0,1.0,MEDIUM,5.0,True,1.0,1,93.955,4055.587,3961.632,25.6,31.7,62.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,6.0,1.0,MEDIUM,6.0,True,1.0,1,93.676,4149.263,4055.587,25.7,31.5,61.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,7.0,1.0,MEDIUM,7.0,True,1.0,124,122.919,4272.182,4149.263,25.7,31.4,61.0,False,True,False,False,True,False,True,False,False,False,False
VER,1,Red Bull Racing,8.0,2.0,HARD,1.0,True,2.0,4,,4461.36,4272.182,25.7,31.5,61.0,False,False,True,True,True,False,True,False,False,False,False
VER,1,Red Bull Racing,9.0,2.0,HARD,2.0,True,2.0,41,,4622.249,4461.36,25.6,31.4,62.0,False,False,False,True,True,False,True,False,False,False,False
VER,1,Red Bull Racing,10.0,2.0,HARD,3.0,True,2.0,1,95.024,4717.273,4622.249,25.5,31.5,62.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,11.0,2.0,HARD,4.0,True,2.0,1,93.61,4810.883,4717.273,25.5,31.7,62.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,12.0,2.0,HARD,5.0,True,2.0,1,93.321,4904.204,4810.883,25.5,31.4,62.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,13.0,2.0,HARD,6.0,True,1.0,1,93.144,4997.348,4904.204,25.5,31.6,62.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,14.0,2.0,HARD,7.0,True,1.0,1,93.194,5090.542,4997.348,25.5,31.7,62.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,15.0,2.0,HARD,8.0,True,1.0,1,93.512,5184.054,5090.542,25.6,31.3,62.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,16.0,2.0,HARD,9.0,True,1.0,1,93.192,5277.246,5184.054,25.6,31.6,61.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,17.0,2.0,HARD,10.0,True,1.0,1,93.059,5370.305,5277.246,25.6,30.9,62.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,18.0,2.0,HARD,11.0,True,1.0,1,93.139,5463.444,5370.305,25.6,31.1,61.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,19.0,2.0,HARD,12.0,True,1.0,1,93.135,5556.579,5463.444,25.6,30.9,62.0,False,False,False,False,False,False,False,False,False,True,False
