Driver,DriverNumber,Team,LapNumber,Stint,Compound,TyreLife,FreshTyre,Position,TrackStatus,lap_time_s,time_s,lap_start_time_s,air_temp_c,track_temp_c,humidity_pct,rainfall,is_in_lap,is_out_lap,is_missing_laptime,is_inaccurate,is_wet_compound,is_non_green,is_unknown_status,is_deleted,is_pace_lap,stint_crosses_red_flag
LEC,16,Ferrari,1.0,1.0,MEDIUM,1.0,True,2.0,1,88.179,3438.931,3350.494,33.8,51.3,32.0,False,False,False,False,True,False,False,False,False,False,False
LEC,16,Ferrari,2.0,1.0,MEDIUM,2.0,True,2.0,1,85.396,3524.327,3438.931,33.8,50.4,30.0,False,False,False,False,False,False,False,False,False,True,False
LEC,16,Ferrari,3.0,1.0,MEDIUM,3.0,True,2.0,1,85.179,3609.506,3524.327,33.7,50.6,30.0,False,False,False,False,False,False,False,False,False,True,False
LEC,16,Ferrari,4.0,1.0,MEDIUM,4.0,True,2.0,1,84.81,3694.316,3609.506,33.7,50.7,30.0,False,False,False,False,False,False,False,False,False,True,False
LEC,16,Ferrari,5.0,1.0,MEDIUM,5.0,True,2.0,1,84.603,3778.919,3694.316,33.7,50.6,31.0,False,False,False,False,False,False,False,False,False,True,False
LEC,16,Ferrari,6.0,1.0,MEDIUM,6.0,True,2.0,1,84.663,3863.582,3778.919,33.5,50.2,31.0,False,False,False,False,False,False,False,False,False,True,False
LEC,16,Ferrari,7.0,1.0,MEDIUM,7.0,True,2.0,1,84.434,3948.016,3863.582,33.4,49.5,32.0,False,False,False,False,False,False,False,False,False,True,False
LEC,16,Ferrari,8.0,1.0,MEDIUM,8.0,True,2.0,1,84.569,4032.585,3948.016,33.3,49.5,32.0,False,False,False,False,False,False,False,False,False,True,False
LEC,16,Ferrari,9.0,1.0,MEDIUM,9.0,True,2.0,1,84.362,4116.947,4032.585,33.3,48.7,31.0,False,False,False,False,False,False,False,False,False,True,False
LEC,16,Ferrari,10.0,1.0,MEDIUM,10.0,True,2.0,1,84.432,4201.379,4116.947,33.3,48.6,31.0,False,False,False,False,False,False,False,False,False,True,False
LEC,16,Ferrari,11.0,1.0,MEDIUM,11.0,True,2.0,1,84.846,4286.225,4201.379,33.2,48.4,31.0,False,False,False,False,False,False,False,False,False,True,False
LEC,16,Ferrari,12.0,1.0,MEDIUM,12.0,True,2.0,1,84.916,4371.141,4286.225,33.1,47.6,32.0,False,False,False,False,False,False,False,False,False,True,False
LEC,16,Ferrari,13.0,1.0,MEDIUM,13.0,True,2.0,1,85.529,4456.67,4371.141,33.0,47.6,31.0,False,False,False,False,False,False,False,False,False,True,False
LEC,16,Ferrari,14.0,1.0,MEDIUM,14.0,True,2.0,1,85.606,4542.276,4456.67,32.9,48.0,31.0,False,False,False,False,False,False,False,False,False,True,False
LEC,16,Ferrari,15.0,1.0,MEDIUM,15.0,True,3.0,1,90.192,4632.468,4542.276,32.9,47.9,31.0,False,True,False,False,True,False,False,False,False,False,False
LEC,16,Ferrari,16.0,2.0,HARD,1.0,True,7.0,1,104.888,4737.356,4632.468,32.8,47.8,30.0,False,False,True,False,True,False,False,False,False,False,False
LEC,16,Ferrari,17.0,2.0,HARD,2.0,True,6.0,1,84.27,4821.626,4737.356,32.9,47.5,31.0,False,False,False,False,False,False,False,False,False,True,False
LEC,16,Ferrari,18.0,2.0,HARD,3.0,True,6.0,1,83.875,4905.501,4821.626,32.8,47.0,31.0,False,False,False,False,False,False,False,False,False,True,False
LEC,16,Ferrari,19.0,2.0,HARD,4.0,True,6.0,1,84.203,4989.704,4905.501,32.8,46.8,31.0,False,False,False,False,False,False,False,False,False,True,False
LEC,16,Ferrari,20.0,2.0,HARD,5.0,True,5.0,1,83.826,5073.53,4989.704,32.8,46.5,31.0,False,False,False,False,False,False,False,False,False,True,False
