Driver,DriverNumber,Team,LapNumber,Stint,Compound,TyreLife,FreshTyre,Position,TrackStatus,lap_time_s,time_s,lap_start_time_s,air_temp_c,track_temp_c,humidity_pct,rainfall,is_in_lap,is_out_lap,is_missing_laptime,is_inaccurate,is_wet_compound,is_non_green,is_unknown_status,is_deleted,is_pace_lap,stint_crosses_red_flag
RUS,63,Mercedes,1.0,1.0,MEDIUM,1.0,True,3.0,1,74.401,3405.688,3331.047,28.9,47.2,36.0,False,False,False,False,True,False,False,False,False,False,False
RUS,63,Mercedes,2.0,1.0,MEDIUM,2.0,True,3.0,1,70.58,3476.268,3405.688,28.9,47.3,36.0,False,False,False,False,False,False,False,False,False,True,False
RUS,63,Mercedes,3.0,1.0,MEDIUM,3.0,True,3.0,1,70.441,3546.709,3476.268,29.2,48.1,35.0,False,False,False,False,False,False,False,False,False,True,False
RUS,63,Mercedes,4.0,1.0,MEDIUM,4.0,True,3.0,1,70.467,3617.176,3546.709,29.3,48.1,35.0,False,False,False,False,False,False,False,False,False,True,False
RUS,63,Mercedes,5.0,1.0,MEDIUM,5.0,True,3.0,1,70.193,3687.369,3617.176,29.4,48.2,35.0,False,False,False,False,False,False,False,False,False,True,False
RUS,63,Mercedes,6.0,1.0,MEDIUM,6.0,True,3.0,1,71.033,3758.402,3687.369,29.5,48.2,35.0,False,False,False,False,False,False,False,False,False,True,False
RUS,63,Mercedes,7.0,1.0,MEDIUM,7.0,True,3.0,1,70.682,3829.084,3758.402,29.5,48.4,34.0,False,False,False,False,False,False,False,False,False,True,False
RUS,63,Mercedes,8.0,1.0,MEDIUM,8.0,True,3.0,1,70.655,3899.739,3829.084,29.4,48.6,35.0,False,False,False,False,False,False,False,False,False,True,False
RUS,63,Mercedes,9.0,1.0,MEDIUM,9.0,True,3.0,1,70.628,3970.367,3899.739,29.5,48.7,35.0,False,False,False,False,False,False,False,False,False,True,False
RUS,63,Mercedes,10.0,1.0,MEDIUM,10.0,True,3.0,1,71.263,4041.63,3970.367,29.6,48.7,35.0,False,False,False,False,False,False,False,False,False,True,False
RUS,63,Mercedes,11.0,1.0,MEDIUM,11.0,True,3.0,1,71.281,4112.911,4041.63,29.6,49.0,34.0,False,False,False,False,False,False,False,False,False,True,False
RUS,63,Mercedes,12.0,1.0,MEDIUM,12.0,True,3.0,1,71.135,4184.046,4112.911,29.7,48.7,34.0,False,False,False,False,False,False,False,False,False,True,False
RUS,63,Mercedes,13.0,1.0,MEDIUM,13.0,True,3.0,1,71.321,4255.367,4184.046,29.6,48.2,34.0,False,False,False,False,False,False,False,False,False,True,False
RUS,63,Mercedes,14.0,1.0,MEDIUM,14.0,True,3.0,1,71.44,4326.807,4255.367,29.6,48.1,34.0,False,False,False,False,False,False,False,False,False,True,False
RUS,63,Mercedes,15.0,1.0,MEDIUM,15.0,True,3.0,1,71.471,4398.278,4326.807,29.6,48.6,34.0,False,False,False,False,False,False,False,False,False,True,False
RUS,63,Mercedes,16.0,1.0,MEDIUM,16.0,True,3.0,1,71.382,4469.66,4398.278,29.6,48.2,33.0,False,False,False,False,False,False,False,False,False,True,False
