Driver,DriverNumber,Team,LapNumber,Stint,Compound,TyreLife,FreshTyre,Position,TrackStatus,lap_time_s,time_s,lap_start_time_s,air_temp_c,track_temp_c,humidity_pct,rainfall,is_in_lap,is_out_lap,is_missing_laptime,is_inaccurate,is_wet_compound,is_non_green,is_unknown_status,is_deleted,is_pace_lap,stint_crosses_red_flag
HAM,44,Mercedes,1.0,1.0,MEDIUM,1.0,True,2.0,1,112.7,3427.735,3314.764,21.0,42.6,49.0,False,False,False,False,True,False,False,False,False,False,False
HAM,44,Mercedes,2.0,1.0,MEDIUM,2.0,True,2.0,1,109.849,3537.584,3427.735,21.0,42.4,48.0,False,False,False,False,False,False,False,False,False,True,False
HAM,44,Mercedes,3.0,1.0,MEDIUM,3.0,True,1.0,1,109.109,3646.693,3537.584,21.2,42.6,49.0,False,False,False,False,False,False,False,False,False,True,False
HAM,44,Mercedes,4.0,1.0,MEDIUM,4.0,True,1.0,1,109.808,3756.501,3646.693,21.3,42.7,48.0,False,False,False,False,False,False,False,False,False,True,False
HAM,44,Mercedes,5.0,1.0,MEDIUM,5.0,True,1.0,1,109.376,3865.877,3756.501,21.0,42.4,49.0,False,False,False,False,False,False,False,False,False,True,False
HAM,44,Mercedes,6.0,1.0,MEDIUM,6.0,True,1.0,1,109.4,3975.277,3865.877,21.3,42.7,50.0,False,False,False,False,False,False,False,False,False,True,False
HAM,44,Mercedes,7.0,1.0,MEDIUM,7.0,True,1.0,1,109.357,4084.634,3975.277,21.3,42.7,50.0,False,False,False,False,False,False,False,False,False,True,False
HAM,44,Mercedes,8.0,1.0,MEDIUM,8.0,True,1.0,1,109.666,4194.3,4084.634,21.5,42.7,48.0,False,False,False,False,False,False,False,False,False,True,False
HAM,44,Mercedes,9.0,1.0,MEDIUM,9.0,True,1.0,1,109.704,4304.004,4194.3,21.4,43.1,49.0,False,False,False,False,False,False,False,False,False,True,False
HAM,44,Mercedes,10.0,1.0,MEDIUM,10.0,True,1.0,1,109.951,4413.955,4304.004,21.4,43.3,49.0,False,False,False,False,False,False,False,False,False,True,False
HAM,44,Mercedes,11.0,1.0,MEDIUM,11.0,True,2.0,1,114.328,4528.283,4413.955,21.6,43.3,51.0,False,True,False,False,True,False,False,False,False,False,False
HAM,44,Mercedes,12.0,2.0,HARD,1.0,True,5.0,1,124.792,4653.075,4528.283,21.5,42.9,51.0,False,False,True,False,True,False,False,False,False,False,False
HAM,44,Mercedes,13.0,2.0,HARD,2.0,True,3.0,1,108.204,4761.279,4653.075,21.6,42.8,51.0,False,False,False,False,False,False,False,False,True,False,False
HAM,44,Mercedes,14.0,2.0,HARD,3.0,True,3.0,1,108.124,4869.403,4761.279,21.6,42.6,50.0,False,False,False,False,False,False,False,False,False,True,False
HAM,44,Mercedes,15.0,2.0,HARD,4.0,True,3.0,12,108.15,4977.553,4869.403,21.7,43.0,50.0,False,False,False,False,False,False,True,False,False,False,False
HAM,44,Mercedes,16.0,2.0,HARD,5.0,True,2.0,1,107.973,5085.526,4977.553,21.8,42.8,48.0,False,False,False,False,False,False,False,False,False,True,False
HAM,44,Mercedes,17.0,2.0,HARD,6.0,True,2.0,1,107.957,5193.483,5085.526,21.9,43.3,49.0,False,False,False,False,False,False,False,False,False,True,False
HAM,44,Mercedes,18.0,2.0,HARD,7.0,True,2.0,1,107.91,5301.393,5193.483,22.0,43.3,50.0,False,False,False,False,False,False,False,False,False,True,False
HAM,44,Mercedes,19.0,2.0,HARD,8.0,True,2.0,1,108.04,5409.433,5301.393,22.0,43.2,49.0,False,False,False,False,False,False,False,False,False,True,False
HAM,44,Mercedes,20.0,2.0,HARD,9.0,True,1.0,1,108.237,5517.67,5409.433,21.7,42.6,48.0,False,False,False,False,False,False,False,False,False,True,False
HAM,44,Mercedes,21.0,2.0,HARD,10.0,True,1.0,1,108.396,5626.066,5517.67,21.5,43.0,47.0,False,False,False,False,False,False,False,False,False,True,False
HAM,44,Mercedes,22.0,2.0,HARD,11.0,True,1.0,1,108.368,5734.434,5626.066,21.7,43.3,47.0,False,False,False,False,False,False,False,False,False,True,False
HAM,44,Mercedes,23.0,2.0,HARD,12.0,True,1.0,1,108.338,5842.772,5734.434,21.8,43.3,47.0,False,False,False,False,False,False,False,False,False,True,False
HAM,44,Mercedes,24.0,2.0,HARD,13.0,True,1.0,1,108.028,5950.8,5842.772,21.8,43.5,48.0,False,False,False,False,False,False,False,False,False,True,False
HAM,44,Mercedes,25.0,2.0,HARD,14.0,True,1.0,1,107.845,6058.645,5950.8,21.6,43.5,49.0,False,False,False,False,False,False,False,False,False,True,False
HAM,44,Mercedes,26.0,2.0,HARD,15.0,True,1.0,1,112.047,6170.692,6058.645,21.6,44.1,50.0,False,True,False,False,True,False,False,False,False,False,False
HAM,44,Mercedes,27.0,3.0,HARD,1.0,True,6.0,1,121.3,6291.992,6170.692,21.9,43.5,50.0,False,False,True,False,True,False,False,False,False,False,False
HAM,44,Mercedes,28.0,3.0,HARD,2.0,True,5.0,1,107.396,6399.388,6291.992,21.7,43.5,49.0,False,False,False,False,False,False,False,False,False,True,False
HAM,44,Mercedes,29.0,3.0,HARD,3.0,True,4.0,1,107.429,6506.817,6399.388,21.3,43.7,49.0,False,False,False,False,False,False,False,False,False,True,False
HAM,44,Mercedes,30.0,3.0,HARD,4.0,True,3.0,1,107.031,6613.848,6506.817,21.3,43.8,49.0,False,False,False,False,False,False,False,False,False,True,False
HAM,44,Mercedes,31.0,3.0,HARD,5.0,True,2.0,1,107.182,6721.03,6613.848,21.7,44.1,49.0,False,False,False,False,False,False,False,False,False,True,False
HAM,44,Mercedes,32.0,3.0,HARD,6.0,True,2.0,1,107.003,6828.033,6721.03,21.9,44.0,50.0,False,False,False,False,False,False,False,False,False,True,False
HAM,44,Mercedes,33.0,3.0,HARD,7.0,True,2.0,1,106.653,6934.686,6828.033,21.9,43.5,50.0,False,False,False,False,False,False,False,False,False,True,False
HAM,44,Mercedes,34.0,3.0,HARD,8.0,True,2.0,1,106.856,7041.542,6934.686,21.8,42.4,50.0,False,False,False,False,False,False,False,False,False,True,False
HAM,44,Mercedes,35.0,3.0,HARD,9.0,True,2.0,1,106.729,7148.271,7041.542,21.8,41.7,49.0,False,False,False,False,False,False,False,False,False,True,False
HAM,44,Mercedes,36.0,3.0,HARD,10.0,True,2.0,1,106.931,7255.202,7148.271,21.5,42.5,48.0,False,False,False,False,False,False,False,False,False,True,False
HAM,44,Mercedes,37.0,3.0,HARD,11.0,True,2.0,1,107.042,7362.244,7255.202,21.4,42.9,49.0,False,False,False,False,False,False,False,False,False,True,False
HAM,44,Mercedes,38.0,3.0,HARD,12.0,True,2.0,1,106.747,7468.991,7362.244,21.9,43.1,47.0,False,False,False,False,False,False,False,False,False,True,False
HAM,44,Mercedes,39.0,3.0,HARD,13.0,True,2.0,1,107.054,7576.045,7468.991,21.9,43.2,47.0,False,False,False,False,False,False,False,False,False,True,False
HAM,44,Mercedes,40.0,3.0,HARD,14.0,True,2.0,1,107.125,7683.17,7576.045,22.1,43.2,48.0,False,False,False,False,False,False,False,False,False,True,False
HAM,44,Mercedes,41.0,3.0,HARD,15.0,True,2.0,1,107.622,7790.792,7683.17,22.0,42.8,49.0,False,False,False,False,False,False,False,False,False,True,False
HAM,44,Mercedes,42.0,3.0,HARD,16.0,True,2.0,1,107.387,7898.179,7790.792,21.8,42.3,47.0,False,False,False,False,False,False,False,False,False,True,False
HAM,44,Mercedes,43.0,3.0,HARD,17.0,True,2.0,1,107.388,8005.567,7898.179,21.5,42.5,48.0,False,False,False,False,False,False,False,False,False,True,False
HAM,44,Mercedes,44.0,3.0,HARD,18.0,True,2.0,1,107.034,8112.601,8005.567,21.4,42.6,48.0,False,False,False,False,False,False,False,False,False,True,False
PIA,81,McLaren,1.0,1.0,MEDIUM,1.0,True,4.0,1,114.248,3429.283,3314.764,21.0,42.6,49.0,False,False,False,False,True,False,False,False,False,False,False
PIA,81,McLaren,2.0,1.0,MEDIUM,2.0,True,4.0,1,110.164,3539.447,3429.283,21.0,42.4,48.0,False,False,False,False,False,False,False,False,False,True,False
PIA,81,McLaren,3.0,1.0,MEDIUM,3.0,True,4.0,1,109.971,3649.418,3539.447,21.2,42.6,49.0,False,False,False,False,False,False,False,False,False,True,False
PIA,81,McLaren,4.0,1.0,MEDIUM,4.0,True,4.0,1,109.847,3759.265,3649.418,21.3,42.7,48.0,False,False,False,False,False,False,False,False,False,True,False
PIA,81,McLaren,5.0,1.0,MEDIUM,5.0,True,4.0,1,110.085,3869.35,3759.265,21.0,42.4,49.0,False,False,False,False,False,False,False,False,False,True,False
PIA,81,McLaren,6.0,1.0,MEDIUM,6.0,True,4.0,1,109.963,3979.313,3869.35,21.3,42.7,50.0,False,False,False,False,False,False,False,False,False,True,False
PIA,81,McLaren,7.0,1.0,MEDIUM,7.0,True,4.0,1,110.03,4089.343,3979.313,21.3,42.7,50.0,False,False,False,False,False,False,False,False,False,True,False
PIA,81,McLaren,8.0,1.0,MEDIUM,8.0,True,4.0,1,110.062,4199.405,4089.343,21.5,42.7,48.0,False,False,False,False,False,False,False,False,False,True,False
PIA,81,McLaren,9.0,1.0,MEDIUM,9.0,True,4.0,1,110.481,4309.886,4199.405,21.4,43.1,49.0,False,False,False,False,False,False,False,False,False,True,False
PIA,81,McLaren,10.0,1.0,MEDIUM,10.0,True,4.0,1,110.045,4419.931,4309.886,21.4,43.3,49.0,False,False,False,False,False,False,False,False,False,True,False
PIA,81,McLaren,11.0,1.0,MEDIUM,11.0,True,6.0,1,114.271,4534.202,4419.931,21.6,43.3,51.0,False,True,False,False,True,False,False,False,False,False,False
PIA,81,McLaren,12.0,2.0,HARD,1.0,True,7.0,1,123.103,4657.305,4534.202,21.5,42.9,51.0,False,False,True,False,True,False,False,False,False,False,False
PIA,81,McLaren,13.0,2.0,HARD,2.0,True,5.0,1,107.565,4764.87,4657.305,21.6,42.8,51.0,False,False,False,False,False,False,False,False,False,True,False
PIA,81,McLaren,14.0,2.0,HARD,3.0,True,5.0,1,108.239,4873.109,4764.87,21.6,42.6,50.0,False,False,False,False,False,False,False,False,False,True,False
PIA,81,McLaren,15.0,2.0,HARD,4.0,True,5.0,12,108.07,4981.179,4873.109,21.7,43.0,50.0,False,False,False,False,False,False,True,False,False,False,False
PIA,81,McLaren,16.0,2.0,HARD,5.0,True,4.0,1,108.355,5089.534,4981.179,21.8,42.8,48.0,False,False,False,False,False,False,False,False,False,True,False
PIA,81,McLaren,17.0,2.0,HARD,6.0,True,4.0,1,108.473,5198.007,5089.534,21.9,43.3,49.0,False,False,False,False,False,False,False,False,False,True,False
PIA,81,McLaren,18.0,2.0,HARD,7.0,True,4.0,1,108.153,5306.16,5198.007,22.0,43.3,50.0,False,False,False,False,False,False,False,False,False,True,False
PIA,81,McLaren,19.0,2.0,HARD,8.0,True,4.0,1,108.233,5414.393,5306.16,22.0,43.2,49.0,False,False,False,False,False,False,False,False,False,True,False
PIA,81,McLaren,20.0,2.0,HARD,9.0,True,4.0,1,108.175,5522.568,5414.393,21.7,42.6,48.0,False,False,False,False,False,False,False,False,False,True,False
PIA,81,McLaren,21.0,2.0,HARD,10.0,True,3.0,1,108.376,5630.944,5522.568,21.5,43.0,47.0,False,False,False,False,False,False,False,False,False,True,False
PIA,81,McLaren,22.0,2.0,HARD,11.0,True,3.0,1,108.179,5739.123,5630.944,21.7,43.3,47.0,False,False,False,False,False,False,False,False,False,True,False
PIA,81,McLaren,23.0,2.0,HARD,12.0,True,3.0,1,108.352,5847.475,5739.123,21.8,43.3,47.0,False,False,False,False,False,False,False,False,False,True,False
PIA,81,McLaren,24.0,2.0,HARD,13.0,True,3.0,1,108.163,5955.638,5847.475,21.7,43.5,47.0,False,False,False,False,False,False,False,False,False,True,False
PIA,81,McLaren,25.0,2.0,HARD,14.0,True,2.0,1,107.98,6063.618,5955.638,21.6,43.5,49.0,False,False,False,False,False,False,False,False,False,True,False
PIA,81,McLaren,26.0,2.0,HARD,15.0,True,2.0,1,107.519,6171.137,6063.618,21.6,44.1,50.0,False,False,False,False,False,False,False,False,False,True,False
PIA,81,McLaren,27.0,2.0,HARD,16.0,True,1.0,1,107.024,6278.161,6171.137,21.9,43.5,50.0,False,False,False,False,False,False,False,False,False,True,False
PIA,81,McLaren,28.0,2.0,HARD,17.0,True,1.0,1,107.609,6385.77,6278.161,21.7,43.5,49.0,False,False,False,False,False,False,False,False,False,True,False
PIA,81,McLaren,29.0,2.0,HARD,18.0,True,1.0,1,107.653,6493.423,6385.77,21.4,43.6,49.0,False,False,False,False,False,False,False,False,False,True,False
PIA,81,McLaren,30.0,2.0,HARD,19.0,True,1.0,1,111.738,6605.161,6493.423,21.3,43.8,49.0,False,True,False,False,True,False,False,False,False,False,False
PIA,81,McLaren,31.0,3.0,HARD,1.0,True,4.0,1,121.424,6726.585,6605.161,21.7,44.1,49.0,False,False,True,False,True,False,False,False,False,False,False
PIA,81,McLaren,32.0,3.0,HARD,2.0,True,4.0,1,105.84,6832.425,6726.585,21.9,44.0,50.0,False,False,False,False,False,False,False,False,False,True,False
PIA,81,McLaren,33.0,3.0,HARD,3.0,True,4.0,1,106.265,6938.69,6832.425,21.9,43.5,50.0,False,False,False,False,False,False,False,False,False,True,False
PIA,81,McLaren,34.0,3.0,HARD,4.0,True,4.0,1,106.528,7045.218,6938.69,21.8,42.4,50.0,False,False,False,False,False,False,False,False,False,True,False
PIA,81,McLaren,35.0,3.0,HARD,5.0,True,4.0,1,108.312,7153.53,7045.218,21.8,41.7,49.0,False,False,False,False,False,False,False,False,False,True,False
PIA,81,McLaren,36.0,3.0,HARD,6.0,True,3.0,1,107.179,7260.709,7153.53,21.5,42.5,48.0,False,False,False,False,False,False,False,False,False,True,False
PIA,81,McLaren,37.0,3.0,HARD,7.0,True,3.0,1,107.136,7367.845,7260.709,21.4,42.9,49.0,False,False,False,False,False,False,False,False,False,True,False
PIA,81,McLaren,38.0,3.0,HARD,8.0,True,3.0,1,106.648,7474.493,7367.845,21.9,43.1,47.0,False,False,False,False,False,False,False,False,False,True,False
PIA,81,McLaren,39.0,3.0,HARD,9.0,True,3.0,1,106.445,7580.938,7474.493,21.9,43.2,47.0,False,False,False,False,False,False,False,False,False,True,False
PIA,81,McLaren,40.0,3.0,HARD,10.0,True,3.0,1,106.409,7687.347,7580.938,22.1,43.2,48.0,False,False,False,False,False,False,False,False,False,True,False
PIA,81,McLaren,41.0,3.0,HARD,11.0,True,3.0,1,106.39,7793.737,7687.347,22.0,42.8,49.0,False,False,False,False,False,False,False,False,False,True,False
PIA,81,McLaren,42.0,3.0,HARD,12.0,True,3.0,1,106.262,7899.999,7793.737,21.8,42.3,47.0,False,False,False,False,False,False,False,False,False,True,False
PIA,81,McLaren,43.0,3.0,HARD,13.0,True,3.0,1,106.621,8006.62,7899.999,21.5,42.5,48.0,False,False,False,False,False,False,False,False,False,True,False
PIA,81,McLaren,44.0,3.0,HARD,14.0,True,3.0,1,106.628,8113.248,8006.62,21.4,42.6,48.0,False,False,False,False,False,False,False,False,False,True,False
LEC,16,Ferrari,1.0,1.0,MEDIUM,1.0,True,1.0,1,111.912,3426.947,3314.764,21.0,42.6,49.0,False,False,False,False,True,False,False,False,False,False,False
LEC,16,Ferrari,2.0,1.0,MEDIUM,2.0,True,1.0,1,110.24,3537.187,3426.947,21.0,42.4,48.0,False,False,False,False,False,False,False,False,False,True,False
LEC,16,Ferrari,3.0,1.0,MEDIUM,3.0,True,2.0,1,110.519,3647.706,3537.187,21.2,42.6,49.0,False,False,False,False,False,False,False,False,False,True,False
LEC,16,Ferrari,4.0,1.0,MEDIUM,4.0,True,2.0,1,109.796,3757.502,3647.706,21.3,42.7,48.0,False,False,False,False,False,False,False,False,False,True,False
LEC,16,Ferrari,5.0,1.0,MEDIUM,5.0,True,2.0,1,109.494,3866.996,3757.502,21.0,42.4,49.0,False,False,False,False,False,False,False,False,False,True,False
LEC,16,Ferrari,6.0,1.0,MEDIUM,6.0,True,2.0,1,109.658,3976.654,3866.996,21.3,42.7,50.0,False,False,False,False,False,False,False,False,False,True,False
LEC,16,Ferrari,7.0,1.0,MEDIUM,7.0,True,2.0,1,109.798,4086.452,3976.654,21.3,42.7,50.0,False,False,False,False,False,False,False,False,False,True,False
LEC,16,Ferrari,8.0,1.0,MEDIUM,8.0,True,2.0,1,109.549,4196.001,4086.452,21.5,42.7,48.0,False,False,False,False,False,False,False,False,False,True,False
LEC,16,Ferrari,9.0,1.0,MEDIUM,9.0,True,2.0,1,110.096,4306.097,4196.001,21.4,43.1,49.0,False,False,False,False,False,False,False,False,False,True,False
LEC,16,Ferrari,10.0,1.0,MEDIUM,10.0,True,2.0,1,109.963,4416.06,4306.097,21.4,43.3,49.0,False,False,False,False,False,False,False,False,False,True,False
LEC,16,Ferrari,11.0,1.0,MEDIUM,11.0,True,1.0,1,109.967,4526.027,4416.06,21.6,43.3,51.0,False,False,False,False,False,False,False,False,False,True,False
LEC,16,Ferrari,12.0,1.0,MEDIUM,12.0,True,1.0,1,114.091,4640.118,4526.027,21.5,42.9,51.0,False,True,False,False,True,False,False,False,False,False,False
LEC,16,Ferrari,13.0,2.0,HARD,1.0,True,4.0,1,122.667,4762.785,4640.118,21.6,42.8,51.0,False,False,True,False,True,False,False,False,False,False,False
LEC,16,Ferrari,14.0,2.0,HARD,2.0,True,4.0,1,108.227,4871.012,4762.785,21.6,42.6,50.0,False,False,False,False,False,False,False,False,False,True,False
LEC,16,Ferrari,15.0,2.0,HARD,3.0,True,4.0,12,108.021,4979.033,4871.012,21.7,43.0,50.0,False,False,False,False,False,False,True,False,False,False,False
LEC,16,Ferrari,16.0,2.0,HARD,4.0,True,3.0,1,107.982,5087.015,4979.033,21.8,42.8,48.0,False,False,False,False,False,False,False,False,False,True,False
LEC,16,Ferrari,17.0,2.0,HARD,5.0,True,3.0,1,107.981,5194.996,5087.015,21.9,43.3,49.0,False,False,False,False,False,False,False,False,False,True,False
LEC,16,Ferrari,18.0,2.0,HARD,6.0,True,3.0,1,107.971,5302.967,5194.996,22.0,43.3,50.0,False,False,False,False,False,False,False,False,False,True,False
LEC,16,Ferrari,19.0,2.0,HARD,7.0,True,3.0,1,108.346,5411.313,5302.967,22.0,43.2,49.0,False,False,False,False,False,False,False,False,False,True,False
LEC,16,Ferrari,20.0,2.0,HARD,8.0,True,2.0,1,108.279,5519.592,5411.313,21.7,42.6,48.0,False,False,False,False,False,False,False,False,False,True,False
LEC,16,Ferrari,21.0,2.0,HARD,9.0,True,2.0,1,108.38,5627.972,5519.592,21.5,43.0,47.0,False,False,False,False,False,False,False,False,False,True,False
LEC,16,Ferrari,22.0,2.0,HARD,10.0,True,2.0,1,108.356,5736.328,5627.972,21.7,43.3,47.0,False,False,False,False,False,False,False,False,False,True,False
LEC,16,Ferrari,23.0,2.0,HARD,11.0,True,2.0,1,108.449,5844.777,5736.328,21.8,43.3,47.0,False,False,False,False,False,False,False,False,False,True,False
LEC,16,Ferrari,24.0,2.0,HARD,12.0,True,2.0,1,108.444,5953.221,5844.777,21.8,43.5,48.0,False,False,False,False,False,False,False,False,False,True,False
LEC,16,Ferrari,25.0,2.0,HARD,13.0,True,3.0,1,112.358,6065.579,5953.221,21.6,43.5,49.0,False,True,False,False,True,False,False,False,False,False,False
LEC,16,Ferrari,26.0,3.0,HARD,1.0,True,7.0,1,121.972,6187.551,6065.579,21.6,44.1,50.0,False,False,True,False,True,False,False,False,False,False,False
LEC,16,Ferrari,27.0,3.0,HARD,2.0,True,7.0,1,107.034,6294.585,6187.551,21.9,43.5,50.0,False,False,False,False,False,False,False,False,False,True,False
LEC,16,Ferrari,28.0,3.0,HARD,3.0,True,6.0,1,107.039,6401.624,6294.585,21.7,43.5,49.0,False,False,False,False,False,False,False,False,False,True,False
LEC,16,Ferrari,29.0,3.0,HARD,4.0,True,5.0,1,107.517,6509.141,6401.624,21.3,43.7,49.0,False,False,False,False,False,False,False,False,False,True,False
LEC,16,Ferrari,30.0,3.0,HARD,5.0,True,4.0,1,107.311,6616.452,6509.141,21.5,44.0,48.0,False,False,False,False,False,False,False,False,False,True,False
LEC,16,Ferrari,31.0,3.0,HARD,6.0,True,3.0,1,107.018,6723.47,6616.452,21.7,44.1,49.0,False,False,False,False,False,False,False,False,False,True,False
LEC,16,Ferrari,32.0,3.0,HARD,7.0,True,3.0,1,107.064,6830.534,6723.47,21.9,44.0,50.0,False,False,False,False,False,False,False,False,False,True,False
LEC,16,Ferrari,33.0,3.0,HARD,8.0,True,3.0,1,107.013,6937.547,6830.534,21.9,43.5,50.0,False,False,False,False,False,False,False,False,False,True,False
LEC,16,Ferrari,34.0,3.0,HARD,9.0,True,3.0,1,107.023,7044.57,6937.547,21.8,42.4,50.0,False,False,False,False,False,False,False,False,False,True,False
LEC,16,Ferrari,35.0,3.0,HARD,10.0,True,3.0,1,108.321,7152.891,7044.57,21.8,41.7,49.0,False,False,False,False,False,False,False,False,False,True,False
LEC,16,Ferrari,36.0,3.0,HARD,11.0,True,4.0,1,109.289,7262.18,7152.891,21.5,42.5,48.0,False,False,False,False,False,False,False,False,False,True,False
LEC,16,Ferrari,37.0,3.0,HARD,12.0,True,4.0,1,107.601,7369.781,7262.18,21.4,42.9,49.0,False,False,False,False,False,False,False,False,False,True,False
LEC,16,Ferrari,38.0,3.0,HARD,13.0,True,4.0,1,107.142,7476.923,7369.781,21.9,43.1,47.0,False,False,False,False,False,False,False,False,False,True,False
LEC,16,Ferrari,39.0,3.0,HARD,14.0,True,4.0,1,107.539,7584.462,7476.923,21.9,43.2,47.0,False,False,False,False,False,False,False,False,False,True,False
LEC,16,Ferrari,40.0,3.0,HARD,15.0,True,4.0,1,107.354,7691.816,7584.462,22.1,43.2,48.0,False,False,False,False,False,False,False,False,False,True,False
LEC,16,Ferrari,41.0,3.0,HARD,16.0,True,4.0,1,107.46,7799.276,7691.816,22.0,42.8,49.0,False,False,False,False,False,False,False,False,False,True,False
LEC,16,Ferrari,42.0,3.0,HARD,17.0,True,4.0,1,107.216,7906.492,7799.276,21.8,42.3,47.0,False,False,False,False,False,False,False,False,False,True,False
LEC,16,Ferrari,43.0,3.0,HARD,18.0,True,4.0,1,107.071,8013.563,7906.492,21.5,42.5,48.0,False,False,False,False,False,False,False,False,False,True,False
LEC,16,Ferrari,44.0,3.0,HARD,19.0,True,4.0,1,107.061,8120.624,8013.563,21.4,42.9,48.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,1.0,1.0,MEDIUM,1.0,True,9.0,1,117.183,3432.218,3314.764,21.0,42.6,49.0,False,False,False,False,True,False,False,False,False,False,False
VER,1,Red Bull Racing,2.0,1.0,MEDIUM,2.0,True,8.0,1,109.828,3542.046,3432.218,21.0,42.4,48.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,3.0,1.0,MEDIUM,3.0,True,8.0,1,110.141,3652.187,3542.046,21.2,42.6,49.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,4.0,1.0,MEDIUM,4.0,True,8.0,1,110.055,3762.242,3652.187,21.3,42.7,48.0,False,False,False,False,False,False,False,False,False,True,False
