Driver,DriverNumber,Team,LapNumber,Stint,Compound,TyreLife,FreshTyre,Position,TrackStatus,lap_time_s,time_s,lap_start_time_s,air_temp_c,track_temp_c,humidity_pct,rainfall,is_in_lap,is_out_lap,is_missing_laptime,is_inaccurate,is_wet_compound,is_non_green,is_unknown_status,is_deleted,is_pace_lap,stint_crosses_red_flag
VER,1,Red Bull Racing,1.0,1.0,SOFT,4.0,False,2.0,1,83.696,3637.344,3553.393,29.5,49.4,51.0,False,False,False,False,True,False,False,False,False,False,False
VER,1,Red Bull Racing,2.0,1.0,SOFT,5.0,False,2.0,1,80.083,3717.427,3637.344,29.6,49.4,51.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,3.0,1.0,SOFT,6.0,False,2.0,1,80.537,3797.964,3717.427,29.5,49.0,52.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,4.0,1.0,SOFT,7.0,False,2.0,1,81.032,3878.996,3797.964,29.4,49.4,54.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,5.0,1.0,SOFT,8.0,False,2.0,1,80.964,3959.96,3878.996,29.3,49.9,53.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,6.0,1.0,SOFT,9.0,False,2.0,1,80.822,4040.782,3959.96,29.2,48.2,53.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,7.0,1.0,SOFT,10.0,False,2.0,1,80.76,4121.542,4040.782,29.1,49.1,54.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,8.0,1.0,SOFT,11.0,False,2.0,1,81.019,4202.561,4121.542,29.0,49.4,54.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,9.0,1.0,SOFT,12.0,False,2.0,1,81.168,4283.729,4202.561,28.9,49.1,56.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,10.0,1.0,SOFT,13.0,False,2.0,1,81.163,4364.892,4283.729,28.9,49.1,56.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,11.0,1.0,SOFT,14.0,False,2.0,1,81.143,4446.035,4364.892,29.0,49.1,55.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,12.0,1.0,SOFT,15.0,False,2.0,1,81.623,4527.658,4446.035,29.1,49.6,55.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,13.0,1.0,SOFT,16.0,False,3.0,1,86.03,4613.688,4527.658,29.3,49.6,55.0,False,True,False,False,True,False,False,False,False,False,False
VER,1,Red Bull Racing,14.0,2.0,SOFT,1.0,True,8.0,1,97.2,4710.888,4613.688,29.2,49.0,56.0,False,False,True,False,True,False,False,False,False,False,False
VER,1,Red Bull Racing,15.0,2.0,SOFT,2.0,True,7.0,1,79.63,4790.518,4710.888,29.2,49.1,55.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,16.0,2.0,SOFT,3.0,True,7.0,1,79.45,4869.968,4790.518,29.3,49.1,55.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,17.0,2.0,SOFT,4.0,True,5.0,1,80.011,4949.979,4869.968,29.4,49.4,56.0,False,False,False,False,False,False,False,False,False,True,False
