Driver,DriverNumber,Team,LapNumber,Stint,Compound,TyreLife,FreshTyre,Position,TrackStatus,lap_time_s,time_s,lap_start_time_s,air_temp_c,track_temp_c,humidity_pct,rainfall,is_in_lap,is_out_lap,is_missing_laptime,is_inaccurate,is_wet_compound,is_non_green,is_unknown_status,is_deleted,is_pace_lap,stint_crosses_red_flag
VER,1,Red Bull Racing,1.0,1.0,HARD,1.0,True,18.0,12,87.191,3501.863,3414.48,17.5,30.7,70.0,False,False,True,False,True,False,True,False,False,False,False
VER,1,Red Bull Racing,2.0,1.0,HARD,2.0,True,17.0,24,120.413,3622.276,3501.863,17.5,30.6,70.0,False,False,False,False,True,False,True,False,False,False,False
VER,1,Red Bull Racing,3.0,1.0,HARD,3.0,True,16.0,4,109.007,3731.283,3622.276,17.4,30.5,70.0,False,False,False,False,True,False,True,False,False,False,False
VER,1,Red Bull Racing,4.0,1.0,HARD,4.0,True,16.0,4,106.62,3837.903,3731.283,17.4,30.5,70.0,False,False,False,False,True,False,True,False,False,False,False
VER,1,Red Bull Racing,5.0,1.0,HARD,5.0,True,16.0,41,107.889,3945.792,3837.903,17.4,30.4,71.0,False,False,False,False,True,False,True,False,False,False,False
VER,1,Red Bull Racing,6.0,1.0,HARD,6.0,True,13.0,12,78.495,4024.287,3945.792,17.3,30.4,70.0,False,False,False,False,False,False,True,False,False,False,False
VER,1,Red Bull Racing,7.0,1.0,HARD,7.0,True,17.0,26,107.461,4131.748,4024.287,17.3,30.3,71.0,False,True,False,False,True,False,True,False,False,False,False
VER,1,Red Bull Racing,8.0,2.0,MEDIUM,1.0,True,18.0,671,104.348,4236.096,4131.748,17.3,30.5,70.0,False,False,True,False,True,False,True,False,False,False,False
VER,1,Red Bull Racing,9.0,2.0,MEDIUM,2.0,True,16.0,1,73.141,4309.237,4236.096,17.3,30.2,70.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,10.0,2.0,MEDIUM,3.0,True,16.0,1,73.049,4382.286,4309.237,17.3,30.1,70.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,11.0,2.0,MEDIUM,4.0,True,16.0,1,73.735,4456.021,4382.286,17.3,30.1,69.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,12.0,2.0,MEDIUM,5.0,True,16.0,1,74.816,4530.837,4456.021,17.3,30.2,69.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,13.0,2.0,MEDIUM,6.0,True,14.0,1,75.065,4605.902,4530.837,17.4,30.3,69.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,14.0,2.0,MEDIUM,7.0,True,14.0,1,75.081,4680.983,4605.902,17.5,30.4,69.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,15.0,2.0,MEDIUM,8.0,True,13.0,1,75.354,4756.337,4680.983,17.5,30.7,68.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,16.0,2.0,MEDIUM,9.0,True,13.0,1,75.725,4832.062,4756.337,17.5,30.7,68.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,17.0,2.0,MEDIUM,10.0,True,10.0,1,75.809,4907.871,4832.062,17.6,30.8,68.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,18.0,2.0,MEDIUM,11.0,True,8.0,1,75.048,4982.919,4907.871,17.6,30.9,68.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,19.0,2.0,MEDIUM,12.0,True,6.0,1,75.17,5058.089,4982.919,17.6,31.3,68.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,20.0,2.0,MEDIUM,13.0,True,6.0,1,75.162,5133.251,5058.089,17.6,31.3,68.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,21.0,2.0,MEDIUM,14.0,True,5.0,1,74.829,5208.08,5133.251,17.6,31.4,69.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,22.0,2.0,MEDIUM,15.0,True,4.0,1,74.948,5283.028,5208.08,17.7,31.7,67.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,23.0,2.0,MEDIUM,16.0,True,4.0,1,74.727,5357.755,5283.028,17.7,31.7,67.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,24.0,2.0,MEDIUM,17.0,True,4.0,1,74.769,5432.524,5357.755,17.7,31.5,68.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,25.0,2.0,MEDIUM,18.0,True,4.0,1,74.828,5507.352,5432.524,17.7,31.1,67.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,26.0,2.0,MEDIUM,19.0,True,4.0,1,75.193,5582.545,5507.352,17.6,30.8,69.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,27.0,2.0,MEDIUM,20.0,True,4.0,1,74.912,5657.457,5582.545,17.6,31.0,68.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,28.0,2.0,MEDIUM,21.0,True,4.0,1,75.306,5732.763,5657.457,17.5,31.1,68.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,29.0,2.0,MEDIUM,22.0,True,4.0,1,75.165,5807.928,5732.763,17.5,31.2,68.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,30.0,2.0,MEDIUM,23.0,True,4.0,1,74.965,5882.893,5807.928,17.5,31.0,67.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,31.0,2.0,MEDIUM,24.0,True,3.0,1,75.164,5958.057,5882.893,17.5,30.8,68.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,32.0,2.0,MEDIUM,25.0,True,4.0,1,75.33,6033.387,5958.057,17.4,30.9,68.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,33.0,2.0,MEDIUM,26.0,True,4.0,1,76.145,6109.532,6033.387,17.5,30.9,68.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,34.0,2.0,MEDIUM,27.0,True,5.0,1,79.344,6188.876,6109.532,17.4,30.4,68.0,False,True,False,False,True,False,False,False,False,False,False
VER,1,Red Bull Racing,35.0,3.0,MEDIUM,1.0,True,11.0,1,91.337,6280.213,6188.876,17.4,30.3,69.0,False,False,True,False,True,False,False,False,False,False,False
VER,1,Red Bull Racing,36.0,3.0,MEDIUM,2.0,True,9.0,1,73.307,6353.52,6280.213,17.4,30.3,69.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,37.0,3.0,MEDIUM,3.0,True,6.0,1,74.006,6427.526,6353.52,17.3,30.3,70.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,38.0,3.0,MEDIUM,4.0,True,6.0,1,73.528,6501.054,6427.526,17.3,30.2,71.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,39.0,3.0,MEDIUM,5.0,True,5.0,1,73.586,6574.64,6501.054,17.2,30.2,71.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,40.0,3.0,MEDIUM,6.0,True,5.0,1,73.678,6648.318,6574.64,17.2,30.1,71.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,41.0,3.0,MEDIUM,7.0,True,5.0,1,73.659,6721.977,6648.318,17.2,30.3,70.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,42.0,3.0,MEDIUM,8.0,True,4.0,1,73.689,6795.666,6721.977,17.2,30.2,71.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,43.0,3.0,MEDIUM,9.0,True,4.0,1,73.415,6869.081,6795.666,17.2,30.2,71.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,44.0,3.0,MEDIUM,10.0,True,4.0,1,73.552,6942.633,6869.081,17.2,30.2,71.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,45.0,3.0,MEDIUM,11.0,True,4.0,1,73.844,7016.477,6942.633,17.2,30.2,71.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,46.0,3.0,MEDIUM,12.0,True,4.0,1,73.843,7090.32,7016.477,17.1,30.2,71.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,47.0,3.0,MEDIUM,13.0,True,4.0,1,74.022,7164.342,7090.32,17.1,30.3,71.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,48.0,3.0,MEDIUM,14.0,True,2.0,1,73.81,7238.152,7164.342,17.1,30.6,70.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,49.0,3.0,MEDIUM,15.0,True,2.0,1,73.717,7311.869,7238.152,17.2,30.6,69.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,50.0,3.0,MEDIUM,16.0,True,2.0,1,73.848,7385.717,7311.869,17.2,30.4,70.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,51.0,3.0,MEDIUM,17.0,True,1.0,1,73.658,7459.375,7385.717,17.3,30.6,70.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,52.0,3.0,MEDIUM,18.0,True,1.0,1,73.992,7533.367,7459.375,17.4,30.8,71.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,53.0,3.0,MEDIUM,19.0,True,1.0,1,74.128,7607.495,7533.367,17.5,31.2,71.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,54.0,3.0,MEDIUM,20.0,True,1.0,1,77.514,7685.009,7607.495,17.5,31.4,70.0,False,True,False,False,True,False,False,False,False,False,False
VER,1,Red Bull Racing,55.0,4.0,SOFT,1.0,True,4.0,1,90.317,7775.326,7685.009,17.5,31.4,70.0,False,False,True,False,True,False,False,False,False,False,False
VER,1,Red Bull Racing,56.0,4.0,SOFT,2.0,True,4.0,1,72.447,7847.773,7775.326,17.4,31.5,70.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,57.0,4.0,SOFT,3.0,True,4.0,1,72.582,7920.355,7847.773,17.4,31.4,70.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,58.0,4.0,SOFT,4.0,True,4.0,1,72.966,7993.321,7920.355,17.5,31.1,71.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,59.0,4.0,SOFT,5.0,True,4.0,1,72.833,8066.154,7993.321,17.4,31.4,71.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,60.0,4.0,SOFT,6.0,True,4.0,1,73.212,8139.366,8066.154,17.5,31.8,70.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,61.0,4.0,SOFT,7.0,True,4.0,1,73.136,8212.502,8139.366,17.5,31.8,70.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,62.0,4.0,SOFT,8.0,True,4.0,1,73.296,8285.798,8212.502,17.3,31.2,72.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,63.0,4.0,SOFT,9.0,True,3.0,1,73.401,8359.199,8285.798,17.2,31.0,72.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,64.0,4.0,SOFT,10.0,True,3.0,1,73.216,8432.415,8359.199,17.3,31.0,72.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,65.0,4.0,SOFT,11.0,True,3.0,1,73.124,8505.539,8432.415,17.3,30.9,72.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,66.0,4.0,SOFT,12.0,True,3.0,1,73.469,8579.008,8505.539,17.2,31.0,72.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,67.0,4.0,SOFT,13.0,True,3.0,1,73.463,8652.471,8579.008,17.3,31.0,72.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,68.0,4.0,SOFT,14.0,True,3.0,1,73.536,8726.007,8652.471,17.2,31.0,72.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,69.0,4.0,SOFT,15.0,True,3.0,1,73.472,8799.479,8726.007,17.2,31.2,71.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,70.0,4.0,SOFT,16.0,True,3.0,1,73.84,8873.319,8799.479,17.2,31.3,71.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,71.0,4.0,SOFT,17.0,True,3.0,1,73.699,8947.018,8873.319,17.4,31.5,71.0,False,False,False,False,False,False,False,False,False,True,False
GAS,10,Alpine,1.0,1.0,SOFT,4.0,False,8.0,12,83.216,3497.888,3414.48,17.5,30.7,70.0,False,False,False,False,True,False,True,False,False,False,False
