Driver,DriverNumber,Team,LapNumber,Stint,Compound,TyreLife,FreshTyre,Position,TrackStatus,lap_time_s,time_s,lap_start_time_s,air_temp_c,track_temp_c,humidity_pct,rainfall,is_in_lap,is_out_lap,is_missing_laptime,is_inaccurate,is_wet_compound,is_non_green,is_unknown_status,is_deleted,is_pace_lap,stint_crosses_red_flag
VER,1,Red Bull Racing,1.0,1.0,MEDIUM,1.0,True,2.0,1,88.94,3610.717,3521.498,22.6,28.6,68.0,False,False,False,False,True,False,False,False,False,False,False
VER,1,Red Bull Racing,2.0,1.0,MEDIUM,2.0,True,2.0,1,87.349,3698.066,3610.717,22.6,28.5,69.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,3.0,1.0,MEDIUM,3.0,True,2.0,1,87.511,3785.577,3698.066,22.7,28.3,69.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,4.0,1.0,MEDIUM,4.0,True,2.0,1,87.324,3872.901,3785.577,22.7,28.1,69.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,5.0,1.0,MEDIUM,5.0,True,2.0,1,86.843,3959.744,3872.901,22.7,28.4,69.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,6.0,1.0,MEDIUM,6.0,True,2.0,1,87.123,4046.867,3959.744,22.7,28.5,68.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,7.0,1.0,MEDIUM,7.0,True,3.0,124,102.211,4149.078,4046.867,22.7,28.4,68.0,False,True,False,False,True,False,True,False,False,False,False
VER,1,Red Bull Racing,8.0,2.0,MEDIUM,1.0,True,3.0,4,145.76,4294.838,4149.078,22.7,28.4,68.0,False,False,True,False,True,False,True,False,False,False,False
VER,1,Red Bull Racing,9.0,2.0,MEDIUM,2.0,True,3.0,4,141.444,4436.282,4294.838,22.6,28.1,68.0,False,False,False,False,True,False,True,False,False,False,False
VER,1,Red Bull Racing,10.0,2.0,MEDIUM,3.0,True,3.0,41,138.63,4574.912,4436.282,22.6,28.2,68.0,False,False,False,False,True,False,True,False,False,False,False
VER,1,Red Bull Racing,11.0,2.0,MEDIUM,4.0,True,3.0,1,87.109,4662.021,4574.912,22.5,28.0,69.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,12.0,2.0,MEDIUM,5.0,True,3.0,1,86.659,4748.68,4662.021,22.5,28.0,69.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,13.0,2.0,MEDIUM,6.0,True,3.0,1,86.55,4835.23,4748.68,22.5,28.0,69.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,14.0,2.0,MEDIUM,7.0,True,3.0,1,86.148,4921.378,4835.23,22.5,27.9,69.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,15.0,2.0,MEDIUM,8.0,True,3.0,1,86.298,5007.676,4921.378,22.5,28.0,69.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,16.0,2.0,MEDIUM,9.0,True,3.0,1,86.042,5093.718,5007.676,22.5,28.0,69.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,17.0,2.0,MEDIUM,10.0,True,3.0,1,85.977,5179.695,5093.718,22.5,27.8,69.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,18.0,2.0,MEDIUM,11.0,True,3.0,1,85.759,5265.454,5179.695,22.5,27.7,70.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,19.0,2.0,MEDIUM,12.0,True,3.0,1,85.727,5351.181,5265.454,22.5,28.0,70.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,20.0,2.0,MEDIUM,13.0,True,3.0,1,85.864,5437.045,5351.181,22.5,27.9,69.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,21.0,2.0,MEDIUM,14.0,True,3.0,1,85.803,5522.848,5437.045,22.5,27.8,70.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,22.0,2.0,MEDIUM,15.0,True,3.0,1,85.921,5608.769,5522.848,22.5,27.8,70.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,23.0,2.0,MEDIUM,16.0,True,3.0,1,85.877,5694.646,5608.769,22.4,27.8,71.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,24.0,2.0,MEDIUM,17.0,True,3.0,1,85.74,5780.386,5694.646,22.4,27.7,71.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,25.0,2.0,MEDIUM,18.0,True,1.0,1,85.618,5866.004,5780.386,22.3,27.7,71.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,26.0,2.0,MEDIUM,19.0,True,1.0,1,85.431,5951.435,5866.004,22.3,27.6,71.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,27.0,2.0,MEDIUM,20.0,True,1.0,1,85.606,6037.041,5951.435,22.3,27.6,71.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,28.0,2.0,MEDIUM,21.0,True,1.0,1,85.477,6122.518,6037.041,22.2,27.6,71.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,29.0,2.0,MEDIUM,22.0,True,1.0,1,85.481,6207.999,6122.518,22.2,27.7,71.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,30.0,2.0,MEDIUM,23.0,True,1.0,1,85.359,6293.358,6207.999,22.2,27.6,71.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,31.0,2.0,MEDIUM,24.0,True,1.0,1,85.405,6378.763,6293.358,22.2,27.7,71.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,32.0,2.0,MEDIUM,25.0,True,1.0,1,89.369,6468.132,6378.763,22.3,27.9,71.0,False,True,False,False,True,False,False,False,False,False,False
VER,1,Red Bull Racing,33.0,3.0,HARD,1.0,True,3.0,1,106.87,6575.002,6468.132,22.2,27.4,71.0,False,False,True,False,True,False,False,False,False,False,False
