Driver,DriverNumber,Team,LapNumber,Stint,Compound,TyreLife,FreshTyre,Position,TrackStatus,lap_time_s,time_s,lap_start_time_s,air_temp_c,track_temp_c,humidity_pct,rainfall,is_in_lap,is_out_lap,is_missing_laptime,is_inaccurate,is_wet_compound,is_non_green,is_unknown_status,is_deleted,is_pace_lap,stint_crosses_red_flag
VER,1,Red Bull Racing,1.0,1.0,MEDIUM,1.0,True,4.0,1,87.817,3515.193,3427.107,26.3,51.9,26.0,False,False,False,False,True,False,False,False,False,False,False
VER,1,Red Bull Racing,2.0,1.0,MEDIUM,2.0,True,4.0,1,83.412,3598.605,3515.193,26.1,52.0,26.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,3.0,1.0,MEDIUM,3.0,True,4.0,12,82.702,3681.307,3598.605,26.3,52.1,26.0,False,False,False,False,False,False,True,False,False,False,False
VER,1,Red Bull Racing,4.0,1.0,MEDIUM,4.0,True,4.0,1,82.787,3764.094,3681.307,26.4,52.7,25.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,5.0,1.0,MEDIUM,5.0,True,4.0,1,82.538,3846.632,3764.094,26.4,52.6,25.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,6.0,1.0,MEDIUM,6.0,True,5.0,12,88.329,3934.961,3846.632,26.4,52.2,25.0,False,False,False,False,False,False,True,False,True,False,False
VER,1,Red Bull Racing,7.0,1.0,MEDIUM,7.0,True,5.0,1,82.981,4017.942,3934.961,26.4,52.0,24.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,8.0,1.0,MEDIUM,8.0,True,5.0,1,83.01,4100.952,4017.942,26.4,51.8,24.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,9.0,1.0,MEDIUM,9.0,True,5.0,1,83.296,4184.248,4100.952,26.5,51.7,24.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,10.0,1.0,MEDIUM,10.0,True,5.0,1,83.234,4267.482,4184.248,26.5,51.7,24.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,11.0,1.0,MEDIUM,11.0,True,5.0,1,83.246,4350.728,4267.482,26.6,51.1,24.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,12.0,1.0,MEDIUM,12.0,True,5.0,1,83.124,4433.852,4350.728,26.8,51.5,24.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,13.0,1.0,MEDIUM,13.0,True,5.0,1,83.086,4516.938,4433.852,26.8,51.4,24.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,14.0,1.0,MEDIUM,14.0,True,5.0,1,82.891,4599.829,4516.938,26.6,51.4,24.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,15.0,1.0,MEDIUM,15.0,True,5.0,1,83.296,4683.125,4599.829,26.6,51.4,24.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,16.0,1.0,MEDIUM,16.0,True,5.0,1,83.364,4766.489,4683.125,26.8,51.4,24.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,17.0,1.0,MEDIUM,17.0,True,5.0,1,83.239,4849.728,4766.489,26.6,51.5,24.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,18.0,1.0,MEDIUM,18.0,True,5.0,1,83.484,4933.212,4849.728,26.6,51.5,23.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,19.0,1.0,MEDIUM,19.0,True,5.0,1,83.237,5016.449,4933.212,26.8,51.4,24.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,20.0,1.0,MEDIUM,20.0,True,5.0,1,83.344,5099.793,5016.449,26.9,51.3,24.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,21.0,1.0,MEDIUM,21.0,True,5.0,1,83.409,5183.202,5099.793,26.7,50.4,24.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,22.0,1.0,MEDIUM,22.0,True,5.0,1,83.221,5266.423,5183.202,26.7,50.4,23.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,23.0,1.0,MEDIUM,23.0,True,5.0,1,83.452,5349.875,5266.423,26.7,50.3,24.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,24.0,1.0,MEDIUM,24.0,True,3.0,1,83.291,5433.166,5349.875,26.6,50.7,23.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,25.0,1.0,MEDIUM,25.0,True,3.0,1,83.128,5516.294,5433.166,26.5,50.7,23.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,26.0,1.0,MEDIUM,26.0,True,3.0,1,83.51,5599.804,5516.294,26.5,51.0,23.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,27.0,1.0,MEDIUM,27.0,True,3.0,1,83.239,5683.043,5599.804,26.5,51.0,23.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,28.0,1.0,MEDIUM,28.0,True,3.0,1,83.192,5766.235,5683.043,26.6,50.6,23.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,29.0,1.0,MEDIUM,29.0,True,3.0,1,83.395,5849.63,5766.235,26.6,50.7,23.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,30.0,1.0,MEDIUM,30.0,True,3.0,1,83.348,5932.978,5849.63,26.5,50.7,23.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,31.0,1.0,MEDIUM,31.0,True,3.0,1,83.351,6016.329,5932.978,26.4,50.3,23.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,32.0,1.0,MEDIUM,32.0,True,2.0,1,83.383,6099.712,6016.329,26.6,50.6,23.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,33.0,1.0,MEDIUM,33.0,True,2.0,1,83.146,6182.858,6099.712,26.7,50.8,22.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,34.0,1.0,MEDIUM,34.0,True,2.0,1,83.604,6266.462,6182.858,26.9,50.5,21.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,35.0,1.0,MEDIUM,35.0,True,2.0,1,83.966,6350.428,6266.462,26.8,50.4,21.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,36.0,1.0,MEDIUM,36.0,True,2.0,1,84.026,6434.454,6350.428,26.6,50.4,21.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,37.0,1.0,MEDIUM,37.0,True,2.0,1,87.255,6521.709,6434.454,26.8,50.6,21.0,False,True,False,False,True,False,False,False,False,False,False
VER,1,Red Bull Racing,38.0,2.0,SOFT,4.0,False,8.0,1,100.899,6622.608,6521.709,26.6,49.9,21.0,False,False,True,False,True,False,False,False,False,False,False
VER,1,Red Bull Racing,39.0,2.0,SOFT,5.0,False,8.0,1,81.284,6703.892,6622.608,26.5,49.6,21.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,40.0,2.0,SOFT,6.0,False,8.0,1,81.425,6785.317,6703.892,26.5,50.2,21.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,41.0,2.0,SOFT,7.0,False,8.0,1,81.447,6866.764,6785.317,26.6,49.7,21.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,42.0,2.0,SOFT,8.0,False,8.0,1,81.349,6948.113,6866.764,26.8,49.6,20.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,43.0,2.0,SOFT,9.0,False,8.0,1,81.348,7029.461,6948.113,26.9,49.4,20.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,44.0,2.0,SOFT,10.0,False,8.0,1,81.404,7110.865,7029.461,27.0,49.1,21.0,False,False,False,False,False,False,False,False,False,True,False
