Driver,DriverNumber,Team,LapNumber,Stint,Compound,TyreLife,FreshTyre,Position,TrackStatus,lap_time_s,time_s,lap_start_time_s,air_temp_c,track_temp_c,humidity_pct,rainfall,is_in_lap,is_out_lap,is_missing_laptime,is_inaccurate,is_wet_compound,is_non_green,is_unknown_status,is_deleted,is_pace_lap,stint_crosses_red_flag
VER,1,Red Bull Racing,1.0,1.0,MEDIUM,1.0,True,1.0,1,94.725,3461.632,3366.651,14.3,21.0,77.0,False,False,False,False,True,False,False,False,False,False,False
VER,1,Red Bull Racing,2.0,1.0,MEDIUM,2.0,True,1.0,1,93.943,3555.575,3461.632,14.2,20.8,77.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,3.0,1.0,MEDIUM,3.0,True,1.0,1,93.639,3649.214,3555.575,14.2,20.9,77.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,4.0,1.0,MEDIUM,4.0,True,1.0,1,93.744,3742.958,3649.214,14.3,20.9,77.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,5.0,1.0,MEDIUM,5.0,True,1.0,1,93.776,3836.734,3742.958,14.2,20.6,77.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,6.0,1.0,MEDIUM,6.0,True,1.0,1,93.646,3930.38,3836.734,14.3,20.6,78.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,7.0,1.0,MEDIUM,7.0,True,1.0,1,93.526,4023.906,3930.38,14.3,20.6,78.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,8.0,1.0,MEDIUM,8.0,True,1.0,1,93.536,4117.442,4023.906,14.3,20.6,78.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,9.0,1.0,MEDIUM,9.0,True,1.0,1,93.529,4210.971,4117.442,14.3,20.7,78.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,10.0,1.0,MEDIUM,10.0,True,1.0,1,93.555,4304.526,4210.971,14.3,20.6,78.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,11.0,1.0,MEDIUM,11.0,True,1.0,1,93.498,4398.024,4304.526,14.3,20.6,78.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,12.0,1.0,MEDIUM,12.0,True,1.0,1,93.643,4491.667,4398.024,14.3,20.4,78.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,13.0,1.0,MEDIUM,13.0,True,1.0,1,93.64,4585.307,4491.667,14.3,20.4,78.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,14.0,1.0,MEDIUM,14.0,True,1.0,1,93.38,4678.687,4585.307,14.3,20.4,78.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,15.0,1.0,MEDIUM,15.0,True,1.0,1,93.368,4772.055,4678.687,14.4,20.3,77.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,16.0,1.0,MEDIUM,16.0,True,1.0,1,93.431,4865.486,4772.055,14.5,20.1,76.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,17.0,1.0,MEDIUM,17.0,True,1.0,1,93.542,4959.028,4865.486,14.4,20.0,76.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,18.0,1.0,MEDIUM,18.0,True,1.0,1,93.353,5052.381,4959.028,14.4,20.0,77.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,19.0,1.0,MEDIUM,19.0,True,1.0,1,93.358,5145.739,5052.381,14.4,20.1,77.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,20.0,1.0,MEDIUM,20.0,True,1.0,1,93.064,5238.803,5145.739,14.4,20.1,76.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,21.0,1.0,MEDIUM,21.0,True,1.0,1,95.22,5334.023,5238.803,14.4,20.0,77.0,False,True,False,False,True,False,False,False,False,False,False
VER,1,Red Bull Racing,22.0,2.0,HARD,1.0,True,5.0,1,114.078,5448.101,5334.023,14.4,20.0,77.0,False,False,True,False,True,False,False,False,False,False,False
VER,1,Red Bull Racing,23.0,2.0,HARD,2.0,True,5.0,1,92.682,5540.783,5448.101,14.5,20.0,77.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,24.0,2.0,HARD,3.0,True,4.0,1,92.291,5633.074,5540.783,14.5,19.7,77.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,25.0,2.0,HARD,4.0,True,3.0,1,92.506,5725.58,5633.074,14.4,19.6,77.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,26.0,2.0,HARD,5.0,True,3.0,1,92.448,5818.028,5725.58,14.4,19.6,78.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,27.0,2.0,HARD,6.0,True,3.0,1,92.346,5910.374,5818.028,14.4,19.4,78.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,28.0,2.0,HARD,7.0,True,3.0,1,92.463,6002.837,5910.374,14.5,19.5,78.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,29.0,2.0,HARD,8.0,True,3.0,1,92.148,6094.985,6002.837,14.5,19.6,78.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,30.0,2.0,HARD,9.0,True,2.0,1,92.646,6187.631,6094.985,14.6,19.7,77.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,31.0,2.0,HARD,10.0,True,2.0,1,91.734,6279.365,6187.631,14.5,19.5,77.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,32.0,2.0,HARD,11.0,True,1.0,1,92.033,6371.398,6279.365,14.6,19.5,77.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,33.0,2.0,HARD,12.0,True,1.0,1,91.814,6463.212,6371.398,14.6,19.4,77.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,34.0,2.0,HARD,13.0,True,1.0,1,91.782,6554.994,6463.212,14.5,19.4,78.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,35.0,2.0,HARD,14.0,True,1.0,1,92.01,6647.004,6554.994,14.5,19.5,78.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,36.0,2.0,HARD,15.0,True,1.0,1,91.758,6738.762,6647.004,14.5,19.4,78.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,37.0,2.0,HARD,16.0,True,1.0,1,91.739,6830.501,6738.762,14.4,19.3,77.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,38.0,2.0,HARD,17.0,True,1.0,1,91.788,6922.289,6830.501,14.5,19.3,78.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,39.0,2.0,HARD,18.0,True,1.0,1,91.779,7014.068,6922.289,14.5,19.2,78.0,False,False,False,False,False,False,False,False,False,True,False
