circuit,adj_swap_rate,sd_across_races,n_races,n_transitions,p_hold_15_laps
monaco,0.0047,0.0016,4,249,0.932
singapore,0.0195,0.0021,4,200,0.744
hungaroring,0.0245,0.0099,3,193,0.689
ricard,0.0269,0.0,1,40,0.665
baku,0.0272,0.0125,3,129,0.661
montreal,0.0284,0.0099,4,220,0.65
melbourne,0.0295,0.0105,4,167,0.638
imola,0.0304,0.0158,3,163,0.63
mexico_city,0.0308,0.0108,3,190,0.626
silverstone,0.0315,0.0041,4,160,0.619
interlagos,0.0321,0.0155,3,163,0.613
suzuka,0.0321,0.013,4,169,0.613
red_bull_ring,0.0327,0.0068,3,193,0.607
zandvoort,0.033,0.0195,3,183,0.605
bahrain,0.0334,0.0117,4,201,0.601
miami,0.0339,0.0126,4,194,0.596
shanghai,0.0353,0.0083,2,92,0.583
monza,0.0363,0.01,3,144,0.574
barcelona,0.0366,0.003,4,248,0.572
jeddah,0.0383,0.0094,4,170,0.557
losail,0.0402,0.0134,2,90,0.54
spa,0.0427,0.0178,4,156,0.519
yas_marina,0.0453,0.0084,3,163,0.499
austin,0.0483,0.0187,3,146,0.476
las_vegas,0.0846,0.0178,2,79,0.265
