series,circuit,held_out,train_median_s,test_median_s,rmse_s,n_test_events
f1,austin,2022_austin,21.68,20.9,4.2,26
f1,austin,2023_austin,21.67,21.39,1.81,36
f1,austin,2024_austin,21.21,21.87,2.59,21
f1,austin,2025_austin,21.59,21.71,1.55,18
f1,bahrain,2022_bahrain,24.98,24.22,2.46,33
f1,bahrain,2023_bahrain,24.4,26.14,5.71,44
f1,bahrain,2024_bahrain,24.77,24.82,2.07,37
f1,bahrain,2025_bahrain,25.02,23.87,3.09,28
f1,baku,2022_baku,22.19,25.72,6.87,10
f1,baku,2023_baku,22.28,23.09,2.11,10
f1,baku,2024_baku,22.35,23.43,5.29,17
f1,baku,2025_baku,23.56,21.16,3.12,15
f1,barcelona,2022_barcelona,23.52,22.83,2.98,51
f1,barcelona,2023_barcelona,22.79,24.24,4.39,43
f1,barcelona,2024_barcelona,23.34,22.92,2.02,42
f1,barcelona,2025_barcelona,23.43,22.5,2.61,39
f1,hungaroring,2022_hungaroring,20.9,23.77,4.23,31
f1,hungaroring,2023_hungaroring,21.47,21.95,2.38,36
f1,hungaroring,2024_hungaroring,22.2,20.47,2.25,40
f1,hungaroring,2025_hungaroring,21.94,20.94,3.16,29
f1,imola,2022_imola,28.2,52.55,23.06,22
f1,imola,2024_imola,49.17,27.96,20.85,25
f1,imola,2025_imola,29.37,29.08,7.79,12
f1,interlagos,2022_interlagos,22.36,22.23,2.55,36
f1,interlagos,2023_interlagos,22.38,22.18,1.48,33
f1,interlagos,2025_interlagos,22.19,22.93,4.07,33
f1,jeddah,2022_jeddah,21.56,23.94,9.64,5
f1,jeddah,2023_jeddah,21.18,21.92,7.76,10
f1,jeddah,2024_jeddah,21.78,19.81,2.35,4
f1,jeddah,2025_jeddah,21.92,20.69,2.57,16
f1,las_vegas,2023_las_vegas,23.09,25.68,6.27,14
f1,las_vegas,2024_las_vegas,24.23,23.23,3.67,39
f1,las_vegas,2025_las_vegas,24.01,22.75,4.86,16
f1,losail,2023_losail,26.48,29.75,4.41,41
f1,losail,2024_losail,28.57,29.22,11.15,8
f1,losail,2025_losail,29.75,26.46,4.35,23
f1,melbourne,2022_melbourne,20.48,22.95,3.33,12
f1,melbourne,2023_melbourne,21.14,19.81,1.7,2
f1,melbourne,2024_melbourne,22.35,20.48,3.79,30
f1,mexico_city,2022_mexico_city,23.42,23.26,1.71,23
f1,mexico_city,2023_mexico_city,23.35,23.38,2.12,16
f1,mexico_city,2024_mexico_city,23.21,24.0,5.72,21
f1,mexico_city,2025_mexico_city,23.55,22.81,3.91,26
f1,miami,2022_miami,20.7,21.67,1.83,14
f1,miami,2023_miami,21.02,20.74,2.01,19
f1,miami,2024_miami,20.77,20.91,3.16,12
f1,miami,2025_miami,21.05,19.96,2.02,9
f1,monaco,2022_monaco,19.11,43.81,25.66,14
f1,monaco,2023_monaco,19.26,20.39,9.79,12
f1,monaco,2024_monaco,19.26,20.1,5.07,5
f1,monaco,2025_monaco,37.82,19.08,19.54,36
f1,montreal,2022_montreal,20.51,19.41,2.9,10
f1,montreal,2023_montreal,20.63,20.22,4.93,14
f1,montreal,2024_montreal,19.86,37.72,19.84,17
f1,montreal,2025_montreal,22.37,19.74,3.02,28
f1,monza,2022_monza,25.71,25.72,2.29,19
f1,monza,2023_monza,25.86,25.45,2.08,25
f1,monza,2024_monza,25.23,26.88,4.95,30
f1,monza,2025_monza,25.76,24.71,3.46,19
f1,red_bull_ring,2022_red_bull_ring,21.4,21.77,3.72,35
f1,red_bull_ring,2023_red_bull_ring,21.45,21.76,4.37,27
f1,red_bull_ring,2024_red_bull_ring,21.7,21.34,4.83,44
f1,red_bull_ring,2025_red_bull_ring,21.52,21.53,2.55,30
f1,shanghai,2024_shanghai,24.2,24.74,4.9,22
f1,shanghai,2025_shanghai,24.74,24.2,4.91,24
f1,silverstone,2022_silverstone,39.33,22.82,16.25,18
f1,silverstone,2023_silverstone,35.88,19.8,15.38,10
f1,silverstone,2024_silverstone,22.61,37.62,17.48,45
f1,silverstone,2025_silverstone,30.72,51.7,19.71,16
f1,singapore,2022_singapore,27.25,51.05,19.96,3
f1,singapore,2023_singapore,27.25,28.31,2.27,3
f1,singapore,2024_singapore,23.36,30.22,6.96,22
f1,singapore,2025_singapore,30.22,23.29,7.0,22
f1,spa,2022_spa,19.63,18.77,2.28,36
f1,spa,2023_spa,19.5,19.21,3.62,37
f1,spa,2024_spa,19.16,19.89,1.92,32
f1,spa,2025_spa,19.31,44.4,23.14,26
f1,suzuka,2023_suzuka,23.78,23.21,5.04,28
f1,suzuka,2024_suzuka,23.94,22.8,2.61,35
f1,suzuka,2025_suzuka,23.0,24.47,2.72,21
f1,yas_marina,2022_yas_marina,23.11,24.19,1.69,27
f1,yas_marina,2023_yas_marina,23.48,22.93,1.91,37
f1,yas_marina,2024_yas_marina,23.33,23.49,5.57,21
f1,yas_marina,2025_yas_marina,23.45,22.78,2.62,27
f1,zandvoort,2022_zandvoort,24.65,23.21,3.01,30
f1,zandvoort,2023_zandvoort,23.27,35.38,22.59,60
f1,zandvoort,2024_zandvoort,23.97,24.04,1.38,26
f1,zandvoort,2025_zandvoort,24.31,18.32,6.34,8
