dimension,group,n_entries,n_classified,finish_rate,lo95,hi95
circuit,albert_park,251,178,0.7083,0.6508,0.7627
circuit,monaco,274,211,0.7691,0.7176,0.8169
circuit,baku,162,125,0.7699,0.7025,0.8311
circuit,sepang,154,119,0.771,0.7019,0.8334
circuit,marina_bay,254,200,0.7863,0.734,0.8343
circuit,jeddah,80,64,0.7963,0.7026,0.8761
circuit,villeneuve,254,203,0.798,0.7467,0.8449
circuit,silverstone,314,255,0.8111,0.7661,0.8523
circuit,nurburgring,66,54,0.8134,0.7126,0.8966
circuit,americas,246,202,0.8198,0.7696,0.8651
circuit,interlagos,270,222,0.821,0.7733,0.8643
circuit,hockenheimring,108,89,0.8211,0.7442,0.8869
circuit,spa,294,242,0.822,0.7765,0.8635
circuit,buddh,70,58,0.8239,0.7279,0.9027
circuit,sochi,163,135,0.8262,0.7648,0.8801
circuit,losail,60,50,0.8279,0.7245,0.911
circuit,red_bull_ring,264,219,0.8283,0.7807,0.8712
circuit,monza,294,244,0.8288,0.7839,0.8695
circuit,bahrain,290,241,0.8299,0.7847,0.8708
circuit,rodriguez,182,154,0.8443,0.7885,0.8929
circuit,imola,80,68,0.8457,0.7599,0.9153
circuit,yas_marina,292,248,0.8481,0.8049,0.8868
circuit,yeongam,70,60,0.8521,0.7614,0.9241
circuit,hungaroring,294,252,0.8559,0.8137,0.8936
circuit,suzuka,254,220,0.8647,0.8202,0.9038
circuit,vegas,40,35,0.8659,0.7475,0.9507
circuit,valencia,48,42,0.8673,0.7604,0.9461
circuit,ricard,80,70,0.8704,0.7896,0.9339
circuit,catalunya,294,258,0.8763,0.8364,0.9113
circuit,shanghai,214,190,0.886,0.8404,0.9249
circuit,miami,60,54,0.8934,0.8055,0.9572
circuit,zandvoort,80,72,0.8951,0.8202,0.9516
circuit,istanbul,64,58,0.9,0.817,0.9599
circuit,portimao,40,38,0.939,0.8491,0.9895
era,ground-effect,1359,1165,0.857,0.8379,0.8751
era,hybrid-v6,1247,996,0.7985,0.7758,0.8203
era,v8-blown,1354,1117,0.8247,0.804,0.8445
era,wide-aero,2020,1664,0.8236,0.8067,0.8399
