circuit,season,kind,start_lap,end_lap,duration_laps,start_time_s
monaco,2022,RED,1,1,1,4762.344
monaco,2022,SC,2,2,1,7641.514
monaco,2022,VSC,27,27,1,10006.261
monaco,2022,SC,27,30,4,10113.853
monaco,2022,RED,30,30,1,10442.815
singapore,2022,SC,8,10,3,8617.736
singapore,2022,VSC,22,23,2,10328.287
singapore,2022,VSC,26,27,2,10922.127
singapore,2022,VSC,28,30,3,11216.303
singapore,2022,SC,36,39,4,12209.51
barcelona,2021,SC,8,10,3,2662.323
suzuka,2022,SC,1,2,2,3850.0
suzuka,2022,RED,2,2,1,4032.953
