circuit,n_editions,laps_exposure,sc_races_with_event,sc_deployments,sc_p_occurrence,sc_p_occurrence_ci_low,sc_p_occurrence_ci_high,sc_rate_per_lap,sc_rate_ci_low,sc_rate_ci_high,sc_mean_duration_laps,vsc_races_with_event,vsc_deployments,vsc_p_occurrence,vsc_p_occurrence_ci_low,vsc_p_occurrence_ci_high,vsc_rate_per_lap,vsc_rate_ci_low,vsc_rate_ci_high,vsc_mean_duration_laps
austin,7,392,2,3,0.3125,0.06472826694948343,0.647661654959421,0.008928571428571428,0.0021554453835170343,0.020424444227843525,3.6666666666666665,3,3,0.4375,0.13886421910489025,0.7654987507479062,0.008928571428571428,0.0021554453835170343,0.020424444227843525,2.0
bahrain,8,455,5,6,0.6111111111111112,0.29482344628030865,0.8809608198458341,0.014285714285714285,0.005504121441549813,0.027181983390034668,4.0,4,4,0.5,0.1989656112814958,0.8010343887185041,0.00989010989010989,0.002967460988989405,0.020904140438067726,2.0
baku,7,357,4,6,0.5625,0.23450124925209373,0.8611357808951098,0.018207282913165267,0.007015056739230154,0.03464370432063242,4.5,3,4,0.4375,0.13886421910489025,0.7654987507479062,0.012605042016806723,0.0037820581232217904,0.02664253193087063,2.0
barcelona,8,528,4,4,0.5,0.1989656112814958,0.8010343887185041,0.008522727272727272,0.0025571870264965517,0.018013984657804575,5.5,1,1,0.16666666666666666,0.013838233790320757,0.4537193210324146,0.002840909090909091,0.00020435159339384268,0.008852654928500141,3.0
hungaroring,8,560,1,1,0.16666666666666666,0.013838233790320757,0.4537193210324146,0.0026785714285714286,0.0001926743594856231,0.008346788932585846,2.0,2,4,0.2777777777777778,0.05596688972465874,0.5916235105733374,0.008035714285714285,0.002411062053553891,0.016984614105930027,2.0
imola,5,315,4,5,0.75,0.3713735993680057,0.9774872340008449,0.01746031746031746,0.006056743257517618,0.03479372898574794,5.2,2,2,0.4166666666666667,0.09439032734434406,0.7905833359239951,0.007936507936507936,0.001319383513470893,0.020369050784174645,2.5
interlagos,7,495,6,9,0.8125,0.4992025383809224,0.9841234757872532,0.01919191919191919,0.008996481294937344,0.03318416854720171,4.333333333333333,4,5,0.5625,0.23450124925209373,0.8611357808951098,0.011111111111111112,0.003854291163874848,0.022141463900021415,2.2
jeddah,5,250,5,5,0.9166666666666666,0.6206228577009606,0.9999065793999604,0.022,0.007631496504472199,0.0438400985220424,3.6,2,6,0.4166666666666667,0.09439032734434406,0.7905833359239951,0.026,0.01001750102362066,0.04947120976986309,2.3333333333333335
las_vegas,3,150,1,2,0.375,0.03874761778516517,0.8232639028687426,0.016666666666666666,0.002770705378288875,0.04277500664676676,3.5,2,3,0.625,0.17673609713125732,0.9612523822148348,0.023333333333333334,0.005632897268924517,0.05337588091543109,2.0
losail,3,171,3,5,0.875,0.46441675695704965,0.9998493639745635,0.03216374269005848,0.011157158632269296,0.06409371128953567,4.0,1,1,0.375,0.03874761778516517,0.8232639028687426,0.008771929824561403,0.0006309803585494089,0.027334513463439028,1.0
