season,circuit,driver,finishing_position,decision_lap,real_pit_lap,model_pit_lap,delta_laps,p_best_at_real,p_best_at_model,median_cost_s,real_stop_neutralised
2022,austin,VER,1,8,13,31,18,0.0,0.144,14.19,False
2022,austin,HAM,2,7,12,28,16,0.0,0.0933,14.61,False
2022,austin,LEC,3,13,18,30,12,0.0007,0.162,7.16,True
2022,austin,PER,4,9,14,30,16,0.0,0.1367,14.34,False
2022,austin,RUS,5,8,13,31,18,0.0,0.144,14.19,False
2022,bahrain,LEC,1,10,15,28,13,0.0,0.4287,29.53,True
2022,bahrain,SAI,2,9,14,28,14,0.0,0.0207,29.55,True
2022,bahrain,HAM,3,6,11,25,14,0.0007,0.0993,24.61,False
2022,bahrain,RUS,4,10,15,23,8,0.0053,0.112,9.65,True
2022,bahrain,MAG,5,9,14,29,15,0.0,0.0913,36.02,True
2022,baku,VER,1,13,18,30,12,0.0093,0.0487,3.62,False
2022,baku,PER,2,11,16,31,15,0.008,0.0493,4.39,False
2022,baku,RUS,3,4,9,31,22,0.0013,0.048,9.29,True
2022,baku,HAM,4,4,9,31,22,0.0013,0.048,9.29,True
2022,baku,GAS,5,4,9,31,22,0.0013,0.048,9.29,True
2022,barcelona,VER,1,8,13,31,18,0.0,0.1633,31.35,False
2022,barcelona,PER,2,12,17,32,15,0.0,0.17,19.44,False
2022,barcelona,RUS,3,8,13,31,18,0.0,0.1633,31.35,False
2022,barcelona,SAI,4,5,10,31,21,0.0,0.152,41.8,False
2022,hungaroring,VER,1,11,16,26,10,0.0,0.13,9.08,False
2022,hungaroring,HAM,2,14,19,35,16,0.0,0.6287,16.01,False
2022,hungaroring,RUS,3,11,16,25,9,0.0007,0.1273,7.07,False
2022,hungaroring,SAI,4,12,17,35,18,0.0,0.636,19.88,False
2022,hungaroring,PER,5,13,18,27,9,0.002,0.136,6.3,False
2022,interlagos,RUS,1,19,24,40,16,0.0007,0.1007,13.4,False
2022,interlagos,HAM,2,24,29,42,13,0.01,0.076,7.49,False
2022,interlagos,SAI,3,12,17,29,12,0.0013,0.098,6.37,False
2022,interlagos,ALO,5,9,14,35,21,0.0,0.2373,25.1,False
2022,jeddah,VER,1,11,16,28,12,0.0367,0.0313,0.88,True
2022,jeddah,LEC,2,11,16,28,12,0.0367,0.0313,0.88,True
2022,jeddah,SAI,3,11,16,28,12,0.0367,0.0313,0.88,True
2022,jeddah,PER,4,10,15,22,7,0.034,0.0387,0.37,False
2022,jeddah,RUS,5,11,16,28,12,0.0367,0.0313,0.88,True
2022,melbourne,LEC,1,17,22,18,-4,0.032,0.6187,2.06,False
2022,melbourne,PER,2,15,20,16,-4,0.0333,0.6127,1.18,False
2022,melbourne,RUS,3,18,23,19,-4,0.0353,0.636,1.86,True
2022,melbourne,HAM,4,17,22,18,-4,0.032,0.6187,2.06,False
2022,melbourne,NOR,5,15,20,16,-4,0.0333,0.6127,1.18,False
2022,mexico_city,VER,1,20,25,32,7,0.0427,0.0593,3.29,False
2022,mexico_city,HAM,2,24,29,35,6,0.026,0.0427,0.97,False
2022,mexico_city,PER,3,18,23,34,11,0.0233,0.048,4.48,False
2022,mexico_city,RUS,4,29,34,40,6,0.0493,0.046,0.54,False
2022,mexico_city,SAI,5,24,29,31,2,0.0607,0.0727,0.73,False
2022,miami,VER,1,21,26,28,2,0.086,0.08,0.12,False
2022,miami,LEC,2,19,24,29,5,0.064,0.068,0.31,False
2022,miami,SAI,3,22,27,27,0,0.0767,0.0767,0.0,False
2022,miami,PER,4,22,27,27,0,0.0767,0.0767,0.0,False
2022,miami,RUS,5,35,40,36,-4,0.0273,0.676,0.92,True
2022,montreal,VER,1,4,9,67,58,0.0,0.4587,38.99,True
2022,montreal,SAI,2,15,20,67,47,0.0007,0.4727,26.96,True
2022,montreal,HAM,3,4,9,67,58,0.0,0.4587,38.99,True
2022,montreal,RUS,4,14,19,67,48,0.0007,0.4773,25.51,True
2022,montreal,LEC,5,36,41,37,-4,0.0213,0.7887,2.27,False
2022,monza,VER,1,20,25,42,17,0.01,0.0353,5.95,False
2022,monza,LEC,2,7,12,41,29,0.0,0.0427,16.55,True
2022,monza,RUS,3,18,23,40,17,0.0013,0.046,6.58,False
2022,monza,SAI,4,25,30,26,-4,0.0207,0.784,3.37,False
2022,monza,HAM,5,28,33,29,-4,0.0233,0.7987,2.55,False
2022,red_bull_ring,LEC,1,21,26,37,11,0.0073,0.13,5.91,False
2022,red_bull_ring,VER,2,8,13,39,26,0.0,0.0127,28.81,False
2022,red_bull_ring,HAM,3,23,28,35,7,0.0073,0.1647,3.53,False
2022,red_bull_ring,RUS,4,6,11,39,28,0.0,0.0207,35.58,False
2022,red_bull_ring,OCO,5,11,16,35,19,0.0,0.162,23.12,False
2022,ricard,VER,1,11,16,12,-4,0.0,1.0,,False
2022,ricard,HAM,2,13,18,14,-4,0.0,1.0,,True
2022,ricard,RUS,3,13,18,14,-4,0.0,1.0,,True
2022,ricard,PER,4,13,18,14,-4,0.0,1.0,,True
2022,ricard,SAI,5,13,18,14,-4,0.0,1.0,,True
2022,spa,VER,1,10,15,21,6,0.022,0.0307,3.16,False
2022,spa,PER,2,9,14,22,8,0.0133,0.3473,4.78,False
2022,spa,SAI,3,6,11,21,10,0.0133,0.0213,3.38,False
2022,spa,RUS,4,8,13,22,9,0.0113,0.3387,3.71,False
2022,yas_marina,VER,1,15,20,25,5,0.0167,0.172,1.24,False
2022,yas_marina,LEC,2,16,21,25,4,0.0473,0.182,0.94,False
2022,yas_marina,PER,3,10,15,26,11,0.0053,0.1013,5.91,False
2022,yas_marina,SAI,4,12,17,24,7,0.0087,0.2113,3.86,False
2022,yas_marina,RUS,5,10,15,26,11,0.0053,0.1013,5.91,False
2022,zandvoort,VER,1,13,18,41,23,0.0,0.068,22.11,False
