time_s,Status,Message
0.0,1,AllClear
1531.516,2,Yellow
1537.692,1,AllClear
3063.026,2,Yellow
3073.019,1,AllClear
4762.344,5,Red
7338.135,1,AllClear
7559.441,2,Yellow
7575.238,1,AllClear
7641.514,4,SCDeployed
7717.509,1,AllClear
8067.027,2,Yellow
8069.64,1,AllClear
8505.327,2,Yellow
8512.47,1,AllClear
8579.472,2,Yellow
8586.994,1,AllClear
9195.824,2,Yellow
9199.417,1,AllClear
9474.716,2,Yellow
9481.377,1,AllClear
9992.826,2,Yellow
10006.261,6,VSCDeployed
10113.853,4,SCDeployed
10442.815,5,Red
11408.667,1,AllClear
13803.263,2,Yellow
13810.544,1,AllClear
14075.0,2,Yellow
14083.128,1,AllClear
14660.991,2,Yellow
