time_s,Status,Message
897.999,1,AllClear
2888.38,2,Yellow
4787.419,1,AllClear
5846.264,2,Yellow
6406.991,1,AllClear
7726.566,2,Yellow
7728.063,1,AllClear
8482.302,2,Yellow
8488.424,1,AllClear
8505.12,2,Yellow
8617.736,4,SCDeployed
9005.688,1,AllClear
10291.439,2,Yellow
10328.287,6,VSCDeployed
10500.727,7,VSCEnding
10511.3,1,AllClear
10845.695,2,Yellow
10867.906,1,AllClear
10873.091,2,Yellow
10922.127,6,VSCDeployed
11006.325,7,VSCEnding
11018.22,1,AllClear
11129.126,2,Yellow
11216.303,6,VSCDeployed
11455.964,7,VSCEnding
11470.227,1,AllClear
11820.351,2,Yellow
11826.68,1,AllClear
12168.614,2,Yellow
12209.51,4,SCDeployed
12798.832,1,AllClear
