time_s,Status,Message
0.0,1,AllClear
3178.758,2,Yellow
3512.359,1,AllClear
4390.258,2,Yellow
4399.484,1,AllClear
4645.352,2,Yellow
4648.803,1,AllClear
5257.971,2,Yellow
5268.625,1,AllClear
6465.888,2,Yellow
6469.81,1,AllClear
6578.987,2,Yellow
6618.848,6,VSCDeployed
6707.994,7,VSCEnding
6721.71,1,AllClear
6890.2,4,SCDeployed
7159.333,5,Red
8592.325,1,AllClear
8780.605,2,Yellow
8798.296,1,AllClear
9040.572,2,Yellow
9058.358,1,AllClear
9175.981,2,Yellow
9184.122,1,AllClear
9308.379,2,Yellow
9312.045,4,SCDeployed
9686.301,1,AllClear
9794.9,2,Yellow
9816.771,1,AllClear
10467.095,2,Yellow
10472.696,1,AllClear
