time_s,Status,Message
0.0,2,Yellow
390.062,1,AllClear
1422.51,2,Yellow
2590.428,1,AllClear
3402.108,2,Yellow
3418.107,1,AllClear
3422.7,2,Yellow
3487.014,6,VSCDeployed
3757.206,7,VSCEnding
3770.16,1,AllClear
3802.008,2,Yellow
3821.088,1,AllClear
3895.334,2,Yellow
3958.175,6,VSCDeployed
4162.963,7,VSCEnding
4176.809,1,AllClear
4878.098,2,Yellow
4880.598,1,AllClear
4893.748,4,SCDeployed
5491.469,1,AllClear
5600.525,2,Yellow
5614.741,4,SCDeployed
6107.464,1,AllClear
6177.697,2,Yellow
6180.324,1,AllClear
7995.635,2,Yellow
8005.454,1,AllClear
8307.504,2,Yellow
8309.505,1,AllClear
8380.697,2,Yellow
8390.537,1,AllClear
8430.581,2,Yellow
8441.958,1,AllClear
