time_s,Status,Message
0.0,2,Yellow
44.365,1,AllClear
249.211,2,Yellow
257.337,1,AllClear
273.056,2,Yellow
281.245,1,AllClear
397.821,2,Yellow
411.446,1,AllClear
434.404,2,Yellow
449.649,1,AllClear
1215.255,2,Yellow
1218.801,1,AllClear
1219.311,2,Yellow
2207.927,1,AllClear
2356.147,2,Yellow
2373.441,1,AllClear
4682.176,6,VSCDeployed
4920.872,7,VSCEnding
4932.837,1,AllClear
5311.603,2,Yellow
5328.566,6,VSCDeployed
5479.254,7,VSCEnding
5492.561,1,AllClear
6674.005,6,VSCDeployed
6711.76,7,VSCEnding
6724.353,1,AllClear
