time_s,Status,Message
0.0,2,Yellow
96.643,1,AllClear
118.523,2,Yellow
120.539,1,AllClear
1559.947,2,Yellow
1609.256,1,AllClear
1609.748,2,Yellow
1902.05,1,AllClear
1911.146,2,Yellow
1935.038,1,AllClear
1940.594,2,Yellow
2014.34,1,AllClear
2051.856,2,Yellow
2098.505,1,AllClear
2104.632,2,Yellow
2113.264,1,AllClear
3398.945,2,Yellow
3448.935,4,SCDeployed
3953.861,1,AllClear
4378.517,2,Yellow
4400.561,1,AllClear
5477.257,6,VSCDeployed
5510.297,7,VSCEnding
5522.66,1,AllClear
5721.998,6,VSCDeployed
5815.609,7,VSCEnding
5830.185,1,AllClear
