time_s,Status,Message
0.0,2,Yellow
1415.485,1,AllClear
1417.057,2,Yellow
2771.141,1,AllClear
3493.788,2,Yellow
3525.416,5,Red
3677.062,1,AllClear
3677.928,2,Yellow
4441.635,1,AllClear
4491.949,2,Yellow
4500.732,1,AllClear
4504.133,2,Yellow
4524.46,1,AllClear
4542.851,2,Yellow
4594.279,1,AllClear
5326.268,2,Yellow
5389.72,1,AllClear
5584.451,2,Yellow
5585.936,1,AllClear
9441.35,2,Yellow
9472.189,6,VSCDeployed
9718.65,7,VSCEnding
9729.771,1,AllClear
10658.903,6,VSCDeployed
10710.518,7,VSCEnding
10722.607,1,AllClear
11166.738,2,Yellow
