season,circuit,driver,real_pit_lap,single_car_lap,adversarial_lap,swap_rate,single_car_error,adversarial_error,closed
2022,austin,VER,13,31,33,0.0426,18,20,-2
2022,austin,HAM,12,28,33,0.0426,16,21,-5
2022,austin,LEC,18,30,32,0.0426,12,14,-2
2022,austin,PER,14,30,33,0.0426,16,19,-3
2022,austin,RUS,13,31,33,0.0426,18,20,-2
2022,bahrain,LEC,15,28,30,0.0334,13,15,-2
2022,bahrain,SAI,14,28,28,0.0334,14,14,0
2022,bahrain,HAM,11,25,26,0.0334,14,15,-1
2022,bahrain,RUS,15,23,24,0.0334,8,9,-1
2022,bahrain,MAG,14,29,28,0.0334,15,14,1
2022,baku,VER,18,30,32,0.0258,12,14,-2
2022,baku,PER,16,31,33,0.0258,15,17,-2
2022,baku,RUS,9,31,35,0.0258,22,26,-4
2022,baku,HAM,9,31,34,0.0258,22,25,-3
2022,baku,GAS,9,31,34,0.0258,22,25,-3
2022,barcelona,VER,13,31,34,0.0366,18,21,-3
2022,barcelona,PER,17,32,34,0.0366,15,17,-2
2022,barcelona,RUS,13,31,33,0.0366,18,20,-2
2022,barcelona,SAI,10,31,34,0.0366,21,24,-3
2022,hungaroring,VER,16,26,29,0.0252,10,13,-3
2022,hungaroring,HAM,19,35,36,0.0252,16,17,-1
2022,hungaroring,RUS,16,25,26,0.0252,9,10,-1
2022,hungaroring,SAI,17,35,37,0.0252,18,20,-2
2022,hungaroring,PER,18,27,29,0.0252,9,11,-2
2022,interlagos,RUS,24,40,42,0.0342,16,18,-2
2022,interlagos,HAM,29,42,44,0.0342,13,15,-2
2022,interlagos,SAI,17,29,33,0.0342,12,16,-4
2022,interlagos,ALO,14,35,36,0.0342,21,22,-1
2022,jeddah,VER,16,28,19,0.0383,12,3,9
2022,jeddah,LEC,16,28,25,0.0383,12,9,3
2022,jeddah,SAI,16,28,19,0.0383,12,3,9
2022,jeddah,PER,15,22,22,0.0383,7,7,0
2022,jeddah,RUS,16,28,22,0.0383,12,6,6
2022,melbourne,LEC,22,18,18,0.0295,-4,-4,0
2022,melbourne,PER,20,16,16,0.0295,-4,-4,0
2022,melbourne,RUS,23,19,19,0.0295,-4,-4,0
2022,melbourne,HAM,22,18,18,0.0295,-4,-4,0
2022,melbourne,NOR,20,16,16,0.0295,-4,-4,0
2022,mexico_city,VER,25,32,31,0.0329,7,6,1
2022,mexico_city,HAM,29,35,34,0.0329,6,5,1
2022,mexico_city,PER,23,34,32,0.0329,11,9,2
2022,mexico_city,RUS,34,40,35,0.0329,6,1,5
2022,mexico_city,SAI,29,31,32,0.0329,2,3,-1
2022,miami,VER,26,28,27,0.0339,2,1,1
2022,miami,LEC,24,29,26,0.0339,5,2,3
2022,miami,SAI,27,27,29,0.0339,0,2,-2
2022,miami,PER,27,27,24,0.0339,0,-3,-3
2022,miami,RUS,40,36,36,0.0339,-4,-4,0
2022,montreal,VER,9,67,67,0.0284,58,58,0
2022,montreal,SAI,20,67,47,0.0284,47,27,20
2022,montreal,HAM,9,67,67,0.0284,58,58,0
2022,montreal,RUS,19,67,57,0.0284,48,38,10
2022,montreal,LEC,41,37,37,0.0284,-4,-4,0
2022,monza,VER,25,42,46,0.033,17,21,-4
2022,monza,LEC,12,41,46,0.033,29,34,-5
2022,monza,RUS,23,40,48,0.033,17,25,-8
2022,monza,SAI,30,26,26,0.033,-4,-4,0
2022,monza,HAM,33,29,29,0.033,-4,-4,0
2022,red_bull_ring,LEC,26,37,37,0.0304,11,11,0
2022,red_bull_ring,VER,13,39,39,0.0304,26,26,0
2022,red_bull_ring,HAM,28,35,28,0.0304,7,0,7
