raceId,year,circuitRef,date,temp_mean_c,temp_max_c,humidity_mean_pct,precip_mm,wet,fetch_window
841,2011,albert_park,2011-03-27,15.5,19.0,76.0,0.0,False,local-day
857,2011,buddh,2011-10-30,22.4,29.6,62.7,0.0,False,local-day
845,2011,catalunya,2011-05-22,20.0,25.5,67.7,0.0,False,local-day
851,2011,hungaroring,2011-07-31,15.8,17.2,79.5,1.9,False,local-day
859,2011,interlagos,2011-11-27,19.5,22.9,92.6,14.4,True,local-day
844,2011,istanbul,2011-05-08,11.0,15.5,76.7,0.0,False,local-day
854,2011,marina_bay,2011-09-25,27.3,28.8,81.5,2.6,False,local-day
846,2011,monaco,2011-05-29,19.3,22.6,74.4,0.0,False,local-day
853,2011,monza,2011-09-11,22.8,26.1,75.8,0.1,False,local-day
850,2011,nurburgring,2011-07-24,9.4,12.5,87.4,7.1,True,local-day
842,2011,sepang,2011-04-10,25.0,27.5,90.2,31.2,True,local-day
843,2011,shanghai,2011-04-17,14.1,22.3,55.8,0.0,False,local-day
849,2011,silverstone,2011-07-10,15.5,20.0,78.5,0.6,False,local-day
852,2011,spa,2011-08-28,12.2,14.6,80.4,0.5,False,local-day
855,2011,suzuka,2011-10-09,17.6,22.5,73.8,0.0,False,local-day
848,2011,valencia,2011-06-26,25.8,31.3,62.0,0.0,False,local-day
847,2011,villeneuve,2011-06-12,15.3,17.3,89.7,23.5,True,local-day
858,2011,yas_marina,2011-11-13,22.7,28.2,65.4,0.0,False,local-day
856,2011,yeongam,2011-10-16,17.1,19.4,64.0,0.1,False,local-day
860,2012,albert_park,2012-03-18,17.3,21.4,75.3,0.0,False,local-day
878,2012,americas,2012-11-18,14.4,22.2,56.2,0.0,False,local-day
863,2012,bahrain,2012-04-22,23.9,25.5,61.2,0.0,False,local-day
876,2012,buddh,2012-10-28,21.2,28.0,64.7,0.0,False,local-day
864,2012,catalunya,2012-05-13,18.6,21.9,79.5,2.1,False,local-day
869,2012,hockenheimring,2012-07-22,15.3,19.6,65.6,0.0,False,local-day
870,2012,hungaroring,2012-07-29,24.7,32.3,67.5,7.1,True,local-day
879,2012,interlagos,2012-11-25,17.9,21.7,92.9,16.2,True,local-day
873,2012,marina_bay,2012-09-23,26.7,28.2,85.5,5.9,True,local-day
865,2012,monaco,2012-05-27,18.2,20.4,86.7,3.3,True,local-day
872,2012,monza,2012-09-09,21.4,26.9,68.2,0.0,False,local-day
861,2012,sepang,2012-03-25,25.8,29.2,89.4,9.9,True,local-day
862,2012,shanghai,2012-04-15,15.3,20.0,77.4,0.0,False,local-day
868,2012,silverstone,2012-07-08,14.7,18.9,88.9,13.0,True,local-day
871,2012,spa,2012-09-02,13.3,19.2,77.2,0.0,False,local-day
874,2012,suzuka,2012-10-07,20.3,24.2,75.4,0.0,False,local-day
867,2012,valencia,2012-06-24,25.6,30.1,57.2,0.0,False,local-day
866,2012,villeneuve,2012-06-10,20.1,25.8,63.8,0.0,False,local-day
877,2012,yas_marina,2012-11-04,27.9,33.2,56.4,0.0,False,local-day
875,2012,yeongam,2012-10-14,17.4,22.6,73.0,0.0,False,local-day
880,2013,albert_park,2013-03-17,14.7,16.0,60.3,0.9,False,local-day
898,2013,americas,2013-11-17,24.1,29.0,82.0,0.0,False,local-day
883,2013,bahrain,2013-04-21,25.3,27.7,65.2,0.0,False,local-day
896,2013,buddh,2013-10-27,23.9,29.4,63.0,0.0,False,local-day
884,2013,catalunya,2013-05-12,15.0,17.7,80.2,2.3,False,local-day
890,2013,hungaroring,2013-07-28,28.1,34.6,48.0,0.0,False,local-day
899,2013,interlagos,2013-11-24,18.3,21.0,93.7,9.4,True,local-day
893,2013,marina_bay,2013-09-22,28.2,29.4,78.5,1.7,False,local-day
885,2013,monaco,2013-05-26,13.9,17.1,64.6,0.0,False,local-day
892,2013,monza,2013-09-08,21.0,24.1,82.1,8.2,True,local-day
888,2013,nurburgring,2013-07-07,17.9,22.7,69.7,0.0,False,local-day
881,2013,sepang,2013-03-24,26.2,29.5,86.6,6.3,True,local-day
882,2013,shanghai,2013-04-14,17.7,25.7,57.7,0.0,False,local-day
887,2013,silverstone,2013-06-30,16.5,21.2,75.7,0.0,False,local-day
891,2013,spa,2013-08-25,14.8,17.6,88.8,2.7,False,local-day
895,2013,suzuka,2013-10-13,19.5,24.0,56.5,0.0,False,local-day
886,2013,villeneuve,2013-06-09,18.0,23.2,73.8,0.3,False,local-day
897,2013,yas_marina,2013-11-03,28.9,35.6,56.9,0.0,False,local-day
894,2013,yeongam,2013-10-06,22.3,25.9,76.9,2.7,False,local-day
900,2014,albert_park,2014-03-16,16.1,20.0,58.8,0.7,False,local-day
916,2014,americas,2014-11-02,16.3,23.3,54.3,0.0,False,local-day
902,2014,bahrain,2014-04-06,22.4,24.0,55.8,0.0,False,local-day
904,2014,catalunya,2014-05-11,18.0,21.3,77.2,0.0,False,local-day
909,2014,hockenheimring,2014-07-20,23.4,27.5,66.3,1.6,False,local-day
910,2014,hungaroring,2014-07-27,22.5,27.0,75.0,6.3,True,local-day
917,2014,interlagos,2014-11-09,19.2,22.8,88.0,1.4,False,local-day
