series_code,year,event,circuit_name,session,session_id,car,class,driver_name,driver_id,lap,stint_number,stint_lap,lap_time,lap_time_s1,lap_time_s2,lap_time_s3,pit_time,flags,est_tire_age,air_temp_f,track_temp_f,humidity_percent,raining,race_duration_minutes
imsa,2021,Watkins Glen 240,,race,445,1,GTD,Madison Snow,madison snow,1,1.0,0,130.253,44.768,42.45,43.035,,GF,0,65.9,71.96,67.0,False,163
imsa,2021,Watkins Glen 240,,race,445,1,GTD,Madison Snow,madison snow,2,1.0,1,109.53,25.46,41.413,42.657,,GF,0,65.9,71.96,66.0,False,163
imsa,2021,Watkins Glen 240,,race,445,1,GTD,Madison Snow,madison snow,3,1.0,2,108.564,25.413,40.906,42.245,,GF,1,65.9,72.14,66.0,False,163
imsa,2021,Watkins Glen 240,,race,445,1,GTD,Madison Snow,madison snow,4,1.0,3,108.298,25.442,40.723,42.133,,GF,2,65.8,72.14,67.0,False,163
imsa,2021,Watkins Glen 240,,race,445,1,GTD,Madison Snow,madison snow,5,1.0,4,107.887,25.222,40.527,42.138,,GF,3,65.7,71.96,68.0,False,163
imsa,2021,Watkins Glen 240,,race,445,1,GTD,Madison Snow,madison snow,6,1.0,5,107.927,25.054,40.704,42.169,,GF,4,65.7,72.14,68.0,False,163
imsa,2021,Watkins Glen 240,,race,445,1,GTD,Madison Snow,madison snow,7,1.0,6,107.826,25.136,40.734,41.956,,GF,5,65.7,71.96,68.0,False,163
imsa,2021,Watkins Glen 240,,race,445,1,GTD,Madison Snow,madison snow,8,1.0,7,107.751,25.181,40.561,42.009,,GF,6,65.7,71.96,68.0,False,163
imsa,2021,Watkins Glen 240,,race,445,1,GTD,Madison Snow,madison snow,9,1.0,8,108.379,24.955,41.119,42.305,,GF,7,65.6,71.78,67.0,False,163
imsa,2021,Watkins Glen 240,,race,445,1,GTD,Madison Snow,madison snow,10,1.0,9,108.295,25.062,41.17,42.063,,GF,8,65.6,71.78,68.0,False,163
imsa,2021,Watkins Glen 240,,race,445,1,GTD,Madison Snow,madison snow,11,1.0,10,107.651,25.041,40.714,41.896,,GF,9,65.6,71.78,68.0,False,163
imsa,2021,Watkins Glen 240,,race,445,1,GTD,Madison Snow,madison snow,12,1.0,11,107.612,25.064,40.531,42.017,,GF,10,65.6,71.78,68.0,False,163
imsa,2021,Watkins Glen 240,,race,445,1,GTD,Madison Snow,madison snow,13,1.0,12,107.463,25.003,40.544,41.916,,GF,11,65.6,71.78,68.0,False,163
imsa,2021,Watkins Glen 240,,race,445,1,GTD,Madison Snow,madison snow,14,1.0,13,107.638,24.986,40.749,41.903,,GF,12,65.6,71.78,68.0,False,163
imsa,2021,Watkins Glen 240,,race,445,1,GTD,Madison Snow,madison snow,15,1.0,14,108.47,25.846,40.64,41.984,,GF,13,65.6,71.78,70.0,False,163
imsa,2021,Watkins Glen 240,,race,445,1,GTD,Madison Snow,madison snow,16,1.0,15,107.588,25.024,40.553,42.011,,GF,14,65.5,71.78,72.0,False,163
imsa,2021,Watkins Glen 240,,race,445,1,GTD,Madison Snow,madison snow,17,1.0,16,107.754,25.32,40.504,41.93,,GF,15,65.4,71.78,72.0,False,163
imsa,2021,Watkins Glen 240,,race,445,1,GTD,Madison Snow,madison snow,18,1.0,17,107.425,24.965,40.594,41.866,,GF,16,65.2,71.78,73.0,False,163
imsa,2021,Watkins Glen 240,,race,445,1,GTD,Madison Snow,madison snow,19,1.0,18,107.611,24.94,40.749,41.922,,GF,17,65.0,71.78,75.0,False,163
imsa,2021,Watkins Glen 240,,race,445,1,GTD,Madison Snow,madison snow,20,1.0,19,107.516,24.993,40.547,41.976,,GF,18,64.9,71.6,75.0,False,163
imsa,2021,Watkins Glen 240,,race,445,1,GTD,Madison Snow,madison snow,21,1.0,20,107.576,24.986,40.729,41.861,,GF,19,64.6,71.6,75.0,False,163
imsa,2021,Watkins Glen 240,,race,445,1,GTD,Madison Snow,madison snow,22,1.0,21,107.744,25.117,40.711,41.916,,GF,20,64.4,71.6,75.0,False,163
imsa,2021,Watkins Glen 240,,race,445,1,GTD,Madison Snow,madison snow,23,1.0,22,107.802,24.918,40.962,41.922,,GF,21,64.1,71.24,76.0,False,163
imsa,2021,Watkins Glen 240,,race,445,1,GTD,Madison Snow,madison snow,24,1.0,23,107.499,25.112,40.559,41.828,,GF,22,63.9,71.24,76.0,False,163
imsa,2021,Watkins Glen 240,,race,445,1,GTD,Madison Snow,madison snow,25,1.0,24,108.594,25.116,41.488,41.99,,GF,23,63.7,71.06,76.0,False,163
imsa,2021,Watkins Glen 240,,race,445,1,GTD,Madison Snow,madison snow,26,1.0,25,107.659,24.913,40.902,41.844,,GF,24,63.5,71.06,76.0,False,163
imsa,2021,Watkins Glen 240,,race,445,1,GTD,Madison Snow,madison snow,27,1.0,26,107.19,24.916,40.46,41.814,,GF,25,63.5,71.06,76.0,False,163
imsa,2021,Watkins Glen 240,,race,445,1,GTD,Madison Snow,madison snow,28,1.0,27,107.476,24.922,40.614,41.94,,GF,26,63.4,70.88,77.0,False,163
imsa,2021,Watkins Glen 240,,race,445,1,GTD,Madison Snow,madison snow,29,1.0,28,107.993,24.991,40.84,42.162,,GF,27,63.3,70.88,77.0,False,163
imsa,2021,Watkins Glen 240,,race,445,1,GTD,Madison Snow,madison snow,30,1.0,29,121.835,25.091,41.225,55.519,,GF,28,63.3,70.88,77.0,False,163
imsa,2021,Watkins Glen 240,,race,445,1,GTD,Bryan Sellers,bryan sellers,31,2.0,0,182.682,82.613,48.675,51.394,72.367,FCY,0,63.3,70.7,77.0,False,163
imsa,2021,Watkins Glen 240,,race,445,1,GTD,Bryan Sellers,bryan sellers,32,2.0,1,196.385,45.293,76.386,74.706,,FCY,0,63.2,70.7,77.0,False,163
imsa,2021,Watkins Glen 240,,race,445,1,GTD,Bryan Sellers,bryan sellers,33,2.0,2,157.546,35.461,62.71,59.375,,FCY,0,63.2,70.7,77.0,False,163
imsa,2021,Watkins Glen 240,,race,445,1,GTD,Bryan Sellers,bryan sellers,34,2.0,3,2993.239,2847.951,77.522,67.766,2616.738,FCY,0,62.5,69.62,73.0,False,163
