series_code,year,event,circuit_name,session,session_id,car,class,driver_name,driver_id,lap,stint_number,stint_lap,lap_time,lap_time_s1,lap_time_s2,lap_time_s3,pit_time,flags,est_tire_age,air_temp_f,track_temp_f,humidity_percent,raining,race_duration_minutes
imsa,2021,Watkins Glen 6 Hours,,race,382,1,GTD,Corey Lewis,corey lewis,1,1.0,0,140.997,55.037,42.91,43.05,,GF,0,,,,,361
imsa,2021,Watkins Glen 6 Hours,,race,382,1,GTD,Corey Lewis,corey lewis,2,1.0,1,109.692,25.365,41.566,42.761,,GF,0,,,,,361
imsa,2021,Watkins Glen 6 Hours,,race,382,1,GTD,Corey Lewis,corey lewis,3,1.0,2,108.496,25.263,40.885,42.348,,GF,1,,,,,361
imsa,2021,Watkins Glen 6 Hours,,race,382,1,GTD,Corey Lewis,corey lewis,4,1.0,3,124.216,25.138,41.575,57.503,,FCY,2,,,,,361
imsa,2021,Watkins Glen 6 Hours,,race,382,1,GTD,Corey Lewis,corey lewis,5,1.0,4,146.456,34.256,54.288,57.912,,FCY,2,,,,,361
imsa,2021,Watkins Glen 6 Hours,,race,382,1,GTD,Corey Lewis,corey lewis,6,1.0,5,138.768,35.876,51.902,50.99,,FCY,2,,,,,361
imsa,2021,Watkins Glen 6 Hours,,race,382,1,GTD,Corey Lewis,corey lewis,7,1.0,6,230.324,60.375,82.889,87.06,,FCY,2,,,,,361
imsa,2021,Watkins Glen 6 Hours,,race,382,1,GTD,Corey Lewis,corey lewis,8,1.0,7,202.131,65.891,71.276,64.964,,FCY,2,,,,,361
imsa,2021,Watkins Glen 6 Hours,,race,382,1,GTD,Corey Lewis,corey lewis,9,1.0,8,156.479,39.859,66.566,50.054,,GF,2,,,,,361
imsa,2021,Watkins Glen 6 Hours,,race,382,1,GTD,Corey Lewis,corey lewis,10,1.0,9,122.388,25.309,41.129,55.95,,GF,3,,,,,361
imsa,2021,Watkins Glen 6 Hours,,race,382,1,GTD,Corey Lewis,corey lewis,11,1.0,10,135.98,52.968,40.852,42.16,46.349,GF,0,,,,,361
imsa,2021,Watkins Glen 6 Hours,,race,382,1,GTD,Corey Lewis,corey lewis,12,1.0,11,108.951,25.208,41.194,42.549,,GF,0,,,,,361
