series_code,year,event,circuit_name,session,session_id,car,class,driver_name,driver_id,lap,stint_number,stint_lap,lap_time,lap_time_s1,lap_time_s2,lap_time_s3,pit_time,flags,est_tire_age,air_temp_f,track_temp_f,humidity_percent,raining,race_duration_minutes
imsa,2022,Belle Isle,Detroit Belle Isle Grand Prix,race,456,1,GTD,Madison Snow,madison snow,1,1.0,0,97.154,34.256,35.534,27.364,,GF,0,73.8,119.3,33.0,False,102
imsa,2022,Belle Isle,Detroit Belle Isle Grand Prix,race,456,1,GTD,Madison Snow,madison snow,2,1.0,1,91.737,30.352,34.153,27.232,,GF,0,73.9,119.48,33.0,False,102
imsa,2022,Belle Isle,Detroit Belle Isle Grand Prix,race,456,1,GTD,Madison Snow,madison snow,3,1.0,2,90.698,29.861,33.86,26.977,,GF,1,73.9,118.94,33.0,False,102
imsa,2022,Belle Isle,Detroit Belle Isle Grand Prix,race,456,1,GTD,Madison Snow,madison snow,4,1.0,3,90.414,29.826,33.839,26.749,,GF,2,73.3,117.86,35.0,False,102
imsa,2022,Belle Isle,Detroit Belle Isle Grand Prix,race,456,1,GTD,Madison Snow,madison snow,5,1.0,4,90.149,29.806,33.65,26.693,,GF,3,73.2,118.22,35.0,False,102
imsa,2022,Belle Isle,Detroit Belle Isle Grand Prix,race,456,1,GTD,Madison Snow,madison snow,6,1.0,5,89.91,29.647,33.559,26.704,,GF,4,73.4,118.76,34.0,False,102
imsa,2022,Belle Isle,Detroit Belle Isle Grand Prix,race,456,1,GTD,Madison Snow,madison snow,7,1.0,6,89.622,29.49,33.494,26.638,,GF,5,73.5,117.68,34.0,False,102
imsa,2022,Belle Isle,Detroit Belle Isle Grand Prix,race,456,1,GTD,Madison Snow,madison snow,8,1.0,7,89.897,29.513,33.619,26.765,,GF,6,73.4,118.4,34.0,False,102
imsa,2022,Belle Isle,Detroit Belle Isle Grand Prix,race,456,1,GTD,Madison Snow,madison snow,9,1.0,8,90.154,29.788,33.654,26.712,,GF,7,73.3,118.4,35.0,False,102
imsa,2022,Belle Isle,Detroit Belle Isle Grand Prix,race,456,1,GTD,Madison Snow,madison snow,10,1.0,9,90.027,29.665,33.673,26.689,,GF,8,73.7,118.76,36.0,False,102
