series_code,year,event,circuit_name,session,session_id,car,class,driver_name,driver_id,lap,stint_number,stint_lap,lap_time,lap_time_s1,lap_time_s2,lap_time_s3,pit_time,flags,est_tire_age,air_temp_f,track_temp_f,humidity_percent,raining,race_duration_minutes
imsa,2022,Lime Rock,Lime Rock Park,race,471,1,GTD,Madison Snow,madison snow,1,1.0,0,57.613,25.167,20.205,12.241,,GF,0,79.8,120.0,66.0,False,161
imsa,2022,Lime Rock,Lime Rock Park,race,471,1,GTD,Madison Snow,madison snow,2,1.0,1,53.894,22.196,19.54,12.158,,GF,0,79.9,121.0,66.0,False,161
imsa,2022,Lime Rock,Lime Rock Park,race,471,1,GTD,Madison Snow,madison snow,3,1.0,2,53.535,22.04,19.349,12.146,,GF,1,80.0,122.0,66.0,False,161
imsa,2022,Lime Rock,Lime Rock Park,race,471,1,GTD,Madison Snow,madison snow,4,1.0,3,53.488,22.163,19.143,12.182,,GF,2,80.0,119.0,66.0,False,161
imsa,2022,Lime Rock,Lime Rock Park,race,471,1,GTD,Madison Snow,madison snow,5,1.0,4,53.376,22.124,19.143,12.109,,GF,3,80.1,117.0,66.0,False,161
imsa,2022,Lime Rock,Lime Rock Park,race,471,1,GTD,Madison Snow,madison snow,6,1.0,5,53.273,22.08,19.086,12.107,,GF,4,80.1,116.0,65.0,False,161
imsa,2022,Lime Rock,Lime Rock Park,race,471,1,GTD,Madison Snow,madison snow,7,1.0,6,53.647,22.105,19.28,12.262,,GF,5,80.0,115.0,65.0,False,161
imsa,2022,Lime Rock,Lime Rock Park,race,471,1,GTD,Madison Snow,madison snow,8,1.0,7,53.246,22.002,19.12,12.124,,GF,6,80.0,115.0,65.0,False,161
imsa,2022,Lime Rock,Lime Rock Park,race,471,1,GTD,Madison Snow,madison snow,9,1.0,8,53.196,22.04,19.066,12.09,,GF,7,80.0,115.0,65.0,False,161
imsa,2022,Lime Rock,Lime Rock Park,race,471,1,GTD,Madison Snow,madison snow,10,1.0,9,53.322,22.089,19.059,12.174,,GF,8,79.9,114.0,66.0,False,161
imsa,2022,Lime Rock,Lime Rock Park,race,471,1,GTD,Madison Snow,madison snow,11,1.0,10,53.36,22.122,19.144,12.094,,GF,9,79.9,113.0,66.0,False,161
imsa,2022,Lime Rock,Lime Rock Park,race,471,1,GTD,Madison Snow,madison snow,12,1.0,11,53.305,21.957,19.212,12.136,,GF,10,79.8,114.0,66.0,False,161
imsa,2022,Lime Rock,Lime Rock Park,race,471,1,GTD,Madison Snow,madison snow,13,1.0,12,53.435,22.047,19.231,12.157,,GF,11,79.8,115.0,67.0,False,161
imsa,2022,Lime Rock,Lime Rock Park,race,471,1,GTD,Madison Snow,madison snow,14,1.0,13,53.316,22.021,19.161,12.134,,GF,12,79.8,114.0,67.0,False,161
imsa,2022,Lime Rock,Lime Rock Park,race,471,1,GTD,Madison Snow,madison snow,15,1.0,14,53.506,22.091,19.249,12.166,,GF,13,79.9,114.0,66.0,False,161
imsa,2022,Lime Rock,Lime Rock Park,race,471,1,GTD,Madison Snow,madison snow,16,1.0,15,53.283,22.016,19.068,12.199,,GF,14,79.9,114.0,66.0,False,161
imsa,2022,Lime Rock,Lime Rock Park,race,471,1,GTD,Madison Snow,madison snow,17,1.0,16,53.462,21.979,19.244,12.239,,GF,15,79.9,114.0,66.0,False,161
imsa,2022,Lime Rock,Lime Rock Park,race,471,1,GTD,Madison Snow,madison snow,18,1.0,17,53.53,22.127,19.197,12.206,,GF,16,79.9,114.0,66.0,False,161
imsa,2022,Lime Rock,Lime Rock Park,race,471,1,GTD,Madison Snow,madison snow,19,1.0,18,53.396,22.004,19.161,12.231,,GF,17,79.9,115.0,66.0,False,161
imsa,2022,Lime Rock,Lime Rock Park,race,471,1,GTD,Madison Snow,madison snow,20,1.0,19,53.594,22.155,19.231,12.208,,GF,18,79.8,117.0,66.0,False,161
imsa,2022,Lime Rock,Lime Rock Park,race,471,1,GTD,Madison Snow,madison snow,21,1.0,20,53.539,22.1,19.231,12.208,,GF,19,79.8,118.0,66.0,False,161
imsa,2022,Lime Rock,Lime Rock Park,race,471,1,GTD,Madison Snow,madison snow,22,1.0,21,53.643,22.204,19.272,12.167,,GF,20,79.8,120.0,66.0,False,161
imsa,2022,Lime Rock,Lime Rock Park,race,471,1,GTD,Madison Snow,madison snow,23,1.0,22,53.685,22.132,19.302,12.251,,GF,21,79.8,122.0,66.0,False,161
imsa,2022,Lime Rock,Lime Rock Park,race,471,1,GTD,Madison Snow,madison snow,24,1.0,23,53.652,22.199,19.249,12.204,,GF,22,79.9,122.0,66.0,False,161
imsa,2022,Lime Rock,Lime Rock Park,race,471,1,GTD,Madison Snow,madison snow,25,1.0,24,53.772,22.268,19.271,12.233,,GF,23,79.9,122.0,66.0,False,161
imsa,2022,Lime Rock,Lime Rock Park,race,471,1,GTD,Madison Snow,madison snow,26,1.0,25,53.703,22.285,19.166,12.252,,GF,24,79.9,123.0,66.0,False,161
imsa,2022,Lime Rock,Lime Rock Park,race,471,1,GTD,Madison Snow,madison snow,27,1.0,26,54.635,22.344,19.744,12.547,,GF,25,80.0,124.0,65.0,False,161
imsa,2022,Lime Rock,Lime Rock Park,race,471,1,GTD,Madison Snow,madison snow,28,1.0,27,54.204,22.448,19.538,12.218,,GF,26,80.0,124.0,65.0,False,161
imsa,2022,Lime Rock,Lime Rock Park,race,471,1,GTD,Madison Snow,madison snow,29,1.0,28,54.382,22.456,19.619,12.307,,GF,27,80.2,125.0,67.0,False,161
imsa,2022,Lime Rock,Lime Rock Park,race,471,1,GTD,Madison Snow,madison snow,30,1.0,29,53.978,22.282,19.428,12.268,,GF,28,80.3,125.0,66.0,False,161
imsa,2022,Lime Rock,Lime Rock Park,race,471,1,GTD,Madison Snow,madison snow,31,1.0,30,53.98,22.228,19.532,12.22,,GF,29,80.5,127.0,66.0,False,161
imsa,2022,Lime Rock,Lime Rock Park,race,471,1,GTD,Madison Snow,madison snow,32,1.0,31,54.091,22.381,19.427,12.283,,GF,30,80.6,128.0,65.0,False,161
