series_code,year,event,circuit_name,session,session_id,car,class,driver_name,driver_id,lap,stint_number,stint_lap,lap_time,lap_time_s1,lap_time_s2,lap_time_s3,pit_time,flags,est_tire_age,air_temp_f,track_temp_f,humidity_percent,raining,race_duration_minutes
imsa,2022,Long Beach,Acura Grand Prix of Long Beach,race,476,14,GTDPRO,Jack Hawksworth,jack hawksworth,1,1.0,0,86.389,31.687,30.898,23.804,,GF,0,69.2,126.14,73.0,False,102
imsa,2022,Long Beach,Acura Grand Prix of Long Beach,race,476,14,GTDPRO,Jack Hawksworth,jack hawksworth,2,1.0,1,80.229,26.037,30.523,23.669,,GF,0,69.3,126.14,72.0,False,102
imsa,2022,Long Beach,Acura Grand Prix of Long Beach,race,476,14,GTDPRO,Jack Hawksworth,jack hawksworth,3,1.0,2,79.745,25.969,30.277,23.499,,GF,1,69.4,126.14,72.0,False,102
imsa,2022,Long Beach,Acura Grand Prix of Long Beach,race,476,14,GTDPRO,Jack Hawksworth,jack hawksworth,4,1.0,3,79.836,25.89,30.468,23.478,,GF,2,69.4,125.96,72.0,False,102
imsa,2022,Long Beach,Acura Grand Prix of Long Beach,race,476,14,GTDPRO,Jack Hawksworth,jack hawksworth,5,1.0,4,80.075,25.969,30.582,23.524,,GF,3,69.4,125.6,71.0,False,102
imsa,2022,Long Beach,Acura Grand Prix of Long Beach,race,476,14,GTDPRO,Jack Hawksworth,jack hawksworth,6,1.0,5,80.217,26.046,30.558,23.613,,GF,4,69.6,125.78,70.0,False,102
imsa,2022,Long Beach,Acura Grand Prix of Long Beach,race,476,14,GTDPRO,Jack Hawksworth,jack hawksworth,7,1.0,6,79.961,26.022,30.417,23.522,,GF,5,69.7,125.96,70.0,False,102
imsa,2022,Long Beach,Acura Grand Prix of Long Beach,race,476,14,GTDPRO,Jack Hawksworth,jack hawksworth,8,1.0,7,80.091,26.096,30.485,23.51,,GF,6,69.8,125.96,70.0,False,102
imsa,2022,Long Beach,Acura Grand Prix of Long Beach,race,476,14,GTDPRO,Jack Hawksworth,jack hawksworth,9,1.0,8,79.924,25.948,30.492,23.484,,GF,7,69.9,126.32,69.0,False,102
imsa,2022,Long Beach,Acura Grand Prix of Long Beach,race,476,14,GTDPRO,Jack Hawksworth,jack hawksworth,10,1.0,9,80.69,26.072,31.084,23.534,,GF,8,70.0,126.5,70.0,False,102
imsa,2022,Long Beach,Acura Grand Prix of Long Beach,race,476,14,GTDPRO,Jack Hawksworth,jack hawksworth,11,1.0,10,80.787,26.753,30.465,23.569,,GF,9,70.2,126.68,69.0,False,102
imsa,2022,Long Beach,Acura Grand Prix of Long Beach,race,476,14,GTDPRO,Jack Hawksworth,jack hawksworth,12,1.0,11,79.797,25.881,30.436,23.48,,GF,10,70.3,126.68,70.0,False,102
imsa,2022,Long Beach,Acura Grand Prix of Long Beach,race,476,14,GTDPRO,Jack Hawksworth,jack hawksworth,13,1.0,12,79.513,25.846,30.309,23.358,,GF,11,70.5,126.86,71.0,False,102
imsa,2022,Long Beach,Acura Grand Prix of Long Beach,race,476,14,GTDPRO,Jack Hawksworth,jack hawksworth,14,1.0,13,79.864,25.909,30.438,23.517,,GF,12,70.6,127.04,72.0,False,102
