series_code,year,event,circuit_name,session,session_id,car,class,driver_name,driver_id,lap,stint_number,stint_lap,lap_time,lap_time_s1,lap_time_s2,lap_time_s3,pit_time,flags,est_tire_age,air_temp_f,track_temp_f,humidity_percent,raining,race_duration_minutes
imsa,2022,Mid-Ohio,Mid-Ohio Sports Car Course,race,480,1,GTD,Madison Snow,madison snow,1,1.0,0,123.789,37.276,41.367,45.146,,GF,0,78.9,119.12,46.0,False,162
imsa,2022,Mid-Ohio,Mid-Ohio Sports Car Course,race,480,1,GTD,Madison Snow,madison snow,2,1.0,1,85.203,12.075,31.183,41.945,,GF,0,78.9,119.12,45.0,False,162
imsa,2022,Mid-Ohio,Mid-Ohio Sports Car Course,race,480,1,GTD,Madison Snow,madison snow,3,1.0,2,83.355,11.768,30.201,41.386,,GF,1,78.9,119.3,46.0,False,162
imsa,2022,Mid-Ohio,Mid-Ohio Sports Car Course,race,480,1,GTD,Madison Snow,madison snow,4,1.0,3,83.457,11.751,30.301,41.405,,GF,2,78.9,119.3,47.0,False,162
imsa,2022,Mid-Ohio,Mid-Ohio Sports Car Course,race,480,1,GTD,Madison Snow,madison snow,5,1.0,4,83.032,11.717,30.072,41.243,,GF,3,79.0,119.3,47.0,False,162
imsa,2022,Mid-Ohio,Mid-Ohio Sports Car Course,race,480,1,GTD,Madison Snow,madison snow,6,1.0,5,83.001,11.738,30.282,40.981,,GF,4,79.3,119.3,45.0,False,162
imsa,2022,Mid-Ohio,Mid-Ohio Sports Car Course,race,480,1,GTD,Madison Snow,madison snow,7,1.0,6,82.856,11.726,30.253,40.877,,GF,5,79.3,119.48,44.0,False,162
imsa,2022,Mid-Ohio,Mid-Ohio Sports Car Course,race,480,1,GTD,Madison Snow,madison snow,8,1.0,7,82.789,11.719,30.004,41.066,,GF,6,79.2,119.66,45.0,False,162
imsa,2022,Mid-Ohio,Mid-Ohio Sports Car Course,race,480,1,GTD,Madison Snow,madison snow,9,1.0,8,83.403,12.053,30.181,41.169,,GF,7,79.1,119.66,45.0,False,162
imsa,2022,Mid-Ohio,Mid-Ohio Sports Car Course,race,480,1,GTD,Madison Snow,madison snow,10,1.0,9,83.265,12.105,29.963,41.197,,GF,8,79.1,119.84,46.0,False,162
imsa,2022,Mid-Ohio,Mid-Ohio Sports Car Course,race,480,1,GTD,Madison Snow,madison snow,11,1.0,10,83.007,11.742,30.241,41.024,,GF,9,79.2,119.66,46.0,False,162
imsa,2022,Mid-Ohio,Mid-Ohio Sports Car Course,race,480,1,GTD,Madison Snow,madison snow,12,1.0,11,82.602,11.755,29.974,40.873,,GF,10,79.4,119.84,44.0,False,162
imsa,2022,Mid-Ohio,Mid-Ohio Sports Car Course,race,480,1,GTD,Madison Snow,madison snow,13,1.0,12,82.67,11.688,30.109,40.873,,GF,11,79.3,120.02,43.0,False,162
imsa,2022,Mid-Ohio,Mid-Ohio Sports Car Course,race,480,1,GTD,Madison Snow,madison snow,14,1.0,13,83.317,11.954,30.241,41.122,,GF,12,79.4,120.02,45.0,False,162
imsa,2022,Mid-Ohio,Mid-Ohio Sports Car Course,race,480,1,GTD,Madison Snow,madison snow,15,1.0,14,82.918,11.674,30.087,41.157,,GF,13,79.4,120.2,45.0,False,162
imsa,2022,Mid-Ohio,Mid-Ohio Sports Car Course,race,480,1,GTD,Madison Snow,madison snow,16,1.0,15,83.078,11.706,30.167,41.205,,GF,14,79.4,120.38,45.0,False,162
imsa,2022,Mid-Ohio,Mid-Ohio Sports Car Course,race,480,1,GTD,Madison Snow,madison snow,17,1.0,16,83.229,11.715,30.016,41.498,,GF,15,79.5,120.56,45.0,False,162
imsa,2022,Mid-Ohio,Mid-Ohio Sports Car Course,race,480,1,GTD,Madison Snow,madison snow,18,1.0,17,84.091,11.894,30.269,41.928,,GF,16,79.7,120.74,45.0,False,162
imsa,2022,Mid-Ohio,Mid-Ohio Sports Car Course,race,480,1,GTD,Madison Snow,madison snow,19,1.0,18,83.32,11.799,30.141,41.38,,GF,17,80.0,120.74,45.0,False,162
imsa,2022,Mid-Ohio,Mid-Ohio Sports Car Course,race,480,1,GTD,Madison Snow,madison snow,20,1.0,19,83.918,11.706,30.844,41.368,,GF,18,80.0,120.74,44.0,False,162
