series_code,year,event,circuit_name,session,session_id,car,class,driver_name,driver_id,lap,stint_number,stint_lap,lap_time,lap_time_s1,lap_time_s2,lap_time_s3,pit_time,flags,est_tire_age,air_temp_f,track_temp_f,humidity_percent,raining,race_duration_minutes
imsa,2022,Road America,Road America,race,485,14,GTDPRO,Jack Hawksworth,jack hawksworth,1,1.0,0,156.856,42.556,75.049,39.251,,GF,0,73.9,77.54,89.0,False,161
imsa,2022,Road America,Road America,race,485,14,GTDPRO,Jack Hawksworth,jack hawksworth,2,1.0,1,129.883,15.953,74.659,39.271,,GF,0,73.9,77.72,89.0,False,161
imsa,2022,Road America,Road America,race,485,14,GTDPRO,Jack Hawksworth,jack hawksworth,3,1.0,2,129.623,15.862,74.642,39.119,,GF,1,73.9,77.72,89.0,False,161
imsa,2022,Road America,Road America,race,485,14,GTDPRO,Jack Hawksworth,jack hawksworth,4,1.0,3,130.926,15.994,75.477,39.455,,GF,2,73.9,77.54,89.0,False,161
imsa,2022,Road America,Road America,race,485,14,GTDPRO,Jack Hawksworth,jack hawksworth,5,1.0,4,131.876,15.994,76.367,39.515,,GF,3,73.9,77.0,89.0,False,161
imsa,2022,Road America,Road America,race,485,14,GTDPRO,Jack Hawksworth,jack hawksworth,6,1.0,5,131.095,15.983,75.443,39.669,,GF,4,73.9,77.0,89.0,False,161
imsa,2022,Road America,Road America,race,485,14,GTDPRO,Jack Hawksworth,jack hawksworth,7,1.0,6,130.702,16.187,75.453,39.062,,GF,5,73.9,77.0,90.0,False,161
imsa,2022,Road America,Road America,race,485,14,GTDPRO,Jack Hawksworth,jack hawksworth,8,1.0,7,129.225,15.841,74.404,38.98,,GF,6,74.0,77.54,90.0,False,161
imsa,2022,Road America,Road America,race,485,14,GTDPRO,Jack Hawksworth,jack hawksworth,9,1.0,8,129.503,15.84,74.788,38.875,,GF,7,74.1,77.72,90.0,False,161
imsa,2022,Road America,Road America,race,485,14,GTDPRO,Jack Hawksworth,jack hawksworth,10,1.0,9,129.439,15.853,74.549,39.037,,GF,8,73.9,77.9,89.0,False,161
imsa,2022,Road America,Road America,race,485,14,GTDPRO,Jack Hawksworth,jack hawksworth,11,1.0,10,130.004,15.875,74.956,39.173,,GF,9,73.9,77.72,90.0,False,161
imsa,2022,Road America,Road America,race,485,14,GTDPRO,Jack Hawksworth,jack hawksworth,12,1.0,11,132.67,16.19,76.009,40.471,,FCY,10,73.9,77.72,90.0,False,161
imsa,2022,Road America,Road America,race,485,14,GTDPRO,Jack Hawksworth,jack hawksworth,13,1.0,12,158.134,19.407,91.211,47.516,,FCY,10,74.0,77.18,90.0,False,161
imsa,2022,Road America,Road America,race,485,14,GTDPRO,Jack Hawksworth,jack hawksworth,14,1.0,13,163.826,19.819,95.736,48.271,,FCY,10,73.9,77.0,90.0,False,161
imsa,2022,Road America,Road America,race,485,14,GTDPRO,Jack Hawksworth,jack hawksworth,15,1.0,14,253.784,21.387,157.565,74.832,,FCY,10,73.7,76.46,90.0,False,161
imsa,2022,Road America,Road America,race,485,14,GTDPRO,Jack Hawksworth,jack hawksworth,16,1.0,15,286.55,36.806,159.487,90.257,,FCY,10,73.8,76.46,90.0,False,161
imsa,2022,Road America,Road America,race,485,14,GTDPRO,Ben Barnicoat,ben barnicoat,17,2.0,0,263.311,68.444,121.052,73.815,68.086,FCY,0,73.8,76.64,90.0,False,161
