series_code,year,event,circuit_name,session,session_id,car,class,driver_name,driver_id,lap,stint_number,stint_lap,lap_time,lap_time_s1,lap_time_s2,lap_time_s3,pit_time,flags,est_tire_age,air_temp_f,track_temp_f,humidity_percent,raining,race_duration_minutes
imsa,2023,Indianapolis,Indianapolis Motor Speedway,race,528,14,GTDPRO,Jack Hawksworth,jack hawksworth,1,1.0,0,138.358,71.014,32.47,34.874,,FCY,0,69.0,86.0,68.0,False,162
imsa,2023,Indianapolis,Indianapolis Motor Speedway,race,528,14,GTDPRO,Jack Hawksworth,jack hawksworth,2,1.0,1,135.604,37.96,37.182,60.462,,FCY,0,69.0,85.82,68.0,False,162
imsa,2023,Indianapolis,Indianapolis Motor Speedway,race,528,14,GTDPRO,Jack Hawksworth,jack hawksworth,3,1.0,2,175.465,56.608,55.062,63.795,,FCY,0,69.2,87.08,67.0,False,162
imsa,2023,Indianapolis,Indianapolis Motor Speedway,race,528,14,GTDPRO,Jack Hawksworth,jack hawksworth,4,1.0,3,128.539,53.138,48.622,26.779,,GF,0,69.0,87.98,68.0,False,162
imsa,2023,Indianapolis,Indianapolis Motor Speedway,race,528,14,GTDPRO,Jack Hawksworth,jack hawksworth,5,1.0,4,84.849,29.049,29.198,26.602,,GF,1,69.0,88.52,68.0,False,162
imsa,2023,Indianapolis,Indianapolis Motor Speedway,race,528,14,GTDPRO,Jack Hawksworth,jack hawksworth,6,1.0,5,84.719,28.98,29.113,26.626,,GF,2,69.1,87.98,68.0,False,162
imsa,2023,Indianapolis,Indianapolis Motor Speedway,race,528,14,GTDPRO,Jack Hawksworth,jack hawksworth,7,1.0,6,84.927,28.982,29.167,26.778,,GF,3,69.2,87.98,68.0,False,162
imsa,2023,Indianapolis,Indianapolis Motor Speedway,race,528,14,GTDPRO,Jack Hawksworth,jack hawksworth,8,1.0,7,85.273,29.099,29.306,26.868,,GF,4,69.7,89.6,67.0,False,162
imsa,2023,Indianapolis,Indianapolis Motor Speedway,race,528,14,GTDPRO,Jack Hawksworth,jack hawksworth,9,1.0,8,85.524,29.167,29.542,26.815,,GF,5,70.0,90.14,67.0,False,162
imsa,2023,Indianapolis,Indianapolis Motor Speedway,race,528,14,GTDPRO,Jack Hawksworth,jack hawksworth,10,1.0,9,85.431,29.278,29.267,26.886,,GF,6,70.2,90.14,67.0,False,162
imsa,2023,Indianapolis,Indianapolis Motor Speedway,race,528,14,GTDPRO,Jack Hawksworth,jack hawksworth,11,1.0,10,86.582,29.619,29.954,27.009,,GF,7,70.5,91.04,66.0,False,162
imsa,2023,Indianapolis,Indianapolis Motor Speedway,race,528,14,GTDPRO,Jack Hawksworth,jack hawksworth,12,1.0,11,87.546,29.712,30.909,26.925,,GF,8,70.6,90.68,65.0,False,162
imsa,2023,Indianapolis,Indianapolis Motor Speedway,race,528,14,GTDPRO,Jack Hawksworth,jack hawksworth,13,1.0,12,85.843,29.814,29.181,26.848,,GF,9,70.7,90.86,65.0,False,162
imsa,2023,Indianapolis,Indianapolis Motor Speedway,race,528,14,GTDPRO,Jack Hawksworth,jack hawksworth,14,1.0,13,85.864,29.395,29.4,27.069,,GF,10,70.8,90.86,65.0,False,162
imsa,2023,Indianapolis,Indianapolis Motor Speedway,race,528,14,GTDPRO,Jack Hawksworth,jack hawksworth,15,1.0,14,85.687,29.413,29.341,26.933,,GF,11,70.8,90.32,65.0,False,162
imsa,2023,Indianapolis,Indianapolis Motor Speedway,race,528,14,GTDPRO,Jack Hawksworth,jack hawksworth,16,1.0,15,85.875,29.411,29.488,26.976,,GF,12,71.0,90.14,64.0,False,162
imsa,2023,Indianapolis,Indianapolis Motor Speedway,race,528,14,GTDPRO,Jack Hawksworth,jack hawksworth,17,1.0,16,86.305,29.419,29.469,27.417,,GF,13,71.1,89.96,63.0,False,162
imsa,2023,Indianapolis,Indianapolis Motor Speedway,race,528,14,GTDPRO,Jack Hawksworth,jack hawksworth,18,1.0,17,87.353,29.722,30.432,27.199,,GF,14,70.9,89.78,63.0,False,162
imsa,2023,Indianapolis,Indianapolis Motor Speedway,race,528,14,GTDPRO,Jack Hawksworth,jack hawksworth,19,1.0,18,85.66,29.377,29.395,26.888,,GF,15,70.8,89.42,63.0,False,162
imsa,2023,Indianapolis,Indianapolis Motor Speedway,race,528,14,GTDPRO,Jack Hawksworth,jack hawksworth,20,1.0,19,85.824,29.257,29.407,27.16,,GF,16,70.7,89.24,64.0,False,162
imsa,2023,Indianapolis,Indianapolis Motor Speedway,race,528,14,GTDPRO,Jack Hawksworth,jack hawksworth,21,1.0,20,86.709,29.379,30.139,27.191,,GF,17,70.6,89.78,64.0,False,162
imsa,2023,Indianapolis,Indianapolis Motor Speedway,race,528,14,GTDPRO,Jack Hawksworth,jack hawksworth,22,1.0,21,86.545,29.642,29.345,27.558,,GF,18,70.5,90.14,64.0,False,162
