series_code,year,event,circuit_name,session,session_id,car,class,driver_name,driver_id,lap,stint_number,stint_lap,lap_time,lap_time_s1,lap_time_s2,lap_time_s3,pit_time,flags,est_tire_age,air_temp_f,track_temp_f,humidity_percent,raining,race_duration_minutes
imsa,2023,Lime Rock,Lime Rock Park,race,533,14,GTDPRO,Jack Hawksworth,jack hawksworth,1,1.0,0,54.544,23.006,19.457,12.081,,GF,0,75.4,109.0,61.0,False,161
imsa,2023,Lime Rock,Lime Rock Park,race,533,14,GTDPRO,Jack Hawksworth,jack hawksworth,2,1.0,1,52.899,21.658,19.23,12.011,,GF,0,75.5,111.0,62.0,False,161
imsa,2023,Lime Rock,Lime Rock Park,race,533,14,GTDPRO,Jack Hawksworth,jack hawksworth,3,1.0,2,52.588,21.599,19.074,11.915,,GF,1,75.5,112.0,62.0,False,161
imsa,2023,Lime Rock,Lime Rock Park,race,533,14,GTDPRO,Jack Hawksworth,jack hawksworth,4,1.0,3,52.41,21.482,18.998,11.93,,GF,2,75.6,109.0,61.0,False,161
imsa,2023,Lime Rock,Lime Rock Park,race,533,14,GTDPRO,Jack Hawksworth,jack hawksworth,5,1.0,4,52.359,21.486,19.009,11.864,,GF,3,75.7,105.0,61.0,False,161
imsa,2023,Lime Rock,Lime Rock Park,race,533,14,GTDPRO,Jack Hawksworth,jack hawksworth,6,1.0,5,52.267,21.379,18.97,11.918,,GF,4,75.6,103.0,61.0,False,161
imsa,2023,Lime Rock,Lime Rock Park,race,533,14,GTDPRO,Jack Hawksworth,jack hawksworth,7,1.0,6,52.269,21.441,18.923,11.905,,GF,5,75.6,102.0,60.0,False,161
imsa,2023,Lime Rock,Lime Rock Park,race,533,14,GTDPRO,Jack Hawksworth,jack hawksworth,8,1.0,7,52.311,21.493,18.934,11.884,,GF,6,75.4,100.0,60.0,False,161
imsa,2023,Lime Rock,Lime Rock Park,race,533,14,GTDPRO,Jack Hawksworth,jack hawksworth,9,1.0,8,52.265,21.472,18.898,11.895,,GF,7,75.4,100.0,60.0,False,161
imsa,2023,Lime Rock,Lime Rock Park,race,533,14,GTDPRO,Jack Hawksworth,jack hawksworth,10,1.0,9,52.412,21.501,18.99,11.921,,GF,8,75.3,100.0,60.0,False,161
imsa,2023,Lime Rock,Lime Rock Park,race,533,14,GTDPRO,Jack Hawksworth,jack hawksworth,11,1.0,10,52.692,21.618,19.103,11.971,,GF,9,75.4,100.0,61.0,False,161
imsa,2023,Lime Rock,Lime Rock Park,race,533,14,GTDPRO,Jack Hawksworth,jack hawksworth,12,1.0,11,52.193,21.368,18.929,11.896,,GF,10,75.3,101.0,61.0,False,161
imsa,2023,Lime Rock,Lime Rock Park,race,533,14,GTDPRO,Jack Hawksworth,jack hawksworth,13,1.0,12,52.464,21.499,19.045,11.92,,GF,11,75.3,102.0,60.0,False,161
imsa,2023,Lime Rock,Lime Rock Park,race,533,14,GTDPRO,Jack Hawksworth,jack hawksworth,14,1.0,13,52.317,21.395,18.976,11.946,,GF,12,75.3,101.0,61.0,False,161
imsa,2023,Lime Rock,Lime Rock Park,race,533,14,GTDPRO,Jack Hawksworth,jack hawksworth,15,1.0,14,52.342,21.513,18.915,11.914,,GF,13,75.3,100.0,62.0,False,161
imsa,2023,Lime Rock,Lime Rock Park,race,533,14,GTDPRO,Jack Hawksworth,jack hawksworth,16,1.0,15,52.422,21.563,18.982,11.877,,GF,14,75.3,100.0,62.0,False,161
