series_code,year,event,circuit_name,session,session_id,car,class,driver_name,driver_id,lap,stint_number,stint_lap,lap_time,lap_time_s1,lap_time_s2,lap_time_s3,pit_time,flags,est_tire_age,air_temp_f,track_temp_f,humidity_percent,raining,race_duration_minutes
imsa,2023,Long Beach,Acura Grand Prix of Long Beach,race,537,10,GTP,Filipe Albuquerque,filipe albuquerque,1,1.0,0,84.12,26.958,28.999,28.163,,FCY,0,,,,,103
imsa,2023,Long Beach,Acura Grand Prix of Long Beach,race,537,10,GTP,Filipe Albuquerque,filipe albuquerque,2,1.0,1,142.186,47.329,54.261,40.596,,FCY,0,,,,,103
imsa,2023,Long Beach,Acura Grand Prix of Long Beach,race,537,10,GTP,Filipe Albuquerque,filipe albuquerque,3,1.0,2,143.795,51.64,53.314,38.841,,FCY,0,,,,,103
imsa,2023,Long Beach,Acura Grand Prix of Long Beach,race,537,10,GTP,Filipe Albuquerque,filipe albuquerque,4,1.0,3,138.161,50.196,52.102,35.863,,FCY,0,,,,,103
imsa,2023,Long Beach,Acura Grand Prix of Long Beach,race,537,10,GTP,Filipe Albuquerque,filipe albuquerque,5,1.0,4,120.322,42.601,46.253,31.468,,GF,0,,,,,103
imsa,2023,Long Beach,Acura Grand Prix of Long Beach,race,537,10,GTP,Filipe Albuquerque,filipe albuquerque,6,1.0,5,75.874,25.064,28.479,22.331,,GF,1,,,,,103
imsa,2023,Long Beach,Acura Grand Prix of Long Beach,race,537,10,GTP,Filipe Albuquerque,filipe albuquerque,7,1.0,6,73.918,24.35,27.77,21.798,,GF,2,,,,,103
imsa,2023,Long Beach,Acura Grand Prix of Long Beach,race,537,10,GTP,Filipe Albuquerque,filipe albuquerque,8,1.0,7,73.751,24.089,27.878,21.784,,GF,3,,,,,103
imsa,2023,Long Beach,Acura Grand Prix of Long Beach,race,537,10,GTP,Filipe Albuquerque,filipe albuquerque,9,1.0,8,73.049,23.901,27.55,21.598,,GF,4,,,,,103
imsa,2023,Long Beach,Acura Grand Prix of Long Beach,race,537,10,GTP,Filipe Albuquerque,filipe albuquerque,10,1.0,9,72.835,23.792,27.425,21.618,,GF,5,,,,,103
imsa,2023,Long Beach,Acura Grand Prix of Long Beach,race,537,10,GTP,Filipe Albuquerque,filipe albuquerque,11,1.0,10,72.395,23.671,27.298,21.426,,GF,6,,,,,103
imsa,2023,Long Beach,Acura Grand Prix of Long Beach,race,537,10,GTP,Filipe Albuquerque,filipe albuquerque,12,1.0,11,72.45,23.603,27.364,21.483,,GF,7,,,,,103
imsa,2023,Long Beach,Acura Grand Prix of Long Beach,race,537,10,GTP,Filipe Albuquerque,filipe albuquerque,13,1.0,12,72.577,23.829,27.311,21.437,,GF,8,,,,,103
imsa,2023,Long Beach,Acura Grand Prix of Long Beach,race,537,10,GTP,Filipe Albuquerque,filipe albuquerque,14,1.0,13,73.744,24.068,28.045,21.631,,GF,9,,,,,103
imsa,2023,Long Beach,Acura Grand Prix of Long Beach,race,537,10,GTP,Filipe Albuquerque,filipe albuquerque,15,1.0,14,75.409,25.157,28.663,21.589,,GF,10,,,,,103
imsa,2023,Long Beach,Acura Grand Prix of Long Beach,race,537,10,GTP,Filipe Albuquerque,filipe albuquerque,16,1.0,15,73.451,23.795,27.5,22.156,,GF,11,,,,,103
imsa,2023,Long Beach,Acura Grand Prix of Long Beach,race,537,10,GTP,Filipe Albuquerque,filipe albuquerque,17,1.0,16,72.821,23.829,27.501,21.491,,GF,12,,,,,103
imsa,2023,Long Beach,Acura Grand Prix of Long Beach,race,537,10,GTP,Filipe Albuquerque,filipe albuquerque,18,1.0,17,74.576,24.122,27.829,22.625,,GF,13,,,,,103
imsa,2023,Long Beach,Acura Grand Prix of Long Beach,race,537,10,GTP,Filipe Albuquerque,filipe albuquerque,19,1.0,18,71.846,23.451,27.123,21.272,,GF,14,,,,,103
imsa,2023,Long Beach,Acura Grand Prix of Long Beach,race,537,10,GTP,Filipe Albuquerque,filipe albuquerque,20,1.0,19,71.919,23.491,27.136,21.292,,GF,15,,,,,103
imsa,2023,Long Beach,Acura Grand Prix of Long Beach,race,537,10,GTP,Filipe Albuquerque,filipe albuquerque,21,1.0,20,73.465,23.697,28.097,21.671,,GF,16,,,,,103
imsa,2023,Long Beach,Acura Grand Prix of Long Beach,race,537,10,GTP,Filipe Albuquerque,filipe albuquerque,22,1.0,21,74.37,24.091,28.023,22.256,,GF,17,,,,,103
imsa,2023,Long Beach,Acura Grand Prix of Long Beach,race,537,10,GTP,Filipe Albuquerque,filipe albuquerque,23,1.0,22,73.026,23.999,27.797,21.23,,GF,18,,,,,103
imsa,2023,Long Beach,Acura Grand Prix of Long Beach,race,537,10,GTP,Filipe Albuquerque,filipe albuquerque,24,1.0,23,72.241,23.549,27.275,21.417,,GF,19,,,,,103
imsa,2023,Long Beach,Acura Grand Prix of Long Beach,race,537,10,GTP,Filipe Albuquerque,filipe albuquerque,25,1.0,24,73.496,24.154,27.836,21.506,,GF,20,,,,,103
imsa,2023,Long Beach,Acura Grand Prix of Long Beach,race,537,10,GTP,Filipe Albuquerque,filipe albuquerque,26,1.0,25,72.427,23.805,27.273,21.349,,GF,21,,,,,103
imsa,2023,Long Beach,Acura Grand Prix of Long Beach,race,537,10,GTP,Filipe Albuquerque,filipe albuquerque,27,1.0,26,71.902,23.59,27.061,21.251,,GF,22,,,,,103
imsa,2023,Long Beach,Acura Grand Prix of Long Beach,race,537,10,GTP,Filipe Albuquerque,filipe albuquerque,28,1.0,27,71.86,23.522,27.026,21.312,,GF,23,,,,,103
imsa,2023,Long Beach,Acura Grand Prix of Long Beach,race,537,10,GTP,Filipe Albuquerque,filipe albuquerque,29,1.0,28,74.537,23.6,27.378,23.559,,GF,24,,,,,103
imsa,2023,Long Beach,Acura Grand Prix of Long Beach,race,537,10,GTP,Filipe Albuquerque,filipe albuquerque,30,1.0,29,74.503,24.507,28.233,21.763,,GF,25,,,,,103
imsa,2023,Long Beach,Acura Grand Prix of Long Beach,race,537,10,GTP,Filipe Albuquerque,filipe albuquerque,31,1.0,30,88.537,25.042,28.279,35.216,,GF,26,,,,,103
imsa,2023,Long Beach,Acura Grand Prix of Long Beach,race,537,10,GTP,Ricky Taylor,ricky taylor,32,2.0,0,142.692,90.626,29.751,22.315,80.768,GF,0,,,,,103
imsa,2023,Long Beach,Acura Grand Prix of Long Beach,race,537,10,GTP,Ricky Taylor,ricky taylor,33,2.0,1,75.222,24.7,28.344,22.178,,GF,0,,,,,103
imsa,2023,Long Beach,Acura Grand Prix of Long Beach,race,537,10,GTP,Ricky Taylor,ricky taylor,34,2.0,2,74.033,24.544,27.675,21.814,,GF,1,,,,,103
imsa,2023,Long Beach,Acura Grand Prix of Long Beach,race,537,10,GTP,Ricky Taylor,ricky taylor,35,2.0,3,73.224,24.035,27.699,21.49,,GF,2,,,,,103
imsa,2023,Long Beach,Acura Grand Prix of Long Beach,race,537,10,GTP,Ricky Taylor,ricky taylor,36,2.0,4,72.797,23.844,27.301,21.652,,GF,3,,,,,103
imsa,2023,Long Beach,Acura Grand Prix of Long Beach,race,537,10,GTP,Ricky Taylor,ricky taylor,37,2.0,5,72.615,23.684,27.429,21.502,,GF,4,,,,,103
imsa,2023,Long Beach,Acura Grand Prix of Long Beach,race,537,10,GTP,Ricky Taylor,ricky taylor,38,2.0,6,72.891,23.698,27.864,21.329,,GF,5,,,,,103
imsa,2023,Long Beach,Acura Grand Prix of Long Beach,race,537,10,GTP,Ricky Taylor,ricky taylor,39,2.0,7,73.288,23.579,27.079,22.63,,GF,6,,,,,103
imsa,2023,Long Beach,Acura Grand Prix of Long Beach,race,537,10,GTP,Ricky Taylor,ricky taylor,40,2.0,8,72.66,23.61,27.663,21.387,,GF,7,,,,,103
imsa,2023,Long Beach,Acura Grand Prix of Long Beach,race,537,10,GTP,Ricky Taylor,ricky taylor,41,2.0,9,72.189,23.656,27.227,21.306,,GF,8,,,,,103
imsa,2023,Long Beach,Acura Grand Prix of Long Beach,race,537,10,GTP,Ricky Taylor,ricky taylor,42,2.0,10,72.18,23.649,27.104,21.427,,GF,9,,,,,103
imsa,2023,Long Beach,Acura Grand Prix of Long Beach,race,537,10,GTP,Ricky Taylor,ricky taylor,43,2.0,11,72.201,23.617,27.123,21.461,,GF,10,,,,,103
imsa,2023,Long Beach,Acura Grand Prix of Long Beach,race,537,10,GTP,Ricky Taylor,ricky taylor,44,2.0,12,75.745,24.367,28.521,22.857,,GF,11,,,,,103
imsa,2023,Long Beach,Acura Grand Prix of Long Beach,race,537,10,GTP,Ricky Taylor,ricky taylor,45,2.0,13,74.009,23.657,27.702,22.65,,GF,12,,,,,103
imsa,2023,Long Beach,Acura Grand Prix of Long Beach,race,537,10,GTP,Ricky Taylor,ricky taylor,46,2.0,14,73.043,23.816,27.412,21.815,,GF,13,,,,,103
imsa,2023,Long Beach,Acura Grand Prix of Long Beach,race,537,10,GTP,Ricky Taylor,ricky taylor,47,2.0,15,73.362,23.554,27.253,22.555,,GF,14,,,,,103
imsa,2023,Long Beach,Acura Grand Prix of Long Beach,race,537,10,GTP,Ricky Taylor,ricky taylor,48,2.0,16,72.488,23.794,27.345,21.349,,GF,15,,,,,103
imsa,2023,Long Beach,Acura Grand Prix of Long Beach,race,537,10,GTP,Ricky Taylor,ricky taylor,49,2.0,17,73.666,23.855,27.716,22.095,,GF,16,,,,,103
imsa,2023,Long Beach,Acura Grand Prix of Long Beach,race,537,10,GTP,Ricky Taylor,ricky taylor,50,2.0,18,72.059,23.581,27.168,21.31,,GF,17,,,,,103
imsa,2023,Long Beach,Acura Grand Prix of Long Beach,race,537,10,GTP,Ricky Taylor,ricky taylor,51,2.0,19,72.874,23.754,27.775,21.345,,GF,18,,,,,103
imsa,2023,Long Beach,Acura Grand Prix of Long Beach,race,537,10,GTP,Ricky Taylor,ricky taylor,52,2.0,20,72.741,23.535,27.849,21.357,,GF,19,,,,,103
imsa,2023,Long Beach,Acura Grand Prix of Long Beach,race,537,10,GTP,Ricky Taylor,ricky taylor,53,2.0,21,72.18,23.758,27.114,21.308,,GF,20,,,,,103
imsa,2023,Long Beach,Acura Grand Prix of Long Beach,race,537,10,GTP,Ricky Taylor,ricky taylor,54,2.0,22,72.014,23.732,27.001,21.281,,GF,21,,,,,103
