series_code,year,event,circuit_name,session,session_id,car,class,driver_name,driver_id,lap,stint_number,stint_lap,lap_time,lap_time_s1,lap_time_s2,lap_time_s3,pit_time,flags,est_tire_age,air_temp_f,track_temp_f,humidity_percent,raining,race_duration_minutes
imsa,2023,Mosport,Canadian Tire Motorsport Park,race,517,1,GTD,Madison Snow,madison snow,1,1.0,0,96.847,42.293,35.571,18.983,,GF,0,73.0,90.0,67.0,False,162
imsa,2023,Mosport,Canadian Tire Motorsport Park,race,517,1,GTD,Madison Snow,madison snow,2,1.0,1,78.226,23.372,35.428,19.426,,GF,0,73.1,92.0,68.0,False,162
imsa,2023,Mosport,Canadian Tire Motorsport Park,race,517,1,GTD,Madison Snow,madison snow,3,1.0,2,78.29,23.695,35.249,19.346,,GF,1,73.6,93.0,67.0,False,162
imsa,2023,Mosport,Canadian Tire Motorsport Park,race,517,1,GTD,Madison Snow,madison snow,4,1.0,3,77.879,23.426,35.038,19.415,,GF,2,73.9,93.0,67.0,False,162
imsa,2023,Mosport,Canadian Tire Motorsport Park,race,517,1,GTD,Madison Snow,madison snow,5,1.0,4,77.787,23.643,35.22,18.924,,GF,3,74.1,93.0,67.0,False,162
imsa,2023,Mosport,Canadian Tire Motorsport Park,race,517,1,GTD,Madison Snow,madison snow,6,1.0,5,77.78,23.418,35.444,18.918,,GF,4,74.3,92.0,66.0,False,162
imsa,2023,Mosport,Canadian Tire Motorsport Park,race,517,1,GTD,Madison Snow,madison snow,7,1.0,6,77.863,23.487,35.347,19.029,,GF,5,74.3,92.0,65.0,False,162
imsa,2023,Mosport,Canadian Tire Motorsport Park,race,517,1,GTD,Madison Snow,madison snow,8,1.0,7,78.717,23.806,35.342,19.569,,GF,6,74.2,92.0,66.0,False,162
imsa,2023,Mosport,Canadian Tire Motorsport Park,race,517,1,GTD,Madison Snow,madison snow,9,1.0,8,78.186,23.535,35.355,19.296,,GF,7,74.4,92.0,66.0,False,162
imsa,2023,Mosport,Canadian Tire Motorsport Park,race,517,1,GTD,Madison Snow,madison snow,10,1.0,9,77.692,23.547,35.287,18.858,,GF,8,74.5,92.0,66.0,False,162
imsa,2023,Mosport,Canadian Tire Motorsport Park,race,517,1,GTD,Madison Snow,madison snow,11,1.0,10,77.948,23.6,35.333,19.015,,GF,9,74.7,92.0,65.0,False,162
imsa,2023,Mosport,Canadian Tire Motorsport Park,race,517,1,GTD,Madison Snow,madison snow,12,1.0,11,77.635,23.47,35.288,18.877,,GF,10,74.8,92.0,65.0,False,162
