series_code,year,event,circuit_name,session,session_id,car,class,driver_name,driver_id,lap,stint_number,stint_lap,lap_time,lap_time_s1,lap_time_s2,lap_time_s3,pit_time,flags,est_tire_age,air_temp_f,track_temp_f,humidity_percent,raining,race_duration_minutes
imsa,2023,Mosport,Canadian Tire Motorsport Park,race,517,14,GTDPRO,Jack Hawksworth,jack hawksworth,1,1.0,0,94.087,40.26,35.441,18.386,,GF,0,73.0,90.0,67.0,False,162
imsa,2023,Mosport,Canadian Tire Motorsport Park,race,517,14,GTDPRO,Jack Hawksworth,jack hawksworth,2,1.0,1,78.009,22.972,36.396,18.641,,GF,0,73.1,92.0,68.0,False,162
imsa,2023,Mosport,Canadian Tire Motorsport Park,race,517,14,GTDPRO,Jack Hawksworth,jack hawksworth,3,1.0,2,76.942,22.995,35.47,18.477,,GF,1,73.6,93.0,67.0,False,162
imsa,2023,Mosport,Canadian Tire Motorsport Park,race,517,14,GTDPRO,Jack Hawksworth,jack hawksworth,4,1.0,3,76.959,22.982,35.513,18.464,,GF,2,73.9,93.0,67.0,False,162
imsa,2023,Mosport,Canadian Tire Motorsport Park,race,517,14,GTDPRO,Jack Hawksworth,jack hawksworth,5,1.0,4,76.903,22.943,35.488,18.472,,GF,3,74.1,93.0,67.0,False,162
imsa,2023,Mosport,Canadian Tire Motorsport Park,race,517,14,GTDPRO,Jack Hawksworth,jack hawksworth,6,1.0,5,77.082,23.094,35.462,18.526,,GF,4,74.2,93.0,66.0,False,162
imsa,2023,Mosport,Canadian Tire Motorsport Park,race,517,14,GTDPRO,Jack Hawksworth,jack hawksworth,7,1.0,6,77.416,23.11,35.659,18.647,,GF,5,74.3,92.0,65.0,False,162
imsa,2023,Mosport,Canadian Tire Motorsport Park,race,517,14,GTDPRO,Jack Hawksworth,jack hawksworth,8,1.0,7,78.09,23.273,35.641,19.176,,GF,6,74.2,92.0,66.0,False,162
imsa,2023,Mosport,Canadian Tire Motorsport Park,race,517,14,GTDPRO,Jack Hawksworth,jack hawksworth,9,1.0,8,77.842,23.602,35.638,18.602,,GF,7,74.3,93.0,66.0,False,162
imsa,2023,Mosport,Canadian Tire Motorsport Park,race,517,14,GTDPRO,Jack Hawksworth,jack hawksworth,10,1.0,9,77.385,23.115,35.722,18.548,,GF,8,74.5,92.0,66.0,False,162
