series_code,year,event,circuit_name,session,session_id,car,class,driver_name,driver_id,lap,stint_number,stint_lap,lap_time,lap_time_s1,lap_time_s2,lap_time_s3,pit_time,flags,est_tire_age,air_temp_f,track_temp_f,humidity_percent,raining,race_duration_minutes
imsa,2023,Mosport,Canadian Tire Motorsport Park,race,517,01,GTP,Sebastien Bourdais,sebastien bourdais,1,1.0,0,72.04,23.018,32.125,16.897,,GF,0,73.0,90.0,67.0,False,162
imsa,2023,Mosport,Canadian Tire Motorsport Park,race,517,01,GTP,Sebastien Bourdais,sebastien bourdais,2,1.0,1,68.934,20.728,31.503,16.703,,GF,0,73.1,92.0,68.0,False,162
imsa,2023,Mosport,Canadian Tire Motorsport Park,race,517,01,GTP,Sebastien Bourdais,sebastien bourdais,3,1.0,2,68.407,20.411,31.545,16.451,,GF,1,73.4,93.0,67.0,False,162
imsa,2023,Mosport,Canadian Tire Motorsport Park,race,517,01,GTP,Sebastien Bourdais,sebastien bourdais,4,1.0,3,68.471,20.288,31.644,16.539,,GF,2,73.6,93.0,67.0,False,162
imsa,2023,Mosport,Canadian Tire Motorsport Park,race,517,01,GTP,Sebastien Bourdais,sebastien bourdais,5,1.0,4,69.618,20.297,32.347,16.974,,GF,3,73.9,93.0,67.0,False,162
imsa,2023,Mosport,Canadian Tire Motorsport Park,race,517,01,GTP,Sebastien Bourdais,sebastien bourdais,6,1.0,5,70.44,20.503,31.798,18.139,,GF,4,74.1,93.0,67.0,False,162
imsa,2023,Mosport,Canadian Tire Motorsport Park,race,517,01,GTP,Sebastien Bourdais,sebastien bourdais,7,1.0,6,72.172,22.04,32.046,18.086,,GF,5,74.3,92.0,66.0,False,162
imsa,2023,Mosport,Canadian Tire Motorsport Park,race,517,01,GTP,Sebastien Bourdais,sebastien bourdais,8,1.0,7,72.26,21.807,32.5,17.953,,GF,6,74.3,92.0,65.0,False,162
imsa,2023,Mosport,Canadian Tire Motorsport Park,race,517,01,GTP,Sebastien Bourdais,sebastien bourdais,9,1.0,8,70.001,21.38,32.09,16.531,,GF,7,74.2,92.0,66.0,False,162
imsa,2023,Mosport,Canadian Tire Motorsport Park,race,517,01,GTP,Sebastien Bourdais,sebastien bourdais,10,1.0,9,68.491,20.379,31.672,16.44,,GF,8,74.3,93.0,66.0,False,162
imsa,2023,Mosport,Canadian Tire Motorsport Park,race,517,01,GTP,Sebastien Bourdais,sebastien bourdais,11,1.0,10,68.322,20.293,31.543,16.486,,GF,9,74.4,92.0,66.0,False,162
imsa,2023,Mosport,Canadian Tire Motorsport Park,race,517,01,GTP,Sebastien Bourdais,sebastien bourdais,12,1.0,11,68.25,20.208,31.521,16.521,,GF,10,74.5,92.0,66.0,False,162
imsa,2023,Mosport,Canadian Tire Motorsport Park,race,517,01,GTP,Sebastien Bourdais,sebastien bourdais,13,1.0,12,69.244,21.013,31.686,16.545,,GF,11,74.8,92.0,65.0,False,162
imsa,2023,Mosport,Canadian Tire Motorsport Park,race,517,01,GTP,Sebastien Bourdais,sebastien bourdais,14,1.0,13,69.111,20.971,31.578,16.562,,GF,12,74.8,93.0,65.0,False,162
imsa,2023,Mosport,Canadian Tire Motorsport Park,race,517,01,GTP,Sebastien Bourdais,sebastien bourdais,15,1.0,14,70.964,21.584,31.802,17.578,,GF,13,74.9,93.0,65.0,False,162
imsa,2023,Mosport,Canadian Tire Motorsport Park,race,517,01,GTP,Sebastien Bourdais,sebastien bourdais,16,1.0,15,71.167,20.676,31.82,18.671,,GF,14,75.1,94.0,65.0,False,162
imsa,2023,Mosport,Canadian Tire Motorsport Park,race,517,01,GTP,Sebastien Bourdais,sebastien bourdais,17,1.0,16,72.697,21.705,32.523,18.469,,GF,15,75.1,94.0,65.0,False,162
imsa,2023,Mosport,Canadian Tire Motorsport Park,race,517,01,GTP,Sebastien Bourdais,sebastien bourdais,18,1.0,17,72.949,22.986,32.121,17.842,,GF,16,75.6,95.0,64.0,False,162
imsa,2023,Mosport,Canadian Tire Motorsport Park,race,517,01,GTP,Sebastien Bourdais,sebastien bourdais,19,1.0,18,70.31,21.971,31.671,16.668,,GF,17,75.8,96.0,64.0,False,162
imsa,2023,Mosport,Canadian Tire Motorsport Park,race,517,01,GTP,Sebastien Bourdais,sebastien bourdais,20,1.0,19,68.46,20.239,31.661,16.56,,GF,18,76.0,95.0,64.0,False,162
imsa,2023,Mosport,Canadian Tire Motorsport Park,race,517,01,GTP,Sebastien Bourdais,sebastien bourdais,21,1.0,20,68.454,20.178,31.558,16.718,,GF,19,76.1,95.0,64.0,False,162
imsa,2023,Mosport,Canadian Tire Motorsport Park,race,517,01,GTP,Sebastien Bourdais,sebastien bourdais,22,1.0,21,68.509,20.331,31.655,16.523,,GF,20,76.2,95.0,64.0,False,162
imsa,2023,Mosport,Canadian Tire Motorsport Park,race,517,01,GTP,Sebastien Bourdais,sebastien bourdais,23,1.0,22,69.577,20.515,32.151,16.911,,GF,21,76.2,95.0,64.0,False,162
imsa,2023,Mosport,Canadian Tire Motorsport Park,race,517,01,GTP,Sebastien Bourdais,sebastien bourdais,24,1.0,23,71.1,21.2,32.093,17.807,,GF,22,76.3,94.0,64.0,False,162
imsa,2023,Mosport,Canadian Tire Motorsport Park,race,517,01,GTP,Sebastien Bourdais,sebastien bourdais,25,1.0,24,70.119,21.0,31.793,17.326,,GF,23,76.2,93.0,63.0,False,162
imsa,2023,Mosport,Canadian Tire Motorsport Park,race,517,01,GTP,Sebastien Bourdais,sebastien bourdais,26,1.0,25,69.337,20.728,31.796,16.813,,GF,24,76.1,92.0,63.0,False,162
imsa,2023,Mosport,Canadian Tire Motorsport Park,race,517,01,GTP,Sebastien Bourdais,sebastien bourdais,27,1.0,26,70.991,20.91,32.066,18.015,,GF,25,76.1,92.0,64.0,False,162
imsa,2023,Mosport,Canadian Tire Motorsport Park,race,517,01,GTP,Sebastien Bourdais,sebastien bourdais,28,1.0,27,69.637,21.615,31.516,16.506,,GF,26,76.0,91.0,64.0,False,162
imsa,2023,Mosport,Canadian Tire Motorsport Park,race,517,01,GTP,Sebastien Bourdais,sebastien bourdais,29,1.0,28,68.959,20.773,31.59,16.596,,GF,27,75.9,91.0,64.0,False,162
imsa,2023,Mosport,Canadian Tire Motorsport Park,race,517,01,GTP,Sebastien Bourdais,sebastien bourdais,30,1.0,29,67.934,20.22,31.343,16.371,,GF,28,75.8,91.0,64.0,False,162
imsa,2023,Mosport,Canadian Tire Motorsport Park,race,517,01,GTP,Sebastien Bourdais,sebastien bourdais,31,1.0,30,69.185,20.099,32.035,17.051,,GF,29,75.6,89.0,64.0,False,162
imsa,2023,Mosport,Canadian Tire Motorsport Park,race,517,01,GTP,Sebastien Bourdais,sebastien bourdais,32,1.0,31,69.744,21.229,31.978,16.537,,GF,30,75.5,89.0,64.0,False,162
imsa,2023,Mosport,Canadian Tire Motorsport Park,race,517,01,GTP,Sebastien Bourdais,sebastien bourdais,33,1.0,32,69.735,21.509,31.631,16.595,,GF,31,75.4,89.0,64.0,False,162
imsa,2023,Mosport,Canadian Tire Motorsport Park,race,517,01,GTP,Sebastien Bourdais,sebastien bourdais,34,1.0,33,72.08,22.389,32.878,16.813,,GF,32,75.4,90.0,64.0,False,162
imsa,2023,Mosport,Canadian Tire Motorsport Park,race,517,01,GTP,Sebastien Bourdais,sebastien bourdais,35,1.0,34,69.341,20.284,31.439,17.618,,GF,33,75.4,89.0,64.0,False,162
imsa,2023,Mosport,Canadian Tire Motorsport Park,race,517,01,GTP,Sebastien Bourdais,sebastien bourdais,36,1.0,35,70.592,21.12,32.736,16.736,,GF,34,75.5,89.0,64.0,False,162
imsa,2023,Mosport,Canadian Tire Motorsport Park,race,517,01,GTP,Sebastien Bourdais,sebastien bourdais,37,1.0,36,72.098,22.117,32.634,17.347,,GF,35,75.5,89.0,64.0,False,162
imsa,2023,Mosport,Canadian Tire Motorsport Park,race,517,01,GTP,Sebastien Bourdais,sebastien bourdais,38,1.0,37,69.531,20.642,32.281,16.608,,GF,36,75.5,89.0,65.0,False,162
imsa,2023,Mosport,Canadian Tire Motorsport Park,race,517,01,GTP,Sebastien Bourdais,sebastien bourdais,39,1.0,38,68.623,20.566,31.491,16.566,,GF,37,75.5,89.0,65.0,False,162
imsa,2023,Mosport,Canadian Tire Motorsport Park,race,517,01,GTP,Sebastien Bourdais,sebastien bourdais,40,1.0,39,69.887,20.869,31.501,17.517,,GF,38,75.5,89.0,65.0,False,162
imsa,2023,Mosport,Canadian Tire Motorsport Park,race,517,01,GTP,Sebastien Bourdais,sebastien bourdais,41,1.0,40,68.753,20.344,31.373,17.036,,GF,39,75.4,89.0,65.0,False,162
imsa,2023,Mosport,Canadian Tire Motorsport Park,race,517,01,GTP,Sebastien Bourdais,sebastien bourdais,42,1.0,41,73.419,23.016,32.194,18.209,,GF,40,75.4,88.0,64.0,False,162
imsa,2023,Mosport,Canadian Tire Motorsport Park,race,517,01,GTP,Sebastien Bourdais,sebastien bourdais,43,1.0,42,69.38,21.323,31.445,16.612,,GF,41,75.3,87.0,64.0,False,162
imsa,2023,Mosport,Canadian Tire Motorsport Park,race,517,01,GTP,Sebastien Bourdais,sebastien bourdais,44,1.0,43,68.211,20.366,31.338,16.507,,GF,42,75.2,87.0,65.0,False,162
imsa,2023,Mosport,Canadian Tire Motorsport Park,race,517,01,GTP,Sebastien Bourdais,sebastien bourdais,45,1.0,44,70.448,21.693,31.976,16.779,,GF,43,75.2,87.0,65.0,False,162
imsa,2023,Mosport,Canadian Tire Motorsport Park,race,517,01,GTP,Sebastien Bourdais,sebastien bourdais,46,1.0,45,70.592,21.494,31.48,17.618,,GF,44,75.2,87.0,65.0,False,162
imsa,2023,Mosport,Canadian Tire Motorsport Park,race,517,01,GTP,Sebastien Bourdais,sebastien bourdais,47,1.0,46,69.664,21.049,31.959,16.656,,GF,45,75.1,87.0,65.0,False,162
imsa,2023,Mosport,Canadian Tire Motorsport Park,race,517,01,GTP,Sebastien Bourdais,sebastien bourdais,48,1.0,47,70.16,20.888,31.294,17.978,,GF,46,75.1,86.0,66.0,False,162
imsa,2023,Mosport,Canadian Tire Motorsport Park,race,517,01,GTP,Sebastien Bourdais,sebastien bourdais,49,1.0,48,69.089,20.906,31.65,16.533,,GF,47,74.9,86.0,66.0,False,162
imsa,2023,Mosport,Canadian Tire Motorsport Park,race,517,01,GTP,Sebastien Bourdais,sebastien bourdais,50,1.0,49,78.335,20.67,31.405,26.26,,GF,48,74.8,85.0,66.0,False,162
imsa,2023,Mosport,Canadian Tire Motorsport Park,race,517,01,GTP,Renger van der Zande,renger van der zande,51,2.0,0,131.7,78.451,35.101,18.148,65.983,GF,0,74.7,85.0,66.0,False,162
imsa,2023,Mosport,Canadian Tire Motorsport Park,race,517,01,GTP,Renger van der Zande,renger van der zande,52,2.0,1,71.867,21.795,33.215,16.857,,GF,0,74.7,84.0,66.0,False,162
imsa,2023,Mosport,Canadian Tire Motorsport Park,race,517,01,GTP,Renger van der Zande,renger van der zande,53,2.0,2,69.919,20.912,32.146,16.861,,GF,1,74.6,84.0,67.0,False,162
imsa,2023,Mosport,Canadian Tire Motorsport Park,race,517,01,GTP,Renger van der Zande,renger van der zande,54,2.0,3,70.88,20.566,31.698,18.616,,GF,2,74.4,83.0,67.0,False,162
imsa,2023,Mosport,Canadian Tire Motorsport Park,race,517,01,GTP,Renger van der Zande,renger van der zande,55,2.0,4,69.733,21.239,31.73,16.764,,GF,3,73.9,82.0,67.0,False,162
imsa,2023,Mosport,Canadian Tire Motorsport Park,race,517,01,GTP,Renger van der Zande,renger van der zande,56,2.0,5,70.143,20.687,32.296,17.16,,GF,4,73.7,82.0,68.0,False,162
imsa,2023,Mosport,Canadian Tire Motorsport Park,race,517,01,GTP,Renger van der Zande,renger van der zande,57,2.0,6,69.317,20.574,32.094,16.649,,GF,5,73.4,82.0,68.0,False,162
imsa,2023,Mosport,Canadian Tire Motorsport Park,race,517,01,GTP,Renger van der Zande,renger van der zande,58,2.0,7,69.169,20.684,31.742,16.743,,GF,6,73.2,82.0,68.0,False,162
imsa,2023,Mosport,Canadian Tire Motorsport Park,race,517,01,GTP,Renger van der Zande,renger van der zande,59,2.0,8,69.363,20.424,32.125,16.814,,GF,7,73.0,81.0,68.0,False,162
imsa,2023,Mosport,Canadian Tire Motorsport Park,race,517,01,GTP,Renger van der Zande,renger van der zande,60,2.0,9,72.166,21.974,33.102,17.09,,GF,8,73.0,81.0,68.0,False,162
imsa,2023,Mosport,Canadian Tire Motorsport Park,race,517,01,GTP,Renger van der Zande,renger van der zande,61,2.0,10,68.948,20.428,31.561,16.959,,GF,9,72.7,81.0,69.0,False,162
imsa,2023,Mosport,Canadian Tire Motorsport Park,race,517,01,GTP,Renger van der Zande,renger van der zande,62,2.0,11,69.495,20.756,31.681,17.058,,GF,10,72.7,82.0,69.0,False,162
imsa,2023,Mosport,Canadian Tire Motorsport Park,race,517,01,GTP,Renger van der Zande,renger van der zande,63,2.0,12,69.337,20.763,31.595,16.979,,GF,11,72.7,82.0,69.0,False,162
imsa,2023,Mosport,Canadian Tire Motorsport Park,race,517,01,GTP,Renger van der Zande,renger van der zande,64,2.0,13,71.261,21.359,32.941,16.961,,GF,12,72.7,82.0,69.0,False,162
imsa,2023,Mosport,Canadian Tire Motorsport Park,race,517,01,GTP,Renger van der Zande,renger van der zande,65,2.0,14,69.417,20.823,31.641,16.953,,GF,13,72.7,82.0,69.0,False,162
imsa,2023,Mosport,Canadian Tire Motorsport Park,race,517,01,GTP,Renger van der Zande,renger van der zande,66,2.0,15,80.485,20.883,36.549,23.053,,FCY,14,72.7,81.0,69.0,False,162
imsa,2023,Mosport,Canadian Tire Motorsport Park,race,517,01,GTP,Renger van der Zande,renger van der zande,67,2.0,16,135.025,30.065,61.025,43.935,,FCY,14,72.6,81.0,69.0,False,162
imsa,2023,Mosport,Canadian Tire Motorsport Park,race,517,01,GTP,Renger van der Zande,renger van der zande,68,2.0,17,137.918,40.603,62.226,35.089,,FCY,14,72.6,81.0,69.0,False,162
imsa,2023,Mosport,Canadian Tire Motorsport Park,race,517,01,GTP,Renger van der Zande,renger van der zande,69,2.0,18,137.744,70.091,42.09,25.563,54.939,FCY,0,72.5,81.0,70.0,False,162
imsa,2023,Mosport,Canadian Tire Motorsport Park,race,517,01,GTP,Renger van der Zande,renger van der zande,70,2.0,19,127.054,33.318,65.641,28.095,,FCY,0,72.4,81.0,70.0,False,162
imsa,2023,Mosport,Canadian Tire Motorsport Park,race,517,01,GTP,Renger van der Zande,renger van der zande,71,2.0,20,136.32,37.512,68.399,30.409,,FCY,0,72.3,81.0,70.0,False,162
imsa,2023,Mosport,Canadian Tire Motorsport Park,race,517,01,GTP,Renger van der Zande,renger van der zande,72,2.0,21,138.973,43.111,68.686,27.176,,GF,0,72.3,81.0,69.0,False,162
imsa,2023,Mosport,Canadian Tire Motorsport Park,race,517,01,GTP,Renger van der Zande,renger van der zande,73,2.0,22,71.641,22.497,32.005,17.139,,GF,1,72.3,81.0,69.0,False,162
imsa,2023,Mosport,Canadian Tire Motorsport Park,race,517,01,GTP,Renger van der Zande,renger van der zande,74,2.0,23,69.687,21.125,31.697,16.865,,GF,2,72.3,81.0,69.0,False,162
imsa,2023,Mosport,Canadian Tire Motorsport Park,race,517,01,GTP,Renger van der Zande,renger van der zande,75,2.0,24,69.148,20.638,31.438,17.072,,GF,3,72.3,81.0,69.0,False,162
