series_code,year,event,circuit_name,session,session_id,car,class,driver_name,driver_id,lap,stint_number,stint_lap,lap_time,lap_time_s1,lap_time_s2,lap_time_s3,pit_time,flags,est_tire_age,air_temp_f,track_temp_f,humidity_percent,raining,race_duration_minutes
imsa,2023,Road America,Road America,race,541,1,GTD,Madison Snow,madison snow,1,1.0,0,272.834,75.018,132.812,65.004,,GF,0,71.0,84.2,60.0,False,163
imsa,2023,Road America,Road America,race,541,1,GTD,Madison Snow,madison snow,2,1.0,1,129.654,14.279,80.193,35.182,,GF,0,71.1,84.2,56.0,False,163
imsa,2023,Road America,Road America,race,541,1,GTD,Madison Snow,madison snow,3,1.0,2,127.266,13.509,78.917,34.84,,GF,1,71.2,84.56,56.0,False,163
imsa,2023,Road America,Road America,race,541,1,GTD,Madison Snow,madison snow,4,1.0,3,176.883,13.826,108.871,54.186,,FCY,2,71.3,84.74,54.0,False,163
imsa,2023,Road America,Road America,race,541,1,GTD,Madison Snow,madison snow,5,1.0,4,185.138,22.27,100.078,62.79,,FCY,2,71.3,85.1,52.0,False,163
imsa,2023,Road America,Road America,race,541,1,GTD,Madison Snow,madison snow,6,1.0,5,245.701,36.377,149.186,60.138,,FCY,2,71.3,85.46,53.0,False,163
imsa,2023,Road America,Road America,race,541,1,GTD,Madison Snow,madison snow,7,1.0,6,209.724,36.615,132.91,40.199,,GF,2,71.3,85.82,53.0,False,163
imsa,2023,Road America,Road America,race,541,1,GTD,Madison Snow,madison snow,8,1.0,7,126.518,13.541,78.125,34.852,,GF,3,71.5,86.0,53.0,False,163
imsa,2023,Road America,Road America,race,541,1,GTD,Madison Snow,madison snow,9,1.0,8,125.865,13.551,77.555,34.759,,GF,4,71.7,86.18,52.0,False,163
imsa,2023,Road America,Road America,race,541,1,GTD,Madison Snow,madison snow,10,1.0,9,125.732,13.65,77.527,34.555,,GF,5,71.9,86.36,53.0,False,163
imsa,2023,Road America,Road America,race,541,1,GTD,Madison Snow,madison snow,11,1.0,10,125.415,13.563,77.16,34.692,,GF,6,72.1,86.54,56.0,False,163
imsa,2023,Road America,Road America,race,541,1,GTD,Madison Snow,madison snow,12,1.0,11,125.4,13.5,77.176,34.724,,GF,7,72.0,86.72,55.0,False,163
imsa,2023,Road America,Road America,race,541,1,GTD,Madison Snow,madison snow,13,1.0,12,125.698,13.609,77.208,34.881,,GF,8,71.8,86.72,57.0,False,163
imsa,2023,Road America,Road America,race,541,1,GTD,Madison Snow,madison snow,14,1.0,13,126.505,13.695,77.552,35.258,,GF,9,71.9,86.9,58.0,False,163
imsa,2023,Road America,Road America,race,541,1,GTD,Madison Snow,madison snow,15,1.0,14,126.471,13.667,78.045,34.759,,GF,10,71.9,87.08,61.0,False,163
imsa,2023,Road America,Road America,race,541,1,GTD,Madison Snow,madison snow,16,1.0,15,126.428,13.459,78.282,34.687,,GF,11,72.0,87.26,59.0,False,163
imsa,2023,Road America,Road America,race,541,1,GTD,Madison Snow,madison snow,17,1.0,16,125.204,13.475,77.033,34.696,,GF,12,72.0,87.44,61.0,False,163
imsa,2023,Road America,Road America,race,541,1,GTD,Madison Snow,madison snow,18,1.0,17,125.613,13.431,77.379,34.803,,GF,13,72.1,87.62,62.0,False,163
imsa,2023,Road America,Road America,race,541,1,GTD,Madison Snow,madison snow,19,1.0,18,141.231,13.478,77.33,50.423,,GF,14,72.0,87.98,60.0,False,163
imsa,2023,Road America,Road America,race,541,1,GTD,Bryan Sellers,bryan sellers,20,2.0,0,178.076,62.948,79.97,35.158,68.13,GF,0,72.0,87.98,62.0,False,163
imsa,2023,Road America,Road America,race,541,1,GTD,Bryan Sellers,bryan sellers,21,2.0,1,125.491,13.369,77.271,34.851,,GF,0,72.1,88.34,63.0,False,163
imsa,2023,Road America,Road America,race,541,1,GTD,Bryan Sellers,bryan sellers,22,2.0,2,126.572,13.397,78.231,34.944,,GF,1,72.1,88.34,64.0,False,163
imsa,2023,Road America,Road America,race,541,1,GTD,Bryan Sellers,bryan sellers,23,2.0,3,127.626,13.82,78.925,34.881,,GF,2,72.0,88.52,62.0,False,163
imsa,2023,Road America,Road America,race,541,1,GTD,Bryan Sellers,bryan sellers,24,2.0,4,125.871,13.345,77.716,34.81,,GF,3,72.0,88.7,61.0,False,163
imsa,2023,Road America,Road America,race,541,1,GTD,Bryan Sellers,bryan sellers,25,2.0,5,126.805,13.352,78.127,35.326,,GF,4,71.8,88.88,61.0,False,163
imsa,2023,Road America,Road America,race,541,1,GTD,Bryan Sellers,bryan sellers,26,2.0,6,126.896,13.362,78.324,35.21,,GF,5,71.6,89.06,64.0,False,163
imsa,2023,Road America,Road America,race,541,1,GTD,Bryan Sellers,bryan sellers,27,2.0,7,125.088,13.27,77.047,34.771,,GF,6,71.7,89.42,63.0,False,163
imsa,2023,Road America,Road America,race,541,1,GTD,Bryan Sellers,bryan sellers,28,2.0,8,126.883,13.376,78.635,34.872,,GF,7,72.0,89.42,64.0,False,163
imsa,2023,Road America,Road America,race,541,1,GTD,Bryan Sellers,bryan sellers,29,2.0,9,125.569,13.359,77.291,34.919,,GF,8,72.0,89.24,64.0,False,163
imsa,2023,Road America,Road America,race,541,1,GTD,Bryan Sellers,bryan sellers,30,2.0,10,125.728,13.308,77.495,34.925,,GF,9,71.9,89.42,62.0,False,163
imsa,2023,Road America,Road America,race,541,1,GTD,Bryan Sellers,bryan sellers,31,2.0,11,126.033,13.291,77.674,35.068,,GF,10,71.6,89.78,63.0,False,163
imsa,2023,Road America,Road America,race,541,1,GTD,Bryan Sellers,bryan sellers,32,2.0,12,125.961,13.353,77.413,35.195,,GF,11,71.5,89.96,60.0,False,163
imsa,2023,Road America,Road America,race,541,1,GTD,Bryan Sellers,bryan sellers,33,2.0,13,126.241,13.607,77.584,35.05,,GF,12,71.5,90.14,61.0,False,163
imsa,2023,Road America,Road America,race,541,1,GTD,Bryan Sellers,bryan sellers,34,2.0,14,126.807,13.479,78.31,35.018,,GF,13,71.4,90.14,60.0,False,163
imsa,2023,Road America,Road America,race,541,1,GTD,Bryan Sellers,bryan sellers,35,2.0,15,126.672,13.511,77.82,35.341,,GF,14,71.5,90.5,61.0,False,163
imsa,2023,Road America,Road America,race,541,1,GTD,Bryan Sellers,bryan sellers,36,2.0,16,125.885,13.414,77.223,35.248,,GF,15,71.7,90.5,56.0,False,163
imsa,2023,Road America,Road America,race,541,1,GTD,Bryan Sellers,bryan sellers,37,2.0,17,126.03,13.554,77.374,35.102,,GF,16,71.6,90.68,55.0,False,163
imsa,2023,Road America,Road America,race,541,1,GTD,Bryan Sellers,bryan sellers,38,2.0,18,125.433,13.268,77.181,34.984,,GF,17,71.8,90.68,55.0,False,163
imsa,2023,Road America,Road America,race,541,1,GTD,Bryan Sellers,bryan sellers,39,2.0,19,126.133,13.542,77.356,35.235,,GF,18,71.9,91.04,56.0,False,163
imsa,2023,Road America,Road America,race,541,1,GTD,Bryan Sellers,bryan sellers,40,2.0,20,125.575,13.281,77.358,34.936,,GF,19,71.9,91.04,57.0,False,163
imsa,2023,Road America,Road America,race,541,1,GTD,Bryan Sellers,bryan sellers,41,2.0,21,126.034,13.403,77.441,35.19,,GF,20,72.2,91.22,59.0,False,163
imsa,2023,Road America,Road America,race,541,1,GTD,Bryan Sellers,bryan sellers,42,2.0,22,127.726,13.39,78.08,36.256,,GF,21,72.4,91.4,59.0,False,163
imsa,2023,Road America,Road America,race,541,1,GTD,Bryan Sellers,bryan sellers,43,2.0,23,125.862,13.499,77.219,35.144,,GF,22,72.6,91.4,60.0,False,163
imsa,2023,Road America,Road America,race,541,1,GTD,Bryan Sellers,bryan sellers,44,2.0,24,141.195,13.371,77.136,50.688,,GF,23,72.4,91.58,60.0,False,163
imsa,2023,Road America,Road America,race,541,1,GTD,Madison Snow,madison snow,45,3.0,0,188.322,73.031,80.493,34.798,77.322,GF,0,72.3,91.94,60.0,False,163
imsa,2023,Road America,Road America,race,541,1,GTD,Madison Snow,madison snow,46,3.0,1,125.883,13.444,77.713,34.726,,GF,0,72.4,91.94,61.0,False,163
imsa,2023,Road America,Road America,race,541,1,GTD,Madison Snow,madison snow,47,3.0,2,125.346,13.354,77.205,34.787,,GF,1,72.5,92.12,61.0,False,163
imsa,2023,Road America,Road America,race,541,1,GTD,Madison Snow,madison snow,48,3.0,3,125.987,13.42,77.851,34.716,,GF,2,72.5,92.12,62.0,False,163
imsa,2023,Road America,Road America,race,541,1,GTD,Madison Snow,madison snow,49,3.0,4,125.451,13.387,77.188,34.876,,GF,3,72.6,92.48,63.0,False,163
imsa,2023,Road America,Road America,race,541,1,GTD,Madison Snow,madison snow,50,3.0,5,126.603,13.397,77.513,35.693,,GF,4,72.7,92.48,63.0,False,163
imsa,2023,Road America,Road America,race,541,1,GTD,Madison Snow,madison snow,51,3.0,6,125.564,13.36,77.552,34.652,,GF,5,72.8,92.66,64.0,False,163
imsa,2023,Road America,Road America,race,541,1,GTD,Madison Snow,madison snow,52,3.0,7,125.316,13.361,77.066,34.889,,GF,6,72.8,93.02,63.0,False,163
imsa,2023,Road America,Road America,race,541,1,GTD,Madison Snow,madison snow,53,3.0,8,126.255,13.397,77.893,34.965,,GF,7,72.9,93.38,64.0,False,163
imsa,2023,Road America,Road America,race,541,1,GTD,Madison Snow,madison snow,54,3.0,9,125.596,13.448,77.227,34.921,,GF,8,73.0,93.74,65.0,False,163
imsa,2023,Road America,Road America,race,541,1,GTD,Madison Snow,madison snow,55,3.0,10,125.677,13.356,77.456,34.865,,GF,9,73.1,93.74,66.0,False,163
imsa,2023,Road America,Road America,race,541,1,GTD,Madison Snow,madison snow,56,3.0,11,126.487,13.398,77.538,35.551,,GF,10,73.2,93.2,66.0,False,163
imsa,2023,Road America,Road America,race,541,1,GTD,Madison Snow,madison snow,57,3.0,12,125.641,13.366,77.491,34.784,,GF,11,73.1,93.56,66.0,False,163
imsa,2023,Road America,Road America,race,541,1,GTD,Madison Snow,madison snow,58,3.0,13,127.025,13.471,78.486,35.068,,GF,12,73.0,92.84,66.0,False,163
imsa,2023,Road America,Road America,race,541,1,GTD,Madison Snow,madison snow,59,3.0,14,125.81,13.369,77.537,34.904,,GF,13,72.7,93.02,68.0,False,163
imsa,2023,Road America,Road America,race,541,1,GTD,Madison Snow,madison snow,60,3.0,15,125.81,13.392,77.497,34.921,,GF,14,72.6,92.12,68.0,False,163
imsa,2023,Road America,Road America,race,541,1,GTD,Madison Snow,madison snow,61,3.0,16,126.638,13.769,77.863,35.006,,GF,15,72.3,91.94,68.0,False,163
imsa,2023,Road America,Road America,race,541,1,GTD,Madison Snow,madison snow,62,3.0,17,125.986,13.409,77.693,34.884,,GF,16,72.1,91.94,68.0,False,163
imsa,2023,Road America,Road America,race,541,1,GTD,Madison Snow,madison snow,63,3.0,18,126.097,13.41,77.722,34.965,,GF,17,72.0,91.94,69.0,False,163
imsa,2023,Road America,Road America,race,541,1,GTD,Madison Snow,madison snow,64,3.0,19,127.478,13.426,78.43,35.622,,GF,18,72.2,91.76,70.0,False,163
