series_code,year,event,circuit_name,session,session_id,car,class,driver_name,driver_id,lap,stint_number,stint_lap,lap_time,lap_time_s1,lap_time_s2,lap_time_s3,pit_time,flags,est_tire_age,air_temp_f,track_temp_f,humidity_percent,raining,race_duration_minutes
imsa,2024,Indianapolis,Indianapolis Motor Speedway,race,613,023,GTD,Charles Scardina,charles scardina,1,1.0,0,130.852,73.136,30.263,27.453,,GF,0,76.1,83.3,75.0,False,362
imsa,2024,Indianapolis,Indianapolis Motor Speedway,race,613,023,GTD,Charles Scardina,charles scardina,2,1.0,1,87.251,30.097,29.95,27.204,,GF,0,76.0,83.3,76.0,False,362
imsa,2024,Indianapolis,Indianapolis Motor Speedway,race,613,023,GTD,Charles Scardina,charles scardina,3,1.0,2,87.204,29.928,29.834,27.442,,GF,1,75.9,83.12,75.0,False,362
imsa,2024,Indianapolis,Indianapolis Motor Speedway,race,613,023,GTD,Charles Scardina,charles scardina,4,1.0,3,86.432,29.744,29.615,27.073,,GF,2,75.7,82.94,76.0,False,362
imsa,2024,Indianapolis,Indianapolis Motor Speedway,race,613,023,GTD,Charles Scardina,charles scardina,5,1.0,4,86.679,29.509,29.726,27.444,,GF,3,75.7,82.76,76.0,False,362
imsa,2024,Indianapolis,Indianapolis Motor Speedway,race,613,023,GTD,Charles Scardina,charles scardina,6,1.0,5,88.93,30.054,30.059,28.817,,GF,4,75.7,82.76,76.0,False,362
imsa,2024,Indianapolis,Indianapolis Motor Speedway,race,613,023,GTD,Charles Scardina,charles scardina,7,1.0,6,86.492,29.625,29.498,27.369,,GF,5,75.8,82.76,76.0,False,362
imsa,2024,Indianapolis,Indianapolis Motor Speedway,race,613,023,GTD,Charles Scardina,charles scardina,8,1.0,7,86.88,30.114,29.847,26.919,,GF,6,75.8,82.76,76.0,False,362
imsa,2024,Indianapolis,Indianapolis Motor Speedway,race,613,023,GTD,Charles Scardina,charles scardina,9,1.0,8,87.863,30.292,30.011,27.56,,GF,7,75.9,82.76,76.0,False,362
imsa,2024,Indianapolis,Indianapolis Motor Speedway,race,613,023,GTD,Charles Scardina,charles scardina,10,1.0,9,92.125,30.53,34.234,27.361,,GF,8,75.8,82.76,76.0,False,362
