series_code,year,event,circuit_name,session,session_id,car,class,driver_name,driver_id,lap,stint_number,stint_lap,lap_time,lap_time_s1,lap_time_s2,lap_time_s3,pit_time,flags,est_tire_age,air_temp_f,track_temp_f,humidity_percent,raining,race_duration_minutes
imsa,2024,Long Beach,Acura Grand Prix of Long Beach,race,595,12,GTD,Frankie Montecalvo,frankie montecalvo,1,1.0,0,105.373,49.063,30.822,25.488,,GF,0,64.3,110.12,70.0,False,101
imsa,2024,Long Beach,Acura Grand Prix of Long Beach,race,595,12,GTD,Frankie Montecalvo,frankie montecalvo,2,1.0,1,81.915,27.329,30.68,23.906,,GF,0,64.4,110.3,69.0,False,101
imsa,2024,Long Beach,Acura Grand Prix of Long Beach,race,595,12,GTD,Frankie Montecalvo,frankie montecalvo,3,1.0,2,92.198,26.322,30.056,35.82,,GF,1,64.5,110.3,69.0,False,101
imsa,2024,Long Beach,Acura Grand Prix of Long Beach,race,595,12,GTD,Frankie Montecalvo,frankie montecalvo,4,1.0,3,106.063,51.506,30.801,23.756,42.532,GF,0,64.8,110.66,69.0,False,101
imsa,2024,Long Beach,Acura Grand Prix of Long Beach,race,595,12,GTD,Frankie Montecalvo,frankie montecalvo,5,1.0,4,79.795,26.257,29.948,23.59,,GF,0,65.0,110.84,69.0,False,101
imsa,2024,Long Beach,Acura Grand Prix of Long Beach,race,595,12,GTD,Frankie Montecalvo,frankie montecalvo,6,1.0,5,79.647,26.15,29.968,23.529,,GF,1,65.1,111.02,69.0,False,101
imsa,2024,Long Beach,Acura Grand Prix of Long Beach,race,595,12,GTD,Frankie Montecalvo,frankie montecalvo,7,1.0,6,79.977,26.098,30.231,23.648,,GF,2,65.2,111.02,69.0,False,101
imsa,2024,Long Beach,Acura Grand Prix of Long Beach,race,595,12,GTD,Frankie Montecalvo,frankie montecalvo,8,1.0,7,85.967,26.543,32.767,26.657,,FCY,3,65.4,111.38,68.0,False,101
imsa,2024,Long Beach,Acura Grand Prix of Long Beach,race,595,12,GTD,Frankie Montecalvo,frankie montecalvo,9,1.0,8,110.146,28.78,48.44,32.926,,FCY,3,65.7,111.56,68.0,False,101
imsa,2024,Long Beach,Acura Grand Prix of Long Beach,race,595,12,GTD,Frankie Montecalvo,frankie montecalvo,10,1.0,9,92.596,29.199,37.695,25.702,,FCY,3,65.9,111.74,67.0,False,101
