series_code,year,event,circuit_name,session,session_id,car,class,driver_name,driver_id,lap,stint_number,stint_lap,lap_time,lap_time_s1,lap_time_s2,lap_time_s3,pit_time,flags,est_tire_age,air_temp_f,track_temp_f,humidity_percent,raining,race_duration_minutes
imsa,2024,VIR,Virginia International Raceway,race,617,12,GTD,Frankie Montecalvo,frankie montecalvo,1,1.0,0,116.527,27.41,48.254,40.863,,GF,0,83.2,82.0,51.0,False,162
imsa,2024,VIR,Virginia International Raceway,race,617,12,GTD,Frankie Montecalvo,frankie montecalvo,2,1.0,1,107.601,22.239,45.059,40.303,,GF,0,82.9,82.0,51.0,False,162
imsa,2024,VIR,Virginia International Raceway,race,617,12,GTD,Frankie Montecalvo,frankie montecalvo,3,1.0,2,106.993,21.979,44.81,40.204,,GF,1,82.9,82.0,52.0,False,162
imsa,2024,VIR,Virginia International Raceway,race,617,12,GTD,Frankie Montecalvo,frankie montecalvo,4,1.0,3,106.771,22.04,44.52,40.211,,GF,2,83.0,81.0,52.0,False,162
imsa,2024,VIR,Virginia International Raceway,race,617,12,GTD,Frankie Montecalvo,frankie montecalvo,5,1.0,4,106.625,21.936,44.564,40.125,,GF,3,83.0,81.0,52.0,False,162
imsa,2024,VIR,Virginia International Raceway,race,617,12,GTD,Frankie Montecalvo,frankie montecalvo,6,1.0,5,106.663,21.961,44.518,40.184,,GF,4,83.3,81.0,52.0,False,162
imsa,2024,VIR,Virginia International Raceway,race,617,12,GTD,Frankie Montecalvo,frankie montecalvo,7,1.0,6,107.295,22.152,44.778,40.365,,GF,5,83.8,82.0,52.0,False,162
imsa,2024,VIR,Virginia International Raceway,race,617,12,GTD,Frankie Montecalvo,frankie montecalvo,8,1.0,7,107.19,22.008,44.791,40.391,,GF,6,84.0,82.0,51.0,False,162
imsa,2024,VIR,Virginia International Raceway,race,617,12,GTD,Frankie Montecalvo,frankie montecalvo,9,1.0,8,107.461,22.113,45.006,40.342,,GF,7,84.0,82.0,51.0,False,162
imsa,2024,VIR,Virginia International Raceway,race,617,12,GTD,Frankie Montecalvo,frankie montecalvo,10,1.0,9,107.682,22.279,44.919,40.484,,GF,8,84.1,82.0,50.0,False,162
imsa,2024,VIR,Virginia International Raceway,race,617,12,GTD,Frankie Montecalvo,frankie montecalvo,11,1.0,10,107.869,22.18,45.154,40.535,,GF,9,83.8,82.0,51.0,False,162
imsa,2024,VIR,Virginia International Raceway,race,617,12,GTD,Frankie Montecalvo,frankie montecalvo,12,1.0,11,107.787,22.217,45.047,40.523,,GF,10,83.9,82.0,51.0,False,162
imsa,2024,VIR,Virginia International Raceway,race,617,12,GTD,Frankie Montecalvo,frankie montecalvo,13,1.0,12,108.09,22.391,45.035,40.664,,GF,11,84.0,82.0,51.0,False,162
imsa,2024,VIR,Virginia International Raceway,race,617,12,GTD,Frankie Montecalvo,frankie montecalvo,14,1.0,13,109.064,22.333,45.483,41.248,,GF,12,84.2,82.0,50.0,False,162
imsa,2024,VIR,Virginia International Raceway,race,617,12,GTD,Frankie Montecalvo,frankie montecalvo,15,1.0,14,108.473,22.342,45.189,40.942,,GF,13,84.4,82.0,50.0,False,162
imsa,2024,VIR,Virginia International Raceway,race,617,12,GTD,Frankie Montecalvo,frankie montecalvo,16,1.0,15,108.82,22.913,45.156,40.751,,GF,14,84.6,83.0,51.0,False,162
