series_code,year,event,circuit_name,session,session_id,car,class,driver_name,driver_id,lap,stint_number,stint_lap,lap_time,lap_time_s1,lap_time_s2,lap_time_s3,pit_time,flags,est_tire_age,air_temp_f,track_temp_f,humidity_percent,raining,race_duration_minutes
imsa,2025,Indianapolis,Indianapolis Motor Speedway,race,643,10,GTP,Ricky Taylor,ricky taylor,1,1.0,0,84.784,31.282,28.873,24.629,,GF,0,,,,,362
imsa,2025,Indianapolis,Indianapolis Motor Speedway,race,643,10,GTP,Ricky Taylor,ricky taylor,2,1.0,1,82.284,26.84,27.049,28.395,,FCY,0,,,,,362
imsa,2025,Indianapolis,Indianapolis Motor Speedway,race,643,10,GTP,Ricky Taylor,ricky taylor,3,1.0,2,162.364,49.683,60.523,52.158,,FCY,0,,,,,362
imsa,2025,Indianapolis,Indianapolis Motor Speedway,race,643,10,GTP,Ricky Taylor,ricky taylor,4,1.0,3,130.955,50.319,48.675,31.961,,GF,0,,,,,362
imsa,2025,Indianapolis,Indianapolis Motor Speedway,race,643,10,GTP,Ricky Taylor,ricky taylor,5,1.0,4,78.558,27.018,27.178,24.362,,GF,1,,,,,362
imsa,2025,Indianapolis,Indianapolis Motor Speedway,race,643,10,GTP,Ricky Taylor,ricky taylor,6,1.0,5,77.72,26.486,26.857,24.377,,GF,2,,,,,362
imsa,2025,Indianapolis,Indianapolis Motor Speedway,race,643,10,GTP,Ricky Taylor,ricky taylor,7,1.0,6,89.712,26.851,26.867,35.994,,FCY,3,,,,,362
imsa,2025,Indianapolis,Indianapolis Motor Speedway,race,643,10,GTP,Ricky Taylor,ricky taylor,8,1.0,7,146.878,52.208,57.79,36.88,,FCY,3,,,,,362
imsa,2025,Indianapolis,Indianapolis Motor Speedway,race,643,10,GTP,Ricky Taylor,ricky taylor,9,1.0,8,120.63,38.284,47.16,35.186,,FCY,3,,,,,362
imsa,2025,Indianapolis,Indianapolis Motor Speedway,race,643,10,GTP,Ricky Taylor,ricky taylor,10,1.0,9,131.426,37.886,49.5,44.04,,FCY,3,,,,,362
imsa,2025,Indianapolis,Indianapolis Motor Speedway,race,643,10,GTP,Ricky Taylor,ricky taylor,11,1.0,10,153.038,50.632,52.775,49.631,,FCY,3,,,,,362
imsa,2025,Indianapolis,Indianapolis Motor Speedway,race,643,10,GTP,Ricky Taylor,ricky taylor,12,1.0,11,135.93,52.849,51.324,31.757,,GF,3,,,,,362
imsa,2025,Indianapolis,Indianapolis Motor Speedway,race,643,10,GTP,Ricky Taylor,ricky taylor,13,1.0,12,77.83,26.817,26.816,24.197,,GF,4,,,,,362
imsa,2025,Indianapolis,Indianapolis Motor Speedway,race,643,10,GTP,Ricky Taylor,ricky taylor,14,1.0,13,77.213,26.494,26.572,24.147,,GF,5,,,,,362
imsa,2025,Indianapolis,Indianapolis Motor Speedway,race,643,10,GTP,Ricky Taylor,ricky taylor,15,1.0,14,77.012,26.35,26.535,24.127,,GF,6,,,,,362
imsa,2025,Indianapolis,Indianapolis Motor Speedway,race,643,10,GTP,Ricky Taylor,ricky taylor,16,1.0,15,77.147,26.339,26.593,24.215,,GF,7,,,,,362
imsa,2025,Indianapolis,Indianapolis Motor Speedway,race,643,10,GTP,Ricky Taylor,ricky taylor,17,1.0,16,77.063,26.364,26.462,24.237,,GF,8,,,,,362
imsa,2025,Indianapolis,Indianapolis Motor Speedway,race,643,10,GTP,Ricky Taylor,ricky taylor,18,1.0,17,79.289,27.271,27.119,24.899,,GF,9,,,,,362
imsa,2025,Indianapolis,Indianapolis Motor Speedway,race,643,10,GTP,Ricky Taylor,ricky taylor,19,1.0,18,79.434,27.199,27.318,24.917,,GF,10,,,,,362
imsa,2025,Indianapolis,Indianapolis Motor Speedway,race,643,10,GTP,Ricky Taylor,ricky taylor,20,1.0,19,79.365,27.556,26.899,24.91,,GF,11,,,,,362
imsa,2025,Indianapolis,Indianapolis Motor Speedway,race,643,10,GTP,Ricky Taylor,ricky taylor,21,1.0,20,78.35,26.848,27.095,24.407,,GF,12,,,,,362
imsa,2025,Indianapolis,Indianapolis Motor Speedway,race,643,10,GTP,Ricky Taylor,ricky taylor,22,1.0,21,78.707,27.163,27.153,24.391,,GF,13,,,,,362
imsa,2025,Indianapolis,Indianapolis Motor Speedway,race,643,10,GTP,Ricky Taylor,ricky taylor,23,1.0,22,79.522,27.078,27.461,24.983,,GF,14,,,,,362
imsa,2025,Indianapolis,Indianapolis Motor Speedway,race,643,10,GTP,Ricky Taylor,ricky taylor,24,1.0,23,77.184,26.336,26.678,24.17,,GF,15,,,,,362
imsa,2025,Indianapolis,Indianapolis Motor Speedway,race,643,10,GTP,Ricky Taylor,ricky taylor,25,1.0,24,77.015,26.316,26.508,24.191,,GF,16,,,,,362
imsa,2025,Indianapolis,Indianapolis Motor Speedway,race,643,10,GTP,Ricky Taylor,ricky taylor,26,1.0,25,77.182,26.325,26.603,24.254,,GF,17,,,,,362
imsa,2025,Indianapolis,Indianapolis Motor Speedway,race,643,10,GTP,Ricky Taylor,ricky taylor,27,1.0,26,79.39,27.234,27.007,25.149,,GF,18,,,,,362
imsa,2025,Indianapolis,Indianapolis Motor Speedway,race,643,10,GTP,Ricky Taylor,ricky taylor,28,1.0,27,79.011,27.384,26.61,25.017,,GF,19,,,,,362
imsa,2025,Indianapolis,Indianapolis Motor Speedway,race,643,10,GTP,Ricky Taylor,ricky taylor,29,1.0,28,79.349,27.275,27.023,25.051,,GF,20,,,,,362
imsa,2025,Indianapolis,Indianapolis Motor Speedway,race,643,10,GTP,Ricky Taylor,ricky taylor,30,1.0,29,80.692,28.173,28.05,24.469,,GF,21,,,,,362
imsa,2025,Indianapolis,Indianapolis Motor Speedway,race,643,10,GTP,Ricky Taylor,ricky taylor,31,1.0,30,78.264,27.12,27.01,24.134,,GF,22,,,,,362
imsa,2025,Indianapolis,Indianapolis Motor Speedway,race,643,10,GTP,Ricky Taylor,ricky taylor,32,1.0,31,79.596,26.659,26.956,25.981,,GF,23,,,,,362
imsa,2025,Indianapolis,Indianapolis Motor Speedway,race,643,10,GTP,Ricky Taylor,ricky taylor,33,1.0,32,79.805,26.671,27.422,25.712,,GF,24,,,,,362
imsa,2025,Indianapolis,Indianapolis Motor Speedway,race,643,10,GTP,Ricky Taylor,ricky taylor,34,1.0,33,78.313,27.325,26.649,24.339,,GF,25,,,,,362
imsa,2025,Indianapolis,Indianapolis Motor Speedway,race,643,10,GTP,Ricky Taylor,ricky taylor,35,1.0,34,78.093,26.452,26.97,24.671,,GF,26,,,,,362
imsa,2025,Indianapolis,Indianapolis Motor Speedway,race,643,10,GTP,Ricky Taylor,ricky taylor,36,1.0,35,77.503,26.667,26.678,24.158,,GF,27,,,,,362
imsa,2025,Indianapolis,Indianapolis Motor Speedway,race,643,10,GTP,Ricky Taylor,ricky taylor,37,1.0,36,77.46,26.582,26.567,24.311,,GF,28,,,,,362
imsa,2025,Indianapolis,Indianapolis Motor Speedway,race,643,10,GTP,Ricky Taylor,ricky taylor,38,1.0,37,78.911,26.624,27.743,24.544,,GF,29,,,,,362
imsa,2025,Indianapolis,Indianapolis Motor Speedway,race,643,10,GTP,Ricky Taylor,ricky taylor,39,1.0,38,77.852,26.463,27.175,24.214,,GF,30,,,,,362
imsa,2025,Indianapolis,Indianapolis Motor Speedway,race,643,10,GTP,Ricky Taylor,ricky taylor,40,1.0,39,77.951,27.148,26.557,24.246,,GF,31,,,,,362
imsa,2025,Indianapolis,Indianapolis Motor Speedway,race,643,10,GTP,Ricky Taylor,ricky taylor,41,1.0,40,78.779,27.173,26.906,24.7,,GF,32,,,,,362
imsa,2025,Indianapolis,Indianapolis Motor Speedway,race,643,10,GTP,Ricky Taylor,ricky taylor,42,1.0,41,79.206,27.918,26.92,24.368,,GF,33,,,,,362
imsa,2025,Indianapolis,Indianapolis Motor Speedway,race,643,10,GTP,Ricky Taylor,ricky taylor,43,1.0,42,78.555,26.811,26.744,25.0,,GF,34,,,,,362
imsa,2025,Indianapolis,Indianapolis Motor Speedway,race,643,10,GTP,Ricky Taylor,ricky taylor,44,1.0,43,78.311,26.503,27.272,24.536,,GF,35,,,,,362
imsa,2025,Indianapolis,Indianapolis Motor Speedway,race,643,10,GTP,Ricky Taylor,ricky taylor,45,1.0,44,79.197,28.112,26.907,24.178,,GF,36,,,,,362
imsa,2025,Indianapolis,Indianapolis Motor Speedway,race,643,10,GTP,Ricky Taylor,ricky taylor,46,1.0,45,77.452,26.466,26.766,24.22,,GF,37,,,,,362
imsa,2025,Indianapolis,Indianapolis Motor Speedway,race,643,10,GTP,Ricky Taylor,ricky taylor,47,1.0,46,99.621,26.903,27.189,45.529,,GF,38,,,,,362
imsa,2025,Indianapolis,Indianapolis Motor Speedway,race,643,10,GTP,Filipe Albuquerque,filipe albuquerque,48,2.0,0,157.301,98.395,31.828,27.078,96.53,GF,0,,,,,362
imsa,2025,Indianapolis,Indianapolis Motor Speedway,race,643,10,GTP,Filipe Albuquerque,filipe albuquerque,49,2.0,1,80.426,27.929,27.693,24.804,,GF,0,,,,,362
imsa,2025,Indianapolis,Indianapolis Motor Speedway,race,643,10,GTP,Filipe Albuquerque,filipe albuquerque,50,2.0,2,79.783,27.901,27.45,24.432,,GF,1,,,,,362
imsa,2025,Indianapolis,Indianapolis Motor Speedway,race,643,10,GTP,Filipe Albuquerque,filipe albuquerque,51,2.0,3,79.077,27.233,27.388,24.456,,GF,2,,,,,362
imsa,2025,Indianapolis,Indianapolis Motor Speedway,race,643,10,GTP,Filipe Albuquerque,filipe albuquerque,52,2.0,4,77.993,26.933,26.704,24.356,,GF,3,,,,,362
imsa,2025,Indianapolis,Indianapolis Motor Speedway,race,643,10,GTP,Filipe Albuquerque,filipe albuquerque,53,2.0,5,78.642,26.444,27.092,25.106,,GF,4,,,,,362
imsa,2025,Indianapolis,Indianapolis Motor Speedway,race,643,10,GTP,Filipe Albuquerque,filipe albuquerque,54,2.0,6,79.911,26.895,27.431,25.585,,GF,5,,,,,362
imsa,2025,Indianapolis,Indianapolis Motor Speedway,race,643,10,GTP,Filipe Albuquerque,filipe albuquerque,55,2.0,7,79.245,27.072,27.471,24.702,,GF,6,,,,,362
imsa,2025,Indianapolis,Indianapolis Motor Speedway,race,643,10,GTP,Filipe Albuquerque,filipe albuquerque,56,2.0,8,79.489,27.401,27.387,24.701,,GF,7,,,,,362
imsa,2025,Indianapolis,Indianapolis Motor Speedway,race,643,10,GTP,Filipe Albuquerque,filipe albuquerque,57,2.0,9,79.012,27.262,27.282,24.468,,GF,8,,,,,362
imsa,2025,Indianapolis,Indianapolis Motor Speedway,race,643,10,GTP,Filipe Albuquerque,filipe albuquerque,58,2.0,10,95.603,27.231,30.529,37.843,,FCY,9,,,,,362
imsa,2025,Indianapolis,Indianapolis Motor Speedway,race,643,10,GTP,Filipe Albuquerque,filipe albuquerque,59,2.0,11,148.441,43.685,52.546,52.21,,FCY,9,,,,,362
imsa,2025,Indianapolis,Indianapolis Motor Speedway,race,643,10,GTP,Filipe Albuquerque,filipe albuquerque,60,2.0,12,159.446,54.636,50.805,54.005,,FCY,9,,,,,362
imsa,2025,Indianapolis,Indianapolis Motor Speedway,race,643,10,GTP,Filipe Albuquerque,filipe albuquerque,61,2.0,13,148.486,81.235,38.499,28.752,80.802,FCY,0,,,,,362
imsa,2025,Indianapolis,Indianapolis Motor Speedway,race,643,10,GTP,Filipe Albuquerque,filipe albuquerque,62,2.0,14,112.226,39.18,41.38,31.666,,FCY,0,,,,,362
imsa,2025,Indianapolis,Indianapolis Motor Speedway,race,643,10,GTP,Filipe Albuquerque,filipe albuquerque,63,2.0,15,133.195,41.041,49.215,42.939,,FCY,0,,,,,362
imsa,2025,Indianapolis,Indianapolis Motor Speedway,race,643,10,GTP,Filipe Albuquerque,filipe albuquerque,64,2.0,16,143.899,52.331,46.196,45.372,,FCY,0,,,,,362
imsa,2025,Indianapolis,Indianapolis Motor Speedway,race,643,10,GTP,Filipe Albuquerque,filipe albuquerque,65,2.0,17,130.869,47.792,51.846,31.231,,GF,0,,,,,362
imsa,2025,Indianapolis,Indianapolis Motor Speedway,race,643,10,GTP,Filipe Albuquerque,filipe albuquerque,66,2.0,18,80.671,28.304,27.723,24.644,,GF,1,,,,,362
imsa,2025,Indianapolis,Indianapolis Motor Speedway,race,643,10,GTP,Filipe Albuquerque,filipe albuquerque,67,2.0,19,78.206,26.926,26.94,24.34,,GF,2,,,,,362
imsa,2025,Indianapolis,Indianapolis Motor Speedway,race,643,10,GTP,Filipe Albuquerque,filipe albuquerque,68,2.0,20,79.007,27.743,26.981,24.283,,GF,3,,,,,362
