series_code,year,event,circuit_name,session,session_id,car,class,driver_name,driver_id,lap,stint_number,stint_lap,lap_time,lap_time_s1,lap_time_s2,lap_time_s3,pit_time,flags,est_tire_age,air_temp_f,track_temp_f,humidity_percent,raining,race_duration_minutes
imsa,2025,Laguna Seca,WeatherTech Raceway Laguna Seca,race,673,1,GTDPRO,Madison Snow,madison snow,1,1.0,0,105.145,50.64,36.221,18.284,,GF,0,56.7,112.28,78.0,False,162
imsa,2025,Laguna Seca,WeatherTech Raceway Laguna Seca,race,673,1,GTDPRO,Madison Snow,madison snow,2,1.0,1,84.052,30.684,35.027,18.341,,GF,0,56.4,112.1,78.0,False,162
imsa,2025,Laguna Seca,WeatherTech Raceway Laguna Seca,race,673,1,GTDPRO,Madison Snow,madison snow,3,1.0,2,83.1,30.213,34.778,18.109,,GF,1,56.6,112.1,79.0,False,162
imsa,2025,Laguna Seca,WeatherTech Raceway Laguna Seca,race,673,1,GTDPRO,Madison Snow,madison snow,4,1.0,3,82.917,30.127,34.67,18.12,,GF,2,56.9,111.92,78.0,False,162
imsa,2025,Laguna Seca,WeatherTech Raceway Laguna Seca,race,673,1,GTDPRO,Madison Snow,madison snow,5,1.0,4,82.644,30.028,34.552,18.064,,GF,3,57.3,112.1,77.0,False,162
imsa,2025,Laguna Seca,WeatherTech Raceway Laguna Seca,race,673,1,GTDPRO,Madison Snow,madison snow,6,1.0,5,82.808,30.141,34.568,18.099,,GF,4,57.4,112.28,77.0,False,162
imsa,2025,Laguna Seca,WeatherTech Raceway Laguna Seca,race,673,1,GTDPRO,Madison Snow,madison snow,7,1.0,6,82.99,30.206,34.711,18.073,,GF,5,57.6,112.46,77.0,False,162
imsa,2025,Laguna Seca,WeatherTech Raceway Laguna Seca,race,673,1,GTDPRO,Madison Snow,madison snow,8,1.0,7,83.374,30.381,34.825,18.168,,GF,6,58.3,112.46,77.0,False,162
imsa,2025,Laguna Seca,WeatherTech Raceway Laguna Seca,race,673,1,GTDPRO,Madison Snow,madison snow,9,1.0,8,83.496,30.172,34.859,18.465,,GF,7,58.1,112.64,75.0,False,162
imsa,2025,Laguna Seca,WeatherTech Raceway Laguna Seca,race,673,1,GTDPRO,Madison Snow,madison snow,10,1.0,9,85.576,30.929,36.181,18.466,,GF,8,58.1,112.46,75.0,False,162
imsa,2025,Laguna Seca,WeatherTech Raceway Laguna Seca,race,673,1,GTDPRO,Madison Snow,madison snow,11,1.0,10,83.751,30.686,34.923,18.142,,GF,9,58.2,112.64,74.0,False,162
imsa,2025,Laguna Seca,WeatherTech Raceway Laguna Seca,race,673,1,GTDPRO,Madison Snow,madison snow,12,1.0,11,83.372,30.395,34.778,18.199,,GF,10,58.3,112.64,73.0,False,162
imsa,2025,Laguna Seca,WeatherTech Raceway Laguna Seca,race,673,1,GTDPRO,Madison Snow,madison snow,13,1.0,12,83.266,30.196,34.756,18.314,,GF,11,58.4,112.46,73.0,False,162
imsa,2025,Laguna Seca,WeatherTech Raceway Laguna Seca,race,673,1,GTDPRO,Madison Snow,madison snow,14,1.0,13,83.014,30.223,34.635,18.156,,GF,12,58.6,112.64,72.0,False,162
imsa,2025,Laguna Seca,WeatherTech Raceway Laguna Seca,race,673,1,GTDPRO,Madison Snow,madison snow,15,1.0,14,83.293,30.37,34.733,18.19,,GF,13,58.4,112.46,74.0,False,162
imsa,2025,Laguna Seca,WeatherTech Raceway Laguna Seca,race,673,1,GTDPRO,Madison Snow,madison snow,16,1.0,15,114.087,30.256,34.683,49.148,,GF,14,58.0,112.46,74.0,False,162
imsa,2025,Laguna Seca,WeatherTech Raceway Laguna Seca,race,673,1,GTDPRO,Madison Snow,madison snow,17,1.0,16,91.259,36.927,36.004,18.328,42.642,GF,0,57.9,112.46,75.0,False,162
imsa,2025,Laguna Seca,WeatherTech Raceway Laguna Seca,race,673,1,GTDPRO,Madison Snow,madison snow,18,1.0,17,84.388,30.824,34.982,18.582,,GF,0,57.5,112.28,75.0,False,162
imsa,2025,Laguna Seca,WeatherTech Raceway Laguna Seca,race,673,1,GTDPRO,Madison Snow,madison snow,19,1.0,18,83.69,30.522,34.897,18.271,,GF,1,57.5,112.28,76.0,False,162
imsa,2025,Laguna Seca,WeatherTech Raceway Laguna Seca,race,673,1,GTDPRO,Madison Snow,madison snow,20,1.0,19,83.443,30.393,34.825,18.225,,GF,2,57.5,112.28,76.0,False,162
imsa,2025,Laguna Seca,WeatherTech Raceway Laguna Seca,race,673,1,GTDPRO,Madison Snow,madison snow,21,1.0,20,83.415,30.384,34.695,18.336,,GF,3,57.5,112.1,76.0,False,162
