series_code,year,event,circuit_name,session,session_id,car,class,driver_name,driver_id,lap,stint_number,stint_lap,lap_time,lap_time_s1,lap_time_s2,lap_time_s3,pit_time,flags,est_tire_age,air_temp_f,track_temp_f,humidity_percent,raining,race_duration_minutes
imsa,2025,Road America,Road America,race,651,10,GTP,Filipe Albuquerque,filipe albuquerque,1,1.0,0,168.827,14.364,106.503,47.96,,FCY,0,78.8,99.0,56.0,False,162
imsa,2025,Road America,Road America,race,651,10,GTP,Filipe Albuquerque,filipe albuquerque,2,1.0,1,243.197,27.461,149.568,66.168,,FCY,0,78.3,97.0,57.0,False,162
imsa,2025,Road America,Road America,race,651,10,GTP,Filipe Albuquerque,filipe albuquerque,3,1.0,2,227.264,30.04,137.464,59.76,,FCY,0,78.1,97.0,56.0,False,162
imsa,2025,Road America,Road America,race,651,10,GTP,Filipe Albuquerque,filipe albuquerque,4,1.0,3,184.748,21.991,116.879,45.878,,GF,0,77.8,97.0,56.0,False,162
imsa,2025,Road America,Road America,race,651,10,GTP,Filipe Albuquerque,filipe albuquerque,5,1.0,4,116.852,12.565,72.368,31.919,,GF,1,77.6,97.0,56.0,False,162
imsa,2025,Road America,Road America,race,651,10,GTP,Filipe Albuquerque,filipe albuquerque,6,1.0,5,163.04,12.181,107.084,43.775,,FCY,2,77.6,97.0,57.0,False,162
imsa,2025,Road America,Road America,race,651,10,GTP,Filipe Albuquerque,filipe albuquerque,7,1.0,6,220.319,18.972,146.698,54.649,,FCY,2,77.6,99.0,58.0,False,162
imsa,2025,Road America,Road America,race,651,10,GTP,Filipe Albuquerque,filipe albuquerque,8,1.0,7,205.787,16.376,131.133,58.278,,FCY,2,77.7,101.0,59.0,False,162
imsa,2025,Road America,Road America,race,651,10,GTP,Filipe Albuquerque,filipe albuquerque,9,1.0,8,211.583,17.122,128.589,65.872,,FCY,2,78.1,102.0,57.0,False,162
imsa,2025,Road America,Road America,race,651,10,GTP,Filipe Albuquerque,filipe albuquerque,10,1.0,9,219.407,27.031,138.628,53.748,,GF,2,78.0,100.0,57.0,False,162
imsa,2025,Road America,Road America,race,651,10,GTP,Filipe Albuquerque,filipe albuquerque,11,1.0,10,115.836,12.528,71.854,31.454,,GF,3,78.0,100.0,57.0,False,162
imsa,2025,Road America,Road America,race,651,10,GTP,Filipe Albuquerque,filipe albuquerque,12,1.0,11,113.169,11.915,70.054,31.2,,GF,4,78.2,100.0,56.0,False,162
imsa,2025,Road America,Road America,race,651,10,GTP,Filipe Albuquerque,filipe albuquerque,13,1.0,12,114.132,12.031,69.991,32.11,,GF,5,78.3,99.0,57.0,False,162
