series_code,year,event,circuit_name,session,session_id,car,class,driver_name,driver_id,lap,stint_number,stint_lap,lap_time,lap_time_s1,lap_time_s2,lap_time_s3,pit_time,flags,est_tire_age,air_temp_f,track_temp_f,humidity_percent,raining,race_duration_minutes
imsa,2025,Watkins Glen,Watkins Glen International,race,669,021,GTD,AJ Muss,aj muss,1,1.0,0,162.716,65.37,47.878,49.468,,GF,0,,,,,362
imsa,2025,Watkins Glen,Watkins Glen International,race,669,021,GTD,AJ Muss,aj muss,2,1.0,1,117.776,26.466,45.402,45.908,,GF,0,,,,,362
imsa,2025,Watkins Glen,Watkins Glen International,race,669,021,GTD,AJ Muss,aj muss,3,1.0,2,113.453,26.005,43.496,43.952,,GF,1,,,,,362
imsa,2025,Watkins Glen,Watkins Glen International,race,669,021,GTD,AJ Muss,aj muss,4,1.0,3,112.23,25.455,42.302,44.473,,GF,2,,,,,362
imsa,2025,Watkins Glen,Watkins Glen International,race,669,021,GTD,AJ Muss,aj muss,5,1.0,4,111.059,25.16,42.951,42.948,,GF,3,,,,,362
imsa,2025,Watkins Glen,Watkins Glen International,race,669,021,GTD,AJ Muss,aj muss,6,1.0,5,109.298,25.253,41.502,42.543,,GF,4,,,,,362
imsa,2025,Watkins Glen,Watkins Glen International,race,669,021,GTD,AJ Muss,aj muss,7,1.0,6,108.81,25.16,41.307,42.343,,GF,5,,,,,362
imsa,2025,Watkins Glen,Watkins Glen International,race,669,021,GTD,AJ Muss,aj muss,8,1.0,7,109.84,25.23,41.095,43.515,,GF,6,,,,,362
imsa,2025,Watkins Glen,Watkins Glen International,race,669,021,GTD,AJ Muss,aj muss,9,1.0,8,109.558,25.441,41.591,42.526,,GF,7,,,,,362
imsa,2025,Watkins Glen,Watkins Glen International,race,669,021,GTD,AJ Muss,aj muss,10,1.0,9,108.707,25.299,41.057,42.351,,GF,8,,,,,362
imsa,2025,Watkins Glen,Watkins Glen International,race,669,021,GTD,AJ Muss,aj muss,11,1.0,10,110.397,25.29,41.723,43.384,,GF,9,,,,,362
imsa,2025,Watkins Glen,Watkins Glen International,race,669,021,GTD,AJ Muss,aj muss,12,1.0,11,110.024,25.626,41.694,42.704,,GF,10,,,,,362
imsa,2025,Watkins Glen,Watkins Glen International,race,669,021,GTD,AJ Muss,aj muss,13,1.0,12,111.929,25.934,42.934,43.061,,GF,11,,,,,362
imsa,2025,Watkins Glen,Watkins Glen International,race,669,021,GTD,AJ Muss,aj muss,14,1.0,13,110.491,25.568,41.529,43.394,,GF,12,,,,,362
imsa,2025,Watkins Glen,Watkins Glen International,race,669,021,GTD,AJ Muss,aj muss,15,1.0,14,110.107,25.401,41.486,43.22,,GF,13,,,,,362
imsa,2025,Watkins Glen,Watkins Glen International,race,669,021,GTD,AJ Muss,aj muss,16,1.0,15,109.269,25.305,41.125,42.839,,GF,14,,,,,362
imsa,2025,Watkins Glen,Watkins Glen International,race,669,021,GTD,AJ Muss,aj muss,17,1.0,16,120.386,27.103,43.118,50.165,,FCY,15,,,,,362
imsa,2025,Watkins Glen,Watkins Glen International,race,669,021,GTD,AJ Muss,aj muss,18,1.0,17,155.897,32.606,51.663,71.628,,FCY,15,,,,,362
