series_code,year,event,circuit_name,session,session_id,car,class,driver_name,driver_id,lap,stint_number,stint_lap,lap_time,lap_time_s1,lap_time_s2,lap_time_s3,pit_time,flags,est_tire_age,air_temp_f,track_temp_f,humidity_percent,raining,race_duration_minutes
imsa,2025,Watkins Glen,Watkins Glen International,race,669,1,GTDPRO,Madison Snow,madison snow,1,1.0,0,156.116,60.507,47.913,47.696,,GF,0,,,,,362
imsa,2025,Watkins Glen,Watkins Glen International,race,669,1,GTDPRO,Madison Snow,madison snow,2,1.0,1,117.908,25.577,45.599,46.732,,GF,0,,,,,362
imsa,2025,Watkins Glen,Watkins Glen International,race,669,1,GTDPRO,Madison Snow,madison snow,3,1.0,2,112.714,25.453,44.2,43.061,,GF,1,,,,,362
imsa,2025,Watkins Glen,Watkins Glen International,race,669,1,GTDPRO,Madison Snow,madison snow,4,1.0,3,111.455,25.262,43.435,42.758,,GF,2,,,,,362
imsa,2025,Watkins Glen,Watkins Glen International,race,669,1,GTDPRO,Madison Snow,madison snow,5,1.0,4,108.472,24.921,41.46,42.091,,GF,3,,,,,362
imsa,2025,Watkins Glen,Watkins Glen International,race,669,1,GTDPRO,Madison Snow,madison snow,6,1.0,5,107.423,24.928,40.666,41.829,,GF,4,,,,,362
imsa,2025,Watkins Glen,Watkins Glen International,race,669,1,GTDPRO,Madison Snow,madison snow,7,1.0,6,108.193,24.874,41.514,41.805,,GF,5,,,,,362
imsa,2025,Watkins Glen,Watkins Glen International,race,669,1,GTDPRO,Madison Snow,madison snow,8,1.0,7,107.911,25.222,40.52,42.169,,GF,6,,,,,362
imsa,2025,Watkins Glen,Watkins Glen International,race,669,1,GTDPRO,Madison Snow,madison snow,9,1.0,8,107.635,24.982,40.507,42.146,,GF,7,,,,,362
imsa,2025,Watkins Glen,Watkins Glen International,race,669,1,GTDPRO,Madison Snow,madison snow,10,1.0,9,107.898,25.066,40.843,41.989,,GF,8,,,,,362
imsa,2025,Watkins Glen,Watkins Glen International,race,669,1,GTDPRO,Madison Snow,madison snow,11,1.0,10,109.152,25.132,41.453,42.567,,GF,9,,,,,362
imsa,2025,Watkins Glen,Watkins Glen International,race,669,1,GTDPRO,Madison Snow,madison snow,12,1.0,11,110.172,25.084,42.731,42.357,,GF,10,,,,,362
imsa,2025,Watkins Glen,Watkins Glen International,race,669,1,GTDPRO,Madison Snow,madison snow,13,1.0,12,107.961,25.019,40.56,42.382,,GF,11,,,,,362
imsa,2025,Watkins Glen,Watkins Glen International,race,669,1,GTDPRO,Madison Snow,madison snow,14,1.0,13,107.797,25.039,40.61,42.148,,GF,12,,,,,362
imsa,2025,Watkins Glen,Watkins Glen International,race,669,1,GTDPRO,Madison Snow,madison snow,15,1.0,14,109.822,24.994,41.615,43.213,,GF,13,,,,,362
imsa,2025,Watkins Glen,Watkins Glen International,race,669,1,GTDPRO,Madison Snow,madison snow,16,1.0,15,110.465,25.35,42.533,42.582,,GF,14,,,,,362
imsa,2025,Watkins Glen,Watkins Glen International,race,669,1,GTDPRO,Madison Snow,madison snow,17,1.0,16,115.147,26.8,41.642,46.705,,FCY,15,,,,,362
imsa,2025,Watkins Glen,Watkins Glen International,race,669,1,GTDPRO,Madison Snow,madison snow,18,1.0,17,142.033,30.97,50.709,60.354,,FCY,15,,,,,362
imsa,2025,Watkins Glen,Watkins Glen International,race,669,1,GTDPRO,Madison Snow,madison snow,19,1.0,18,229.285,37.983,88.841,102.461,,FCY,15,,,,,362
imsa,2025,Watkins Glen,Watkins Glen International,race,669,1,GTDPRO,Madison Snow,madison snow,20,1.0,19,250.643,65.153,99.297,86.193,,FCY,15,,,,,362
imsa,2025,Watkins Glen,Watkins Glen International,race,669,1,GTDPRO,Madison Snow,madison snow,21,1.0,20,224.168,48.868,83.509,91.791,,FCY,15,,,,,362
imsa,2025,Watkins Glen,Watkins Glen International,race,669,1,GTDPRO,Madison Snow,madison snow,22,1.0,21,242.513,90.205,66.644,85.664,74.331,FCY,0,,,,,362
imsa,2025,Watkins Glen,Watkins Glen International,race,669,1,GTDPRO,Madison Snow,madison snow,23,1.0,22,218.176,53.76,80.636,83.78,,FCY,0,,,,,362
imsa,2025,Watkins Glen,Watkins Glen International,race,669,1,GTDPRO,Madison Snow,madison snow,24,1.0,23,185.41,54.124,75.259,56.027,,GF,0,,,,,362
imsa,2025,Watkins Glen,Watkins Glen International,race,669,1,GTDPRO,Madison Snow,madison snow,25,1.0,24,129.923,29.888,48.227,51.808,,FCY,1,,,,,362
imsa,2025,Watkins Glen,Watkins Glen International,race,669,1,GTDPRO,Madison Snow,madison snow,26,1.0,25,218.119,32.749,69.727,115.643,,FCY,1,,,,,362
imsa,2025,Watkins Glen,Watkins Glen International,race,669,1,GTDPRO,Madison Snow,madison snow,27,1.0,26,228.894,58.763,73.599,96.532,,FCY,1,,,,,362
imsa,2025,Watkins Glen,Watkins Glen International,race,669,1,GTDPRO,Madison Snow,madison snow,28,1.0,27,225.55,59.581,79.681,86.288,,FCY,1,,,,,362
