series_code,year,event,circuit_name,session,session_id,car,class,driver_name,driver_id,lap,stint_number,stint_lap,lap_time,lap_time_s1,lap_time_s2,lap_time_s3,pit_time,flags,est_tire_age,air_temp_f,track_temp_f,humidity_percent,raining,race_duration_minutes
imsa,2025,Watkins Glen,Watkins Glen International,race,669,10,GTP,Ricky Taylor,ricky taylor,1,1.0,0,121.93,24.857,45.274,51.799,,GF,0,,,,,362
imsa,2025,Watkins Glen,Watkins Glen International,race,669,10,GTP,Ricky Taylor,ricky taylor,2,1.0,1,140.122,24.698,66.203,49.221,,GF,0,,,,,362
imsa,2025,Watkins Glen,Watkins Glen International,race,669,10,GTP,Ricky Taylor,ricky taylor,3,1.0,2,113.71,25.411,43.85,44.449,,GF,1,,,,,362
imsa,2025,Watkins Glen,Watkins Glen International,race,669,10,GTP,Ricky Taylor,ricky taylor,4,1.0,3,110.211,24.588,42.616,43.007,,GF,2,,,,,362
imsa,2025,Watkins Glen,Watkins Glen International,race,669,10,GTP,Ricky Taylor,ricky taylor,5,1.0,4,103.854,23.189,40.008,40.657,,GF,3,,,,,362
imsa,2025,Watkins Glen,Watkins Glen International,race,669,10,GTP,Ricky Taylor,ricky taylor,6,1.0,5,101.086,22.784,38.654,39.648,,GF,4,,,,,362
imsa,2025,Watkins Glen,Watkins Glen International,race,669,10,GTP,Ricky Taylor,ricky taylor,7,1.0,6,98.46,22.382,37.85,38.228,,GF,5,,,,,362
imsa,2025,Watkins Glen,Watkins Glen International,race,669,10,GTP,Ricky Taylor,ricky taylor,8,1.0,7,97.535,22.02,37.306,38.209,,GF,6,,,,,362
imsa,2025,Watkins Glen,Watkins Glen International,race,669,10,GTP,Ricky Taylor,ricky taylor,9,1.0,8,96.577,21.911,36.976,37.69,,GF,7,,,,,362
imsa,2025,Watkins Glen,Watkins Glen International,race,669,10,GTP,Ricky Taylor,ricky taylor,10,1.0,9,99.379,21.913,38.165,39.301,,GF,8,,,,,362
imsa,2025,Watkins Glen,Watkins Glen International,race,669,10,GTP,Ricky Taylor,ricky taylor,11,1.0,10,97.553,22.327,37.01,38.216,,GF,9,,,,,362
imsa,2025,Watkins Glen,Watkins Glen International,race,669,10,GTP,Ricky Taylor,ricky taylor,12,1.0,11,100.349,22.107,37.262,40.98,,GF,10,,,,,362
imsa,2025,Watkins Glen,Watkins Glen International,race,669,10,GTP,Ricky Taylor,ricky taylor,13,1.0,12,102.886,22.509,40.466,39.911,,GF,11,,,,,362
imsa,2025,Watkins Glen,Watkins Glen International,race,669,10,GTP,Ricky Taylor,ricky taylor,14,1.0,13,102.223,23.263,38.837,40.123,,GF,12,,,,,362
imsa,2025,Watkins Glen,Watkins Glen International,race,669,10,GTP,Ricky Taylor,ricky taylor,15,1.0,14,103.338,24.117,39.535,39.686,,GF,13,,,,,362
imsa,2025,Watkins Glen,Watkins Glen International,race,669,10,GTP,Ricky Taylor,ricky taylor,16,1.0,15,104.753,23.336,40.094,41.323,,GF,14,,,,,362
imsa,2025,Watkins Glen,Watkins Glen International,race,669,10,GTP,Ricky Taylor,ricky taylor,17,1.0,16,106.785,23.084,43.372,40.329,,GF,15,,,,,362
imsa,2025,Watkins Glen,Watkins Glen International,race,669,10,GTP,Ricky Taylor,ricky taylor,18,1.0,17,111.239,24.95,39.945,46.344,,FCY,16,,,,,362
imsa,2025,Watkins Glen,Watkins Glen International,race,669,10,GTP,Ricky Taylor,ricky taylor,19,1.0,18,139.327,29.967,53.12,56.24,,FCY,16,,,,,362
imsa,2025,Watkins Glen,Watkins Glen International,race,669,10,GTP,Ricky Taylor,ricky taylor,20,1.0,19,223.907,37.535,86.458,99.914,,FCY,16,,,,,362
imsa,2025,Watkins Glen,Watkins Glen International,race,669,10,GTP,Ricky Taylor,ricky taylor,21,1.0,20,261.119,67.508,101.488,92.123,,FCY,16,,,,,362
imsa,2025,Watkins Glen,Watkins Glen International,race,669,10,GTP,Ricky Taylor,ricky taylor,22,1.0,21,242.083,80.797,82.64,78.646,60.995,FCY,0,,,,,362
imsa,2025,Watkins Glen,Watkins Glen International,race,669,10,GTP,Ricky Taylor,ricky taylor,23,1.0,22,211.778,44.68,80.336,86.762,,FCY,0,,,,,362
imsa,2025,Watkins Glen,Watkins Glen International,race,669,10,GTP,Ricky Taylor,ricky taylor,24,1.0,23,212.815,53.066,78.952,80.797,,FCY,0,,,,,362
imsa,2025,Watkins Glen,Watkins Glen International,race,669,10,GTP,Ricky Taylor,ricky taylor,25,1.0,24,197.22,52.321,79.806,65.093,,GF,0,,,,,362
imsa,2025,Watkins Glen,Watkins Glen International,race,669,10,GTP,Ricky Taylor,ricky taylor,26,1.0,25,117.4,26.762,46.106,44.532,,GF,1,,,,,362
imsa,2025,Watkins Glen,Watkins Glen International,race,669,10,GTP,Ricky Taylor,ricky taylor,27,1.0,26,209.574,36.817,72.118,100.639,,FCY,2,,,,,362
imsa,2025,Watkins Glen,Watkins Glen International,race,669,10,GTP,Ricky Taylor,ricky taylor,28,1.0,27,236.254,67.217,77.229,91.808,,FCY,2,,,,,362
imsa,2025,Watkins Glen,Watkins Glen International,race,669,10,GTP,Ricky Taylor,ricky taylor,29,1.0,28,223.014,59.571,78.007,85.436,,FCY,2,,,,,362
imsa,2025,Watkins Glen,Watkins Glen International,race,669,10,GTP,Ricky Taylor,ricky taylor,30,1.0,29,202.949,45.013,83.303,74.633,,FCY,2,,,,,362
imsa,2025,Watkins Glen,Watkins Glen International,race,669,10,GTP,Ricky Taylor,ricky taylor,31,1.0,30,186.31,49.758,74.272,62.28,,GF,2,,,,,362
imsa,2025,Watkins Glen,Watkins Glen International,race,669,10,GTP,Ricky Taylor,ricky taylor,32,1.0,31,110.741,24.618,43.227,42.896,,FCY,3,,,,,362
imsa,2025,Watkins Glen,Watkins Glen International,race,669,10,GTP,Ricky Taylor,ricky taylor,33,1.0,32,194.577,41.094,77.133,76.35,,FCY,3,,,,,362
imsa,2025,Watkins Glen,Watkins Glen International,race,669,10,GTP,Ricky Taylor,ricky taylor,34,1.0,33,223.277,89.393,70.66,63.224,62.811,FCY,0,,,,,362
imsa,2025,Watkins Glen,Watkins Glen International,race,669,10,GTP,Ricky Taylor,ricky taylor,35,1.0,34,158.059,31.898,64.33,61.831,,FCY,0,,,,,362
imsa,2025,Watkins Glen,Watkins Glen International,race,669,10,GTP,Ricky Taylor,ricky taylor,36,1.0,35,173.19,48.329,59.579,65.282,,FCY,0,,,,,362
imsa,2025,Watkins Glen,Watkins Glen International,race,669,10,GTP,Ricky Taylor,ricky taylor,37,1.0,36,175.012,47.423,66.71,60.879,,GF,0,,,,,362
imsa,2025,Watkins Glen,Watkins Glen International,race,669,10,GTP,Ricky Taylor,ricky taylor,38,1.0,37,98.361,22.459,37.683,38.219,,GF,1,,,,,362
imsa,2025,Watkins Glen,Watkins Glen International,race,669,10,GTP,Ricky Taylor,ricky taylor,39,1.0,38,97.745,21.784,37.646,38.315,,GF,2,,,,,362
imsa,2025,Watkins Glen,Watkins Glen International,race,669,10,GTP,Ricky Taylor,ricky taylor,40,1.0,39,97.873,21.884,37.202,38.787,,GF,3,,,,,362
imsa,2025,Watkins Glen,Watkins Glen International,race,669,10,GTP,Ricky Taylor,ricky taylor,41,1.0,40,98.683,22.637,37.269,38.777,,GF,4,,,,,362
imsa,2025,Watkins Glen,Watkins Glen International,race,669,10,GTP,Ricky Taylor,ricky taylor,42,1.0,41,96.35,21.944,36.598,37.808,,GF,5,,,,,362
imsa,2025,Watkins Glen,Watkins Glen International,race,669,10,GTP,Ricky Taylor,ricky taylor,43,1.0,42,96.244,21.963,36.495,37.786,,GF,6,,,,,362
imsa,2025,Watkins Glen,Watkins Glen International,race,669,10,GTP,Ricky Taylor,ricky taylor,44,1.0,43,97.279,22.033,37.032,38.214,,GF,7,,,,,362
imsa,2025,Watkins Glen,Watkins Glen International,race,669,10,GTP,Ricky Taylor,ricky taylor,45,1.0,44,98.271,22.749,37.224,38.298,,GF,8,,,,,362
imsa,2025,Watkins Glen,Watkins Glen International,race,669,10,GTP,Ricky Taylor,ricky taylor,46,1.0,45,98.06,22.302,37.233,38.525,,GF,9,,,,,362
imsa,2025,Watkins Glen,Watkins Glen International,race,669,10,GTP,Ricky Taylor,ricky taylor,47,1.0,46,100.381,22.88,38.554,38.947,,GF,10,,,,,362
imsa,2025,Watkins Glen,Watkins Glen International,race,669,10,GTP,Ricky Taylor,ricky taylor,48,1.0,47,97.641,22.415,37.004,38.222,,GF,11,,,,,362
imsa,2025,Watkins Glen,Watkins Glen International,race,669,10,GTP,Ricky Taylor,ricky taylor,49,1.0,48,98.456,22.412,37.764,38.28,,GF,12,,,,,362
imsa,2025,Watkins Glen,Watkins Glen International,race,669,10,GTP,Ricky Taylor,ricky taylor,50,1.0,49,97.3,21.938,37.286,38.076,,GF,13,,,,,362
imsa,2025,Watkins Glen,Watkins Glen International,race,669,10,GTP,Ricky Taylor,ricky taylor,51,1.0,50,98.245,21.943,37.523,38.779,,GF,14,,,,,362
imsa,2025,Watkins Glen,Watkins Glen International,race,669,10,GTP,Ricky Taylor,ricky taylor,52,1.0,51,97.562,22.037,37.354,38.171,,GF,15,,,,,362
imsa,2025,Watkins Glen,Watkins Glen International,race,669,10,GTP,Ricky Taylor,ricky taylor,53,1.0,52,99.515,22.209,37.5,39.806,,GF,16,,,,,362
imsa,2025,Watkins Glen,Watkins Glen International,race,669,10,GTP,Ricky Taylor,ricky taylor,54,1.0,53,146.038,21.987,48.796,75.255,,FCY,17,,,,,362
imsa,2025,Watkins Glen,Watkins Glen International,race,669,10,GTP,Ricky Taylor,ricky taylor,55,1.0,54,208.241,56.205,75.966,76.07,,FCY,17,,,,,362
imsa,2025,Watkins Glen,Watkins Glen International,race,669,10,GTP,Ricky Taylor,ricky taylor,56,1.0,55,168.49,67.085,48.898,52.507,55.955,FCY,0,,,,,362
imsa,2025,Watkins Glen,Watkins Glen International,race,669,10,GTP,Ricky Taylor,ricky taylor,57,1.0,56,164.873,31.174,62.367,71.332,,FCY,0,,,,,362
imsa,2025,Watkins Glen,Watkins Glen International,race,669,10,GTP,Ricky Taylor,ricky taylor,58,1.0,57,183.54,47.763,69.468,66.309,,FCY,0,,,,,362
imsa,2025,Watkins Glen,Watkins Glen International,race,669,10,GTP,Ricky Taylor,ricky taylor,59,1.0,58,173.726,44.573,67.621,61.532,,GF,0,,,,,362
imsa,2025,Watkins Glen,Watkins Glen International,race,669,10,GTP,Ricky Taylor,ricky taylor,60,1.0,59,97.171,22.345,37.112,37.714,,GF,1,,,,,362
imsa,2025,Watkins Glen,Watkins Glen International,race,669,10,GTP,Ricky Taylor,ricky taylor,61,1.0,60,96.16,21.904,36.36,37.896,,GF,2,,,,,362
imsa,2025,Watkins Glen,Watkins Glen International,race,669,10,GTP,Ricky Taylor,ricky taylor,62,1.0,61,95.747,21.944,36.173,37.63,,GF,3,,,,,362
imsa,2025,Watkins Glen,Watkins Glen International,race,669,10,GTP,Ricky Taylor,ricky taylor,63,1.0,62,95.956,21.941,36.253,37.762,,GF,4,,,,,362
imsa,2025,Watkins Glen,Watkins Glen International,race,669,10,GTP,Ricky Taylor,ricky taylor,64,1.0,63,96.475,21.83,36.487,38.158,,GF,5,,,,,362
imsa,2025,Watkins Glen,Watkins Glen International,race,669,10,GTP,Ricky Taylor,ricky taylor,65,1.0,64,97.262,22.291,36.84,38.131,,GF,6,,,,,362
imsa,2025,Watkins Glen,Watkins Glen International,race,669,10,GTP,Ricky Taylor,ricky taylor,66,1.0,65,99.775,22.107,37.901,39.767,,GF,7,,,,,362
imsa,2025,Watkins Glen,Watkins Glen International,race,669,10,GTP,Ricky Taylor,ricky taylor,67,1.0,66,100.83,22.296,38.831,39.703,,GF,8,,,,,362
imsa,2025,Watkins Glen,Watkins Glen International,race,669,10,GTP,Ricky Taylor,ricky taylor,68,1.0,67,100.629,23.174,37.584,39.871,,FCY,9,,,,,362
imsa,2025,Watkins Glen,Watkins Glen International,race,669,10,GTP,Ricky Taylor,ricky taylor,69,1.0,68,198.194,44.172,75.811,78.211,,FCY,9,,,,,362
imsa,2025,Watkins Glen,Watkins Glen International,race,669,10,GTP,Ricky Taylor,ricky taylor,70,1.0,69,187.129,48.194,63.426,75.509,,FCY,9,,,,,362
imsa,2025,Watkins Glen,Watkins Glen International,race,669,10,GTP,Ricky Taylor,ricky taylor,71,1.0,70,192.338,48.775,71.301,72.262,,FCY,9,,,,,362
