series_code,year,event,circuit_name,session,session_id,car,class,driver_name,driver_id,lap,stint_number,stint_lap,lap_time,lap_time_s1,lap_time_s2,lap_time_s3,pit_time,flags,est_tire_age,air_temp_f,track_temp_f,humidity_percent,raining,race_duration_minutes
imsa,2026,Canadian Tire Motorsport Park,,race,677,12,GTD,Benjamin Pedersen,benjamin pedersen,1,1.0,0,103.116,46.881,37.223,19.012,,GF,0,81.8,125.78,40.0,False,161
imsa,2026,Canadian Tire Motorsport Park,,race,677,12,GTD,Benjamin Pedersen,benjamin pedersen,2,1.0,1,78.177,23.068,35.472,19.637,,GF,0,81.8,125.42,40.0,False,161
imsa,2026,Canadian Tire Motorsport Park,,race,677,12,GTD,Benjamin Pedersen,benjamin pedersen,3,1.0,2,76.949,22.97,35.241,18.738,,GF,1,81.6,125.24,41.0,False,161
imsa,2026,Canadian Tire Motorsport Park,,race,677,12,GTD,Benjamin Pedersen,benjamin pedersen,4,1.0,3,76.952,22.868,35.369,18.715,,GF,2,81.3,124.88,39.0,False,161
imsa,2026,Canadian Tire Motorsport Park,,race,677,12,GTD,Benjamin Pedersen,benjamin pedersen,5,1.0,4,77.233,22.955,35.517,18.761,,GF,3,81.3,124.88,40.0,False,161
imsa,2026,Canadian Tire Motorsport Park,,race,677,12,GTD,Benjamin Pedersen,benjamin pedersen,6,1.0,5,77.384,23.027,35.569,18.788,,GF,4,81.3,124.52,41.0,False,161
imsa,2026,Canadian Tire Motorsport Park,,race,677,12,GTD,Benjamin Pedersen,benjamin pedersen,7,1.0,6,77.723,23.005,35.722,18.996,,GF,5,81.6,124.7,40.0,False,161
imsa,2026,Canadian Tire Motorsport Park,,race,677,12,GTD,Benjamin Pedersen,benjamin pedersen,8,1.0,7,78.512,23.205,36.069,19.238,,GF,6,81.8,124.34,40.0,False,161
imsa,2026,Canadian Tire Motorsport Park,,race,677,12,GTD,Benjamin Pedersen,benjamin pedersen,9,1.0,8,78.96,23.449,36.391,19.12,,GF,7,81.8,123.98,40.0,False,161
imsa,2026,Canadian Tire Motorsport Park,,race,677,12,GTD,Benjamin Pedersen,benjamin pedersen,10,1.0,9,78.212,23.262,35.724,19.226,,GF,8,81.7,123.98,39.0,False,161
imsa,2026,Canadian Tire Motorsport Park,,race,677,12,GTD,Benjamin Pedersen,benjamin pedersen,11,1.0,10,89.342,23.398,38.199,27.745,,FCY,9,81.4,123.8,39.0,False,161
imsa,2026,Canadian Tire Motorsport Park,,race,677,12,GTD,Benjamin Pedersen,benjamin pedersen,12,1.0,11,156.252,36.212,86.91,33.13,,FCY,9,81.3,123.8,40.0,False,161
imsa,2026,Canadian Tire Motorsport Park,,race,677,12,GTD,Benjamin Pedersen,benjamin pedersen,13,1.0,12,123.766,39.488,59.968,24.31,,GF,9,81.1,123.44,41.0,False,161
imsa,2026,Canadian Tire Motorsport Park,,race,677,12,GTD,Benjamin Pedersen,benjamin pedersen,14,1.0,13,78.835,23.714,35.975,19.146,,GF,10,81.3,123.62,41.0,False,161
imsa,2026,Canadian Tire Motorsport Park,,race,677,12,GTD,Benjamin Pedersen,benjamin pedersen,15,1.0,14,78.296,23.42,35.892,18.984,,GF,11,81.4,123.26,41.0,False,161
imsa,2026,Canadian Tire Motorsport Park,,race,677,12,GTD,Benjamin Pedersen,benjamin pedersen,16,1.0,15,77.873,23.21,35.754,18.909,,GF,12,81.4,123.26,40.0,False,161
imsa,2026,Canadian Tire Motorsport Park,,race,677,12,GTD,Benjamin Pedersen,benjamin pedersen,17,1.0,16,77.975,23.232,35.791,18.952,,GF,13,81.3,123.26,41.0,False,161
imsa,2026,Canadian Tire Motorsport Park,,race,677,12,GTD,Benjamin Pedersen,benjamin pedersen,18,1.0,17,77.741,23.066,35.765,18.91,,GF,14,81.2,123.08,42.0,False,161
imsa,2026,Canadian Tire Motorsport Park,,race,677,12,GTD,Benjamin Pedersen,benjamin pedersen,19,1.0,18,77.754,23.079,35.755,18.92,,GF,15,81.3,123.08,42.0,False,161
imsa,2026,Canadian Tire Motorsport Park,,race,677,12,GTD,Benjamin Pedersen,benjamin pedersen,20,1.0,19,77.844,23.145,35.711,18.988,,GF,16,81.3,122.9,40.0,False,161
imsa,2026,Canadian Tire Motorsport Park,,race,677,12,GTD,Benjamin Pedersen,benjamin pedersen,21,1.0,20,77.994,23.195,35.791,19.008,,GF,17,81.1,122.72,40.0,False,161
imsa,2026,Canadian Tire Motorsport Park,,race,677,12,GTD,Benjamin Pedersen,benjamin pedersen,22,1.0,21,78.291,23.147,35.889,19.255,,GF,18,81.3,122.54,42.0,False,161
imsa,2026,Canadian Tire Motorsport Park,,race,677,12,GTD,Benjamin Pedersen,benjamin pedersen,23,1.0,22,78.225,23.501,35.761,18.963,,GF,19,81.4,122.36,41.0,False,161
imsa,2026,Canadian Tire Motorsport Park,,race,677,12,GTD,Benjamin Pedersen,benjamin pedersen,24,1.0,23,77.61,22.914,35.483,19.213,,GF,20,81.4,122.54,41.0,False,161
imsa,2026,Canadian Tire Motorsport Park,,race,677,12,GTD,Benjamin Pedersen,benjamin pedersen,25,1.0,24,78.121,23.511,35.634,18.976,,GF,21,81.5,122.18,40.0,False,161
imsa,2026,Canadian Tire Motorsport Park,,race,677,12,GTD,Benjamin Pedersen,benjamin pedersen,26,1.0,25,77.962,23.078,36.076,18.808,,GF,22,81.6,122.0,40.0,False,161
imsa,2026,Canadian Tire Motorsport Park,,race,677,12,GTD,Benjamin Pedersen,benjamin pedersen,27,1.0,26,77.568,23.052,35.667,18.849,,GF,23,81.5,121.82,42.0,False,161
imsa,2026,Canadian Tire Motorsport Park,,race,677,12,GTD,Benjamin Pedersen,benjamin pedersen,28,1.0,27,77.784,23.004,35.938,18.842,,GF,24,81.2,121.64,42.0,False,161
imsa,2026,Canadian Tire Motorsport Park,,race,677,12,GTD,Benjamin Pedersen,benjamin pedersen,29,1.0,28,77.693,22.972,35.827,18.894,,GF,25,81.1,121.64,42.0,False,161
imsa,2026,Canadian Tire Motorsport Park,,race,677,12,GTD,Benjamin Pedersen,benjamin pedersen,30,1.0,29,87.024,22.988,38.392,25.644,,FCY,26,81.0,121.28,42.0,False,161
imsa,2026,Canadian Tire Motorsport Park,,race,677,12,GTD,Benjamin Pedersen,benjamin pedersen,31,1.0,30,107.463,32.839,48.479,26.145,,FCY,26,81.0,121.28,42.0,False,161
imsa,2026,Canadian Tire Motorsport Park,,race,677,12,GTD,Benjamin Pedersen,benjamin pedersen,32,1.0,31,101.081,26.272,45.757,29.052,,FCY,26,81.0,121.64,43.0,False,161
imsa,2026,Canadian Tire Motorsport Park,,race,677,12,GTD,Benjamin Pedersen,benjamin pedersen,33,1.0,32,132.339,29.297,65.928,37.114,,FCY,26,81.2,122.18,42.0,False,161
imsa,2026,Canadian Tire Motorsport Park,,race,677,12,GTD,Aaron Telitz,aaron telitz,34,2.0,0,152.488,74.531,53.512,24.445,54.184,FCY,0,81.2,122.54,43.0,False,161
