series_code,year,event,circuit_name,session,session_id,car,class,driver_name,driver_id,lap,stint_number,stint_lap,lap_time,lap_time_s1,lap_time_s2,lap_time_s3,pit_time,flags,est_tire_age,air_temp_f,track_temp_f,humidity_percent,raining,race_duration_minutes
imsa,2026,Canadian Tire Motorsport Park,,race,677,1,GTDPRO,Neil Verhagen,neil verhagen,1,1.0,0,98.405,43.96,35.677,18.768,,GF,0,81.8,125.78,40.0,False,161
imsa,2026,Canadian Tire Motorsport Park,,race,677,1,GTDPRO,Neil Verhagen,neil verhagen,2,1.0,1,77.241,22.839,35.8,18.602,,GF,0,81.8,125.42,40.0,False,161
imsa,2026,Canadian Tire Motorsport Park,,race,677,1,GTDPRO,Neil Verhagen,neil verhagen,3,1.0,2,77.236,22.733,35.831,18.672,,GF,1,81.6,125.24,41.0,False,161
imsa,2026,Canadian Tire Motorsport Park,,race,677,1,GTDPRO,Neil Verhagen,neil verhagen,4,1.0,3,77.177,22.943,35.754,18.48,,GF,2,81.3,124.88,39.0,False,161
imsa,2026,Canadian Tire Motorsport Park,,race,677,1,GTDPRO,Neil Verhagen,neil verhagen,5,1.0,4,77.224,22.907,35.793,18.524,,GF,3,81.3,124.88,40.0,False,161
imsa,2026,Canadian Tire Motorsport Park,,race,677,1,GTDPRO,Neil Verhagen,neil verhagen,6,1.0,5,77.222,22.889,35.837,18.496,,GF,4,81.3,124.52,41.0,False,161
imsa,2026,Canadian Tire Motorsport Park,,race,677,1,GTDPRO,Neil Verhagen,neil verhagen,7,1.0,6,77.673,23.071,35.977,18.625,,GF,5,81.6,124.7,40.0,False,161
imsa,2026,Canadian Tire Motorsport Park,,race,677,1,GTDPRO,Neil Verhagen,neil verhagen,8,1.0,7,77.942,23.257,36.023,18.662,,GF,6,81.8,124.34,40.0,False,161
imsa,2026,Canadian Tire Motorsport Park,,race,677,1,GTDPRO,Neil Verhagen,neil verhagen,9,1.0,8,77.994,23.115,35.861,19.018,,GF,7,81.9,124.16,41.0,False,161
imsa,2026,Canadian Tire Motorsport Park,,race,677,1,GTDPRO,Neil Verhagen,neil verhagen,10,1.0,9,77.818,23.057,35.985,18.776,,GF,8,81.7,123.98,39.0,False,161
imsa,2026,Canadian Tire Motorsport Park,,race,677,1,GTDPRO,Neil Verhagen,neil verhagen,11,1.0,10,83.872,23.027,36.5,24.345,,FCY,9,81.4,123.8,39.0,False,161
imsa,2026,Canadian Tire Motorsport Park,,race,677,1,GTDPRO,Neil Verhagen,neil verhagen,12,1.0,11,156.892,33.784,89.193,33.915,,FCY,9,81.3,123.98,43.0,False,161
imsa,2026,Canadian Tire Motorsport Park,,race,677,1,GTDPRO,Neil Verhagen,neil verhagen,13,1.0,12,132.373,42.129,64.353,25.891,,GF,9,81.1,123.44,41.0,False,161
imsa,2026,Canadian Tire Motorsport Park,,race,677,1,GTDPRO,Neil Verhagen,neil verhagen,14,1.0,13,78.265,23.494,35.901,18.87,,GF,10,81.3,123.62,41.0,False,161
imsa,2026,Canadian Tire Motorsport Park,,race,677,1,GTDPRO,Neil Verhagen,neil verhagen,15,1.0,14,77.722,23.088,35.955,18.679,,GF,11,81.4,123.26,41.0,False,161
imsa,2026,Canadian Tire Motorsport Park,,race,677,1,GTDPRO,Neil Verhagen,neil verhagen,16,1.0,15,77.605,23.007,35.976,18.622,,GF,12,81.4,123.26,40.0,False,161
imsa,2026,Canadian Tire Motorsport Park,,race,677,1,GTDPRO,Neil Verhagen,neil verhagen,17,1.0,16,77.467,22.864,35.991,18.612,,GF,13,81.3,123.26,41.0,False,161
imsa,2026,Canadian Tire Motorsport Park,,race,677,1,GTDPRO,Neil Verhagen,neil verhagen,18,1.0,17,77.444,22.647,36.069,18.728,,GF,14,81.2,123.08,42.0,False,161
imsa,2026,Canadian Tire Motorsport Park,,race,677,1,GTDPRO,Neil Verhagen,neil verhagen,19,1.0,18,77.438,22.834,35.973,18.631,,GF,15,81.3,123.08,42.0,False,161
imsa,2026,Canadian Tire Motorsport Park,,race,677,1,GTDPRO,Neil Verhagen,neil verhagen,20,1.0,19,77.291,22.888,35.822,18.581,,GF,16,81.3,122.9,40.0,False,161
imsa,2026,Canadian Tire Motorsport Park,,race,677,1,GTDPRO,Neil Verhagen,neil verhagen,21,1.0,20,77.748,23.484,35.566,18.698,,GF,17,81.1,122.72,40.0,False,161
imsa,2026,Canadian Tire Motorsport Park,,race,677,1,GTDPRO,Neil Verhagen,neil verhagen,22,1.0,21,77.44,23.005,35.711,18.724,,GF,18,81.1,122.36,40.0,False,161
imsa,2026,Canadian Tire Motorsport Park,,race,677,1,GTDPRO,Neil Verhagen,neil verhagen,23,1.0,22,77.168,22.965,35.576,18.627,,GF,19,81.4,122.36,41.0,False,161
imsa,2026,Canadian Tire Motorsport Park,,race,677,1,GTDPRO,Neil Verhagen,neil verhagen,24,1.0,23,77.848,23.109,35.953,18.786,,GF,20,81.4,122.54,41.0,False,161
imsa,2026,Canadian Tire Motorsport Park,,race,677,1,GTDPRO,Neil Verhagen,neil verhagen,25,1.0,24,77.918,23.246,35.875,18.797,,GF,21,81.5,122.18,40.0,False,161
imsa,2026,Canadian Tire Motorsport Park,,race,677,1,GTDPRO,Neil Verhagen,neil verhagen,26,1.0,25,77.588,22.973,35.826,18.789,,GF,22,81.6,122.0,40.0,False,161
imsa,2026,Canadian Tire Motorsport Park,,race,677,1,GTDPRO,Neil Verhagen,neil verhagen,27,1.0,26,77.885,23.002,35.796,19.087,,GF,23,81.5,121.82,42.0,False,161
imsa,2026,Canadian Tire Motorsport Park,,race,677,1,GTDPRO,Neil Verhagen,neil verhagen,28,1.0,27,77.508,23.159,35.698,18.651,,GF,24,81.2,121.64,42.0,False,161
imsa,2026,Canadian Tire Motorsport Park,,race,677,1,GTDPRO,Neil Verhagen,neil verhagen,29,1.0,28,77.873,23.217,35.87,18.786,,GF,25,81.1,121.64,42.0,False,161
imsa,2026,Canadian Tire Motorsport Park,,race,677,1,GTDPRO,Neil Verhagen,neil verhagen,30,1.0,29,89.443,23.033,39.926,26.484,,FCY,26,81.0,121.28,42.0,False,161
imsa,2026,Canadian Tire Motorsport Park,,race,677,1,GTDPRO,Neil Verhagen,neil verhagen,31,1.0,30,98.018,29.586,44.756,23.676,,FCY,26,81.0,121.28,42.0,False,161
imsa,2026,Canadian Tire Motorsport Park,,race,677,1,GTDPRO,Neil Verhagen,neil verhagen,32,1.0,31,111.21,25.944,56.515,28.751,,FCY,26,81.0,121.64,43.0,False,161
imsa,2026,Canadian Tire Motorsport Park,,race,677,1,GTDPRO,Neil Verhagen,neil verhagen,33,1.0,32,134.964,29.89,68.245,36.829,,FCY,26,81.2,122.18,42.0,False,161
imsa,2026,Canadian Tire Motorsport Park,,race,677,1,GTDPRO,Connor de Phillippi,connor de phillippi,34,2.0,0,142.101,67.403,49.976,24.722,49.779,FCY,0,81.2,122.54,43.0,False,161
imsa,2026,Canadian Tire Motorsport Park,,race,677,1,GTDPRO,Connor de Phillippi,connor de phillippi,35,2.0,1,153.111,45.08,78.636,29.395,,GF,0,81.5,122.72,43.0,False,161
imsa,2026,Canadian Tire Motorsport Park,,race,677,1,GTDPRO,Connor de Phillippi,connor de phillippi,36,2.0,2,78.57,23.853,35.711,19.006,,GF,1,81.5,122.72,43.0,False,161
imsa,2026,Canadian Tire Motorsport Park,,race,677,1,GTDPRO,Connor de Phillippi,connor de phillippi,37,2.0,3,77.916,23.464,35.594,18.858,,GF,2,81.5,122.54,43.0,False,161
imsa,2026,Canadian Tire Motorsport Park,,race,677,1,GTDPRO,Connor de Phillippi,connor de phillippi,38,2.0,4,78.195,23.442,35.597,19.156,,GF,3,81.5,122.36,43.0,False,161
imsa,2026,Canadian Tire Motorsport Park,,race,677,1,GTDPRO,Connor de Phillippi,connor de phillippi,39,2.0,5,77.629,23.303,35.477,18.849,,GF,4,81.3,122.18,43.0,False,161
