series_code,year,event,circuit_name,session,session_id,car,class,driver_name,driver_id,lap,stint_number,stint_lap,lap_time,lap_time_s1,lap_time_s2,lap_time_s3,pit_time,flags,est_tire_age,air_temp_f,track_temp_f,humidity_percent,raining,race_duration_minutes
imsa,2026,Detroit,Chevrolet Detroit Grand Prix,race,687,1,GTDPRO,Neil Verhagen,neil verhagen,1,1.0,0,97.624,42.96,25.407,29.257,,GF,0,69.0,100.04,41.0,False,102
imsa,2026,Detroit,Chevrolet Detroit Grand Prix,race,687,1,GTDPRO,Neil Verhagen,neil verhagen,2,1.0,1,73.552,21.419,24.528,27.605,,GF,0,68.8,100.04,43.0,False,102
imsa,2026,Detroit,Chevrolet Detroit Grand Prix,race,687,1,GTDPRO,Neil Verhagen,neil verhagen,3,1.0,2,85.664,20.92,26.094,38.65,,FCY,1,68.8,99.68,43.0,False,102
imsa,2026,Detroit,Chevrolet Detroit Grand Prix,race,687,1,GTDPRO,Neil Verhagen,neil verhagen,4,1.0,3,112.722,28.203,42.161,42.358,,FCY,1,68.6,99.68,43.0,False,102
imsa,2026,Detroit,Chevrolet Detroit Grand Prix,race,687,1,GTDPRO,Neil Verhagen,neil verhagen,5,1.0,4,117.461,38.977,41.576,36.908,,FCY,1,68.6,99.68,43.0,False,102
imsa,2026,Detroit,Chevrolet Detroit Grand Prix,race,687,1,GTDPRO,Neil Verhagen,neil verhagen,6,1.0,5,107.272,41.271,35.598,30.403,,GF,1,68.7,99.68,43.0,False,102
imsa,2026,Detroit,Chevrolet Detroit Grand Prix,race,687,1,GTDPRO,Neil Verhagen,neil verhagen,7,1.0,6,74.354,21.455,24.43,28.469,,GF,2,68.8,99.68,43.0,False,102
imsa,2026,Detroit,Chevrolet Detroit Grand Prix,race,687,1,GTDPRO,Neil Verhagen,neil verhagen,8,1.0,7,73.184,21.204,24.277,27.703,,GF,3,68.9,99.68,43.0,False,102
imsa,2026,Detroit,Chevrolet Detroit Grand Prix,race,687,1,GTDPRO,Neil Verhagen,neil verhagen,9,1.0,8,72.651,20.809,24.182,27.66,,GF,4,68.9,99.5,43.0,False,102
imsa,2026,Detroit,Chevrolet Detroit Grand Prix,race,687,1,GTDPRO,Neil Verhagen,neil verhagen,10,1.0,9,72.205,20.909,23.96,27.336,,GF,5,69.2,99.5,43.0,False,102
imsa,2026,Detroit,Chevrolet Detroit Grand Prix,race,687,1,GTDPRO,Neil Verhagen,neil verhagen,11,1.0,10,71.923,20.71,23.932,27.281,,GF,6,69.2,99.5,43.0,False,102
imsa,2026,Detroit,Chevrolet Detroit Grand Prix,race,687,1,GTDPRO,Neil Verhagen,neil verhagen,12,1.0,11,72.134,20.881,24.001,27.252,,GF,7,69.2,99.5,43.0,False,102
imsa,2026,Detroit,Chevrolet Detroit Grand Prix,race,687,1,GTDPRO,Neil Verhagen,neil verhagen,13,1.0,12,71.685,20.86,23.803,27.022,,GF,8,69.2,99.5,41.0,False,102
imsa,2026,Detroit,Chevrolet Detroit Grand Prix,race,687,1,GTDPRO,Neil Verhagen,neil verhagen,14,1.0,13,71.407,20.682,23.773,26.952,,GF,9,69.1,99.5,41.0,False,102
imsa,2026,Detroit,Chevrolet Detroit Grand Prix,race,687,1,GTDPRO,Neil Verhagen,neil verhagen,15,1.0,14,71.041,20.818,23.49,26.733,,GF,10,69.3,99.5,41.0,False,102
imsa,2026,Detroit,Chevrolet Detroit Grand Prix,race,687,1,GTDPRO,Neil Verhagen,neil verhagen,16,1.0,15,71.043,20.581,23.633,26.829,,GF,11,69.3,99.32,43.0,False,102
imsa,2026,Detroit,Chevrolet Detroit Grand Prix,race,687,1,GTDPRO,Neil Verhagen,neil verhagen,17,1.0,16,71.387,20.859,23.566,26.962,,GF,12,69.4,99.14,43.0,False,102
imsa,2026,Detroit,Chevrolet Detroit Grand Prix,race,687,1,GTDPRO,Neil Verhagen,neil verhagen,18,1.0,17,92.253,20.668,24.605,46.98,,GF,13,69.5,99.14,43.0,False,102
imsa,2026,Detroit,Chevrolet Detroit Grand Prix,race,687,1,GTDPRO,Connor de Phillippi,connor de phillippi,19,2.0,0,78.618,27.716,23.931,26.971,32.751,GF,0,69.4,99.14,44.0,False,102
imsa,2026,Detroit,Chevrolet Detroit Grand Prix,race,687,1,GTDPRO,Connor de Phillippi,connor de phillippi,20,2.0,1,71.72,20.739,24.038,26.943,,GF,0,69.1,99.32,42.0,False,102
imsa,2026,Detroit,Chevrolet Detroit Grand Prix,race,687,1,GTDPRO,Connor de Phillippi,connor de phillippi,21,2.0,2,71.127,20.591,23.728,26.808,,GF,1,69.1,99.14,42.0,False,102
imsa,2026,Detroit,Chevrolet Detroit Grand Prix,race,687,1,GTDPRO,Connor de Phillippi,connor de phillippi,22,2.0,3,71.425,20.594,23.791,27.04,,GF,2,69.2,99.14,42.0,False,102
imsa,2026,Detroit,Chevrolet Detroit Grand Prix,race,687,1,GTDPRO,Connor de Phillippi,connor de phillippi,23,2.0,4,71.492,20.63,23.958,26.904,,GF,3,69.3,99.14,42.0,False,102
imsa,2026,Detroit,Chevrolet Detroit Grand Prix,race,687,1,GTDPRO,Connor de Phillippi,connor de phillippi,24,2.0,5,71.744,20.86,24.114,26.77,,GF,4,69.1,99.14,42.0,False,102
imsa,2026,Detroit,Chevrolet Detroit Grand Prix,race,687,1,GTDPRO,Connor de Phillippi,connor de phillippi,25,2.0,6,71.31,20.743,23.763,26.804,,GF,5,69.0,99.14,43.0,False,102
imsa,2026,Detroit,Chevrolet Detroit Grand Prix,race,687,1,GTDPRO,Connor de Phillippi,connor de phillippi,26,2.0,7,71.393,20.712,23.964,26.717,,GF,6,68.9,99.14,43.0,False,102
imsa,2026,Detroit,Chevrolet Detroit Grand Prix,race,687,1,GTDPRO,Connor de Phillippi,connor de phillippi,27,2.0,8,71.567,20.678,23.974,26.915,,GF,7,68.8,99.14,45.0,False,102
imsa,2026,Detroit,Chevrolet Detroit Grand Prix,race,687,1,GTDPRO,Connor de Phillippi,connor de phillippi,28,2.0,9,72.376,20.701,23.868,27.807,,GF,8,68.6,98.96,45.0,False,102
