series_code,year,event,circuit_name,session,session_id,car,class,driver_name,driver_id,lap,stint_number,stint_lap,lap_time,lap_time_s1,lap_time_s2,lap_time_s3,pit_time,flags,est_tire_age,air_temp_f,track_temp_f,humidity_percent,raining,race_duration_minutes
imsa,2026,Laguna Seca,WeatherTech Raceway Laguna Seca,race,704,10,GTP,Filipe Albuquerque,filipe albuquerque,1,1.0,0,82.895,32.207,33.545,17.143,,GF,0,59.9,85.64,66.0,False,162
imsa,2026,Laguna Seca,WeatherTech Raceway Laguna Seca,race,704,10,GTP,Filipe Albuquerque,filipe albuquerque,2,1.0,1,77.332,28.277,32.267,16.788,,GF,0,59.9,86.0,64.0,False,162
imsa,2026,Laguna Seca,WeatherTech Raceway Laguna Seca,race,704,10,GTP,Filipe Albuquerque,filipe albuquerque,3,1.0,2,76.621,27.951,31.935,16.735,,GF,1,59.9,86.0,64.0,False,162
imsa,2026,Laguna Seca,WeatherTech Raceway Laguna Seca,race,704,10,GTP,Filipe Albuquerque,filipe albuquerque,4,1.0,3,75.997,27.727,31.622,16.648,,GF,2,60.0,86.18,64.0,False,162
imsa,2026,Laguna Seca,WeatherTech Raceway Laguna Seca,race,704,10,GTP,Filipe Albuquerque,filipe albuquerque,5,1.0,4,76.126,27.747,31.689,16.69,,GF,3,59.9,86.18,64.0,False,162
imsa,2026,Laguna Seca,WeatherTech Raceway Laguna Seca,race,704,10,GTP,Filipe Albuquerque,filipe albuquerque,6,1.0,5,76.877,28.26,31.923,16.694,,GF,4,59.8,86.18,65.0,False,162
imsa,2026,Laguna Seca,WeatherTech Raceway Laguna Seca,race,704,10,GTP,Filipe Albuquerque,filipe albuquerque,7,1.0,6,76.263,27.625,31.777,16.861,,GF,5,59.9,86.18,65.0,False,162
imsa,2026,Laguna Seca,WeatherTech Raceway Laguna Seca,race,704,10,GTP,Filipe Albuquerque,filipe albuquerque,8,1.0,7,77.489,27.814,32.546,17.129,,GF,6,59.9,86.54,65.0,False,162
imsa,2026,Laguna Seca,WeatherTech Raceway Laguna Seca,race,704,10,GTP,Filipe Albuquerque,filipe albuquerque,9,1.0,8,138.827,32.529,48.285,58.013,,GF,7,60.2,87.08,64.0,False,162
imsa,2026,Laguna Seca,WeatherTech Raceway Laguna Seca,race,704,10,GTP,Filipe Albuquerque,filipe albuquerque,10,1.0,9,784.67,42.084,53.388,689.198,40.783,GF,8,61.2,90.68,61.0,False,162
imsa,2026,Laguna Seca,WeatherTech Raceway Laguna Seca,race,704,10,GTP,Filipe Albuquerque,filipe albuquerque,11,1.0,10,90.217,38.69,34.468,17.059,677.384,GF,8,61.3,90.5,61.0,False,162
imsa,2026,Laguna Seca,WeatherTech Raceway Laguna Seca,race,704,10,GTP,Filipe Albuquerque,filipe albuquerque,12,1.0,11,81.127,29.328,33.767,18.032,,GF,8,61.3,90.32,61.0,False,162
imsa,2026,Laguna Seca,WeatherTech Raceway Laguna Seca,race,704,10,GTP,Filipe Albuquerque,filipe albuquerque,13,1.0,12,79.296,28.652,33.29,17.354,,GF,9,61.4,90.32,61.0,False,162
imsa,2026,Laguna Seca,WeatherTech Raceway Laguna Seca,race,704,10,GTP,Filipe Albuquerque,filipe albuquerque,14,1.0,13,79.939,28.48,33.698,17.761,,GF,10,61.5,90.32,61.0,False,162
imsa,2026,Laguna Seca,WeatherTech Raceway Laguna Seca,race,704,10,GTP,Filipe Albuquerque,filipe albuquerque,15,1.0,14,79.926,29.074,33.345,17.507,,GF,11,61.5,90.14,60.0,False,162
imsa,2026,Laguna Seca,WeatherTech Raceway Laguna Seca,race,704,10,GTP,Filipe Albuquerque,filipe albuquerque,16,1.0,15,77.929,28.448,32.462,17.019,,GF,12,61.6,89.96,61.0,False,162
imsa,2026,Laguna Seca,WeatherTech Raceway Laguna Seca,race,704,10,GTP,Filipe Albuquerque,filipe albuquerque,17,1.0,16,76.753,27.824,32.02,16.909,,GF,13,61.6,89.78,61.0,False,162
imsa,2026,Laguna Seca,WeatherTech Raceway Laguna Seca,race,704,10,GTP,Filipe Albuquerque,filipe albuquerque,18,1.0,17,76.784,27.857,31.839,17.088,,GF,14,61.5,89.6,61.0,False,162
imsa,2026,Laguna Seca,WeatherTech Raceway Laguna Seca,race,704,10,GTP,Filipe Albuquerque,filipe albuquerque,19,1.0,18,76.399,27.754,31.716,16.929,,GF,15,61.4,90.86,61.0,False,162
imsa,2026,Laguna Seca,WeatherTech Raceway Laguna Seca,race,704,10,GTP,Filipe Albuquerque,filipe albuquerque,20,1.0,19,78.963,28.309,32.939,17.715,,GF,16,61.4,92.12,61.0,False,162
imsa,2026,Laguna Seca,WeatherTech Raceway Laguna Seca,race,704,10,GTP,Filipe Albuquerque,filipe albuquerque,21,1.0,20,77.034,27.867,32.0,17.167,,GF,17,61.3,92.84,62.0,False,162
imsa,2026,Laguna Seca,WeatherTech Raceway Laguna Seca,race,704,10,GTP,Filipe Albuquerque,filipe albuquerque,22,1.0,21,77.188,28.15,32.196,16.842,,GF,18,61.5,93.74,63.0,False,162
imsa,2026,Laguna Seca,WeatherTech Raceway Laguna Seca,race,704,10,GTP,Filipe Albuquerque,filipe albuquerque,23,1.0,22,77.446,28.39,32.118,16.938,,GF,19,61.6,93.56,61.0,False,162
imsa,2026,Laguna Seca,WeatherTech Raceway Laguna Seca,race,704,10,GTP,Filipe Albuquerque,filipe albuquerque,24,1.0,23,78.015,27.833,32.872,17.31,,GF,20,61.7,93.38,61.0,False,162
imsa,2026,Laguna Seca,WeatherTech Raceway Laguna Seca,race,704,10,GTP,Filipe Albuquerque,filipe albuquerque,25,1.0,24,76.776,27.907,32.098,16.771,,GF,21,61.7,92.84,60.0,False,162
imsa,2026,Laguna Seca,WeatherTech Raceway Laguna Seca,race,704,23,GTP,Ross Gunn,ross gunn,1,1.0,0,81.64,31.409,33.239,16.992,,GF,0,59.9,85.64,66.0,False,162
imsa,2026,Laguna Seca,WeatherTech Raceway Laguna Seca,race,704,23,GTP,Ross Gunn,ross gunn,2,1.0,1,76.757,27.908,32.158,16.691,,GF,0,59.9,85.64,66.0,False,162
imsa,2026,Laguna Seca,WeatherTech Raceway Laguna Seca,race,704,23,GTP,Ross Gunn,ross gunn,3,1.0,2,76.152,27.665,31.792,16.695,,GF,1,59.9,86.0,64.0,False,162
imsa,2026,Laguna Seca,WeatherTech Raceway Laguna Seca,race,704,23,GTP,Ross Gunn,ross gunn,4,1.0,3,75.829,27.576,31.64,16.613,,GF,2,60.0,86.18,64.0,False,162
imsa,2026,Laguna Seca,WeatherTech Raceway Laguna Seca,race,704,23,GTP,Ross Gunn,ross gunn,5,1.0,4,75.716,27.663,31.475,16.578,,GF,3,59.9,86.18,64.0,False,162
