Driver,DriverNumber,Team,LapNumber,Stint,Compound,TyreLife,FreshTyre,Position,TrackStatus,lap_time_s,time_s,lap_start_time_s,air_temp_c,track_temp_c,humidity_pct,rainfall,is_in_lap,is_out_lap,is_missing_laptime,is_inaccurate,is_wet_compound,is_non_green,is_unknown_status,is_deleted,is_pace_lap,stint_crosses_red_flag
VER,1,Red Bull Racing,1.0,1.0,MEDIUM,1.0,True,1.0,124,120.179,3904.229,3783.844,27.0,43.9,42.0,False,False,False,False,True,False,True,False,False,False,False
VER,1,Red Bull Racing,2.0,1.0,MEDIUM,2.0,True,1.0,4,,4068.591,3904.229,27.1,43.6,41.0,False,False,False,True,True,False,True,False,False,False,False
VER,1,Red Bull Racing,3.0,1.0,MEDIUM,3.0,True,1.0,4,,4233.919,4068.591,27.2,43.7,42.0,False,False,False,True,True,False,True,False,False,False,False
VER,1,Red Bull Racing,4.0,1.0,MEDIUM,4.0,True,1.0,41,,4409.577,4233.919,27.1,43.0,43.0,False,False,False,True,True,False,True,False,False,False,False
VER,1,Red Bull Racing,5.0,1.0,MEDIUM,5.0,True,1.0,1,96.748,4506.325,4409.577,27.2,42.6,43.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,6.0,1.0,MEDIUM,6.0,True,1.0,1,97.837,4604.162,4506.325,27.1,42.4,43.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,7.0,1.0,MEDIUM,7.0,True,1.0,1,98.033,4702.195,4604.162,27.1,42.8,42.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,8.0,1.0,MEDIUM,8.0,True,1.0,1,98.148,4800.343,4702.195,27.2,43.1,41.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,9.0,1.0,MEDIUM,9.0,True,1.0,1,98.241,4898.584,4800.343,27.1,42.9,41.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,10.0,1.0,MEDIUM,10.0,True,1.0,1,98.301,4996.885,4898.584,27.1,43.5,40.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,11.0,1.0,MEDIUM,11.0,True,1.0,1,98.519,5095.404,4996.885,27.2,43.3,41.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,12.0,1.0,MEDIUM,12.0,True,1.0,12,98.651,5194.055,5095.404,27.3,43.4,41.0,False,False,False,False,False,False,True,False,False,False,False
VER,1,Red Bull Racing,13.0,1.0,MEDIUM,13.0,True,1.0,1,98.689,5292.744,5194.055,27.3,43.4,41.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,14.0,1.0,MEDIUM,14.0,True,1.0,167,119.754,5412.498,5292.744,27.3,43.2,41.0,False,False,False,False,True,False,True,False,False,False,False
VER,1,Red Bull Racing,15.0,1.0,MEDIUM,15.0,True,1.0,1,98.373,5510.871,5412.498,27.2,43.0,40.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,16.0,1.0,MEDIUM,16.0,True,1.0,1,101.172,5612.043,5510.871,27.3,43.1,40.0,False,True,False,False,True,False,False,False,False,False,False
VER,1,Red Bull Racing,17.0,2.0,MEDIUM,1.0,True,5.0,1,118.025,5730.068,5612.043,27.3,43.2,41.0,False,False,True,False,True,False,False,False,False,False,False
VER,1,Red Bull Racing,18.0,2.0,MEDIUM,2.0,True,3.0,1,97.399,5827.467,5730.068,27.3,42.8,42.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,19.0,2.0,MEDIUM,3.0,True,1.0,1,97.769,5925.236,5827.467,27.3,42.5,43.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,20.0,2.0,MEDIUM,4.0,True,1.0,1,97.344,6022.58,5925.236,27.3,42.3,42.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,21.0,2.0,MEDIUM,5.0,True,1.0,1,97.565,6120.145,6022.58,27.3,42.7,43.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,22.0,2.0,MEDIUM,6.0,True,1.0,1,97.592,6217.737,6120.145,27.3,40.7,42.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,23.0,2.0,MEDIUM,7.0,True,1.0,1,97.722,6315.459,6217.737,27.3,40.5,41.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,24.0,2.0,MEDIUM,8.0,True,1.0,1,97.714,6413.173,6315.459,27.4,40.2,39.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,25.0,2.0,MEDIUM,9.0,True,1.0,1,97.946,6511.119,6413.173,27.4,39.6,39.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,26.0,2.0,MEDIUM,10.0,True,1.0,1,97.903,6609.022,6511.119,27.4,39.2,40.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,27.0,2.0,MEDIUM,11.0,True,1.0,1,97.865,6706.887,6609.022,27.4,39.1,41.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,28.0,2.0,MEDIUM,12.0,True,1.0,1,97.558,6804.445,6706.887,27.4,38.2,42.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,29.0,2.0,MEDIUM,13.0,True,1.0,1,97.424,6901.869,6804.445,27.4,38.2,42.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,30.0,2.0,MEDIUM,14.0,True,1.0,1,97.599,6999.468,6901.869,27.4,38.4,40.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,31.0,2.0,MEDIUM,15.0,True,1.0,1,97.599,7097.067,6999.468,27.4,38.4,40.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,32.0,2.0,MEDIUM,16.0,True,1.0,1,97.92,7194.987,7097.067,27.4,38.3,42.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,33.0,2.0,MEDIUM,17.0,True,1.0,1,97.655,7292.642,7194.987,27.4,37.9,41.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,34.0,2.0,MEDIUM,18.0,True,1.0,1,97.733,7390.375,7292.642,27.3,37.8,41.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,35.0,2.0,MEDIUM,19.0,True,1.0,1,97.788,7488.163,7390.375,27.2,37.7,41.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,36.0,2.0,MEDIUM,20.0,True,1.0,1,97.82,7585.983,7488.163,27.3,37.4,42.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,37.0,2.0,MEDIUM,21.0,True,1.0,1,100.264,7686.247,7585.983,27.3,37.4,42.0,False,True,False,False,True,False,False,False,False,False,False
