series_code,year,event,circuit_name,session,session_id,car,class,driver_name,driver_id,lap,stint_number,stint_lap,lap_time,lap_time_s1,lap_time_s2,lap_time_s3,pit_time,flags,est_tire_age,air_temp_f,track_temp_f,humidity_percent,raining,race_duration_minutes
wec,2022,Monza,Autodromo Nazionale Monza,race,745,36,HYPERCAR,Matthieu Vaxiviere,matthieu vaxiviere,1,1.0,0,99.199,31.885,34.097,33.217,,GF,0,,46.5,25.0,False,362
wec,2022,Monza,Autodromo Nazionale Monza,race,745,36,HYPERCAR,Matthieu Vaxiviere,matthieu vaxiviere,2,1.0,1,97.88,31.451,33.228,33.201,,GF,0,,47.1,24.0,False,362
wec,2022,Monza,Autodromo Nazionale Monza,race,745,36,HYPERCAR,Matthieu Vaxiviere,matthieu vaxiviere,3,1.0,2,98.624,31.589,34.011,33.024,,GF,1,,47.3,24.0,False,362
wec,2022,Monza,Autodromo Nazionale Monza,race,745,36,HYPERCAR,Matthieu Vaxiviere,matthieu vaxiviere,4,1.0,3,98.067,31.682,33.41,32.975,,GF,2,,47.5,24.0,False,362
wec,2022,Monza,Autodromo Nazionale Monza,race,745,36,HYPERCAR,Matthieu Vaxiviere,matthieu vaxiviere,5,1.0,4,98.351,31.847,33.596,32.908,,GF,3,,47.4,23.0,False,362
wec,2022,Monza,Autodromo Nazionale Monza,race,745,36,HYPERCAR,Matthieu Vaxiviere,matthieu vaxiviere,6,1.0,5,97.909,31.484,33.415,33.01,,GF,4,,47.3,23.0,False,362
wec,2022,Monza,Autodromo Nazionale Monza,race,745,36,HYPERCAR,Matthieu Vaxiviere,matthieu vaxiviere,7,1.0,6,98.946,31.507,33.471,33.968,,GF,5,,47.7,23.0,False,362
wec,2022,Monza,Autodromo Nazionale Monza,race,745,36,HYPERCAR,Matthieu Vaxiviere,matthieu vaxiviere,8,1.0,7,189.836,31.473,64.931,93.432,,FCY,6,,47.9,24.0,False,362
wec,2022,Monza,Autodromo Nazionale Monza,race,745,36,HYPERCAR,Matthieu Vaxiviere,matthieu vaxiviere,9,1.0,8,263.476,87.231,82.62,93.625,,FCY,6,,47.4,24.0,False,362
wec,2022,Monza,Autodromo Nazionale Monza,race,745,36,HYPERCAR,Matthieu Vaxiviere,matthieu vaxiviere,10,1.0,9,198.102,87.351,75.11,35.641,,GF,6,,47.7,24.0,False,362
wec,2022,Monza,Autodromo Nazionale Monza,race,745,36,HYPERCAR,Matthieu Vaxiviere,matthieu vaxiviere,11,1.0,10,100.022,32.413,33.899,33.71,,GF,7,,48.4,24.0,False,362
wec,2022,Monza,Autodromo Nazionale Monza,race,745,36,HYPERCAR,Matthieu Vaxiviere,matthieu vaxiviere,12,1.0,11,104.491,31.628,34.067,38.796,,FCY,8,,48.3,24.0,False,362
wec,2022,Monza,Autodromo Nazionale Monza,race,745,36,HYPERCAR,Matthieu Vaxiviere,matthieu vaxiviere,13,1.0,12,263.574,86.571,82.108,94.895,,FCY,8,,48.5,23.0,False,362
wec,2022,Monza,Autodromo Nazionale Monza,race,745,36,HYPERCAR,Matthieu Vaxiviere,matthieu vaxiviere,14,1.0,13,287.788,113.017,82.695,92.076,45.422,GF,0,,49.1,24.0,False,362
wec,2022,Monza,Autodromo Nazionale Monza,race,745,36,HYPERCAR,Matthieu Vaxiviere,matthieu vaxiviere,15,1.0,14,104.457,35.294,35.225,33.938,,GF,0,,49.1,23.0,False,362
wec,2022,Monza,Autodromo Nazionale Monza,race,745,36,HYPERCAR,Matthieu Vaxiviere,matthieu vaxiviere,16,1.0,15,99.742,31.693,33.707,34.342,,GF,1,,49.8,23.0,False,362
wec,2022,Monza,Autodromo Nazionale Monza,race,745,36,HYPERCAR,Matthieu Vaxiviere,matthieu vaxiviere,17,1.0,16,98.223,31.65,33.531,33.042,,GF,2,,50.1,23.0,False,362
wec,2022,Monza,Autodromo Nazionale Monza,race,745,36,HYPERCAR,Matthieu Vaxiviere,matthieu vaxiviere,18,1.0,17,98.196,31.468,33.617,33.111,,GF,3,,50.1,22.0,False,362
wec,2022,Monza,Autodromo Nazionale Monza,race,745,36,HYPERCAR,Matthieu Vaxiviere,matthieu vaxiviere,19,1.0,18,100.189,31.795,34.991,33.403,,GF,4,,49.6,23.0,False,362
wec,2022,Monza,Autodromo Nazionale Monza,race,745,36,HYPERCAR,Matthieu Vaxiviere,matthieu vaxiviere,20,1.0,19,98.21,31.515,33.573,33.122,,GF,5,,49.6,23.0,False,362
wec,2022,Monza,Autodromo Nazionale Monza,race,745,36,HYPERCAR,Matthieu Vaxiviere,matthieu vaxiviere,21,1.0,20,99.836,31.491,34.529,33.816,,GF,6,,49.8,22.0,False,362
