series_code,year,event,circuit_name,session,session_id,car,class,driver_name,driver_id,lap,stint_number,stint_lap,lap_time,lap_time_s1,lap_time_s2,lap_time_s3,pit_time,flags,est_tire_age,air_temp_f,track_temp_f,humidity_percent,raining,race_duration_minutes
wec,2022,Sebring,Sebring International Raceway,race,776,36,HYPERCAR,Matthieu Vaxiviere,matthieu vaxiviere,1,1.0,0,114.835,36.389,39.265,39.181,,GF,0,79.88,98.42,59.0,False,440
wec,2022,Sebring,Sebring International Raceway,race,776,36,HYPERCAR,Matthieu Vaxiviere,matthieu vaxiviere,2,1.0,1,109.849,32.676,38.61,38.563,,GF,0,79.88,98.6,59.0,False,440
wec,2022,Sebring,Sebring International Raceway,race,776,36,HYPERCAR,Matthieu Vaxiviere,matthieu vaxiviere,3,1.0,2,109.484,32.492,38.51,38.482,,GF,1,80.6,99.14,59.0,False,440
wec,2022,Sebring,Sebring International Raceway,race,776,36,HYPERCAR,Matthieu Vaxiviere,matthieu vaxiviere,4,1.0,3,109.033,32.451,38.44,38.142,,GF,2,80.78,99.86,57.0,False,440
wec,2022,Sebring,Sebring International Raceway,race,776,36,HYPERCAR,Matthieu Vaxiviere,matthieu vaxiviere,5,1.0,4,109.168,32.51,38.432,38.226,,GF,3,80.6,100.58,58.0,False,440
wec,2022,Sebring,Sebring International Raceway,race,776,36,HYPERCAR,Matthieu Vaxiviere,matthieu vaxiviere,6,1.0,5,109.515,32.479,38.648,38.388,,GF,4,80.78,100.04,57.0,False,440
wec,2022,Sebring,Sebring International Raceway,race,776,36,HYPERCAR,Matthieu Vaxiviere,matthieu vaxiviere,7,1.0,6,109.651,32.601,38.457,38.593,,GF,5,80.96,101.3,55.0,False,440
wec,2022,Sebring,Sebring International Raceway,race,776,36,HYPERCAR,Matthieu Vaxiviere,matthieu vaxiviere,8,1.0,7,112.275,34.717,38.824,38.734,,GF,6,80.6,100.76,56.0,False,440
wec,2022,Sebring,Sebring International Raceway,race,776,36,HYPERCAR,Matthieu Vaxiviere,matthieu vaxiviere,9,1.0,8,110.497,32.822,38.809,38.866,,GF,7,81.14,100.76,56.0,False,440
wec,2022,Sebring,Sebring International Raceway,race,776,36,HYPERCAR,Matthieu Vaxiviere,matthieu vaxiviere,10,1.0,9,112.276,34.266,38.728,39.282,,GF,8,81.32,101.84,54.0,False,440
