series_code,year,event,circuit_name,session,session_id,car,class,driver_name,driver_id,lap,stint_number,stint_lap,lap_time,lap_time_s1,lap_time_s2,lap_time_s3,pit_time,flags,est_tire_age,air_temp_f,track_temp_f,humidity_percent,raining,race_duration_minutes
wec,2024,COTA,Circuit of the Americas,race,847,12,HYPERCAR,Will Stevens,will stevens,1,1.0,0,120.018,25.561,45.983,48.474,,GF,0,89.78,116.42,59.0,False,362
wec,2024,COTA,Circuit of the Americas,race,847,12,HYPERCAR,Will Stevens,will stevens,2,1.0,1,116.772,25.014,44.219,47.539,,GF,0,89.78,116.06,59.0,False,362
wec,2024,COTA,Circuit of the Americas,race,847,12,HYPERCAR,Will Stevens,will stevens,3,1.0,2,115.113,24.545,43.657,46.911,,GF,1,89.78,114.08,60.0,False,362
wec,2024,COTA,Circuit of the Americas,race,847,12,HYPERCAR,Will Stevens,will stevens,4,1.0,3,114.921,24.432,43.477,47.012,,GF,2,89.24,112.82,60.0,False,362
wec,2024,COTA,Circuit of the Americas,race,847,12,HYPERCAR,Will Stevens,will stevens,5,1.0,4,115.008,24.427,43.382,47.199,,GF,3,89.06,112.46,61.0,False,362
wec,2024,COTA,Circuit of the Americas,race,847,12,HYPERCAR,Will Stevens,will stevens,6,1.0,5,114.273,24.359,43.337,46.577,,GF,4,88.88,112.64,61.0,False,362
wec,2024,COTA,Circuit of the Americas,race,847,12,HYPERCAR,Will Stevens,will stevens,7,1.0,6,114.046,24.106,43.194,46.746,,GF,5,89.06,114.08,61.0,False,362
wec,2024,COTA,Circuit of the Americas,race,847,12,HYPERCAR,Will Stevens,will stevens,8,1.0,7,114.603,24.181,43.341,47.081,,GF,6,89.6,115.88,60.0,False,362
wec,2024,COTA,Circuit of the Americas,race,847,12,HYPERCAR,Will Stevens,will stevens,9,1.0,8,117.065,24.687,44.011,48.367,,GF,7,89.96,116.6,60.0,False,362
wec,2024,COTA,Circuit of the Americas,race,847,12,HYPERCAR,Will Stevens,will stevens,10,1.0,9,117.97,24.823,44.811,48.336,,GF,8,89.78,117.14,60.0,False,362
wec,2024,COTA,Circuit of the Americas,race,847,12,HYPERCAR,Will Stevens,will stevens,11,1.0,10,114.372,24.341,43.266,46.765,,GF,9,89.6,116.6,59.0,False,362
wec,2024,COTA,Circuit of the Americas,race,847,12,HYPERCAR,Will Stevens,will stevens,12,1.0,11,114.084,24.229,43.14,46.715,,GF,10,89.6,114.8,59.0,False,362
wec,2024,COTA,Circuit of the Americas,race,847,12,HYPERCAR,Will Stevens,will stevens,13,1.0,12,114.415,24.098,43.051,47.266,,GF,11,89.6,114.8,59.0,False,362
wec,2024,COTA,Circuit of the Americas,race,847,12,HYPERCAR,Will Stevens,will stevens,14,1.0,13,114.42,24.149,43.211,47.06,,GF,12,90.14,114.62,59.0,False,362
wec,2024,COTA,Circuit of the Americas,race,847,12,HYPERCAR,Will Stevens,will stevens,15,1.0,14,114.425,24.253,43.25,46.922,,GF,13,90.68,114.62,58.0,False,362
wec,2024,COTA,Circuit of the Americas,race,847,12,HYPERCAR,Will Stevens,will stevens,16,1.0,15,115.096,24.199,43.988,46.909,,GF,14,90.14,115.16,58.0,False,362
wec,2024,COTA,Circuit of the Americas,race,847,12,HYPERCAR,Will Stevens,will stevens,17,1.0,16,114.319,24.168,43.246,46.905,,GF,15,89.78,114.62,59.0,False,362
wec,2024,COTA,Circuit of the Americas,race,847,12,HYPERCAR,Will Stevens,will stevens,18,1.0,17,115.44,24.101,43.368,47.971,,GF,16,89.96,114.44,59.0,False,362
wec,2024,COTA,Circuit of the Americas,race,847,12,HYPERCAR,Will Stevens,will stevens,19,1.0,18,117.723,24.624,44.49,48.609,,GF,17,89.96,116.6,59.0,False,362
wec,2024,COTA,Circuit of the Americas,race,847,12,HYPERCAR,Will Stevens,will stevens,20,1.0,19,114.388,24.174,43.203,47.011,,GF,18,90.14,117.68,58.0,False,362
wec,2024,COTA,Circuit of the Americas,race,847,12,HYPERCAR,Will Stevens,will stevens,21,1.0,20,114.795,24.662,43.251,46.882,,GF,19,90.68,118.94,58.0,False,362
wec,2024,COTA,Circuit of the Americas,race,847,12,HYPERCAR,Will Stevens,will stevens,22,1.0,21,114.356,24.261,43.244,46.851,,GF,20,91.4,119.84,57.0,False,362
wec,2024,COTA,Circuit of the Americas,race,847,12,HYPERCAR,Will Stevens,will stevens,23,1.0,22,113.835,23.944,43.107,46.784,,GF,21,91.4,119.48,56.0,False,362
wec,2024,COTA,Circuit of the Americas,race,847,12,HYPERCAR,Will Stevens,will stevens,24,1.0,23,113.629,24.036,42.942,46.651,,GF,22,90.86,119.66,57.0,False,362
wec,2024,COTA,Circuit of the Americas,race,847,12,HYPERCAR,Will Stevens,will stevens,25,1.0,24,114.807,24.045,43.828,46.934,,GF,23,90.86,120.02,57.0,False,362
wec,2024,COTA,Circuit of the Americas,race,847,12,HYPERCAR,Will Stevens,will stevens,26,1.0,25,113.939,24.101,43.055,46.783,,GF,24,90.86,120.74,57.0,False,362
wec,2024,COTA,Circuit of the Americas,race,847,12,HYPERCAR,Will Stevens,will stevens,27,1.0,26,116.239,24.397,44.735,47.107,,GF,25,91.22,121.28,56.0,False,362
wec,2024,COTA,Circuit of the Americas,race,847,12,HYPERCAR,Will Stevens,will stevens,28,1.0,27,116.707,25.04,44.37,47.297,,GF,26,91.04,121.1,57.0,False,362
wec,2024,COTA,Circuit of the Americas,race,847,12,HYPERCAR,Will Stevens,will stevens,29,1.0,28,113.523,24.014,42.891,46.618,,GF,27,90.5,121.28,57.0,False,362
wec,2024,COTA,Circuit of the Americas,race,847,12,HYPERCAR,Will Stevens,will stevens,30,1.0,29,114.15,23.965,43.375,46.81,,GF,28,90.86,122.36,57.0,False,362
wec,2024,COTA,Circuit of the Americas,race,847,12,HYPERCAR,Will Stevens,will stevens,31,1.0,30,117.434,24.172,43.72,49.542,,GF,29,90.5,121.46,58.0,False,362
wec,2024,COTA,Circuit of the Americas,race,847,12,HYPERCAR,Callum Ilott,callum ilott,32,2.0,0,185.544,93.291,43.814,48.439,72.477,GF,0,91.22,122.54,57.0,False,362
wec,2024,COTA,Circuit of the Americas,race,847,12,HYPERCAR,Callum Ilott,callum ilott,33,2.0,1,117.386,25.106,44.169,48.111,,GF,0,91.04,122.9,57.0,False,362
wec,2024,COTA,Circuit of the Americas,race,847,12,HYPERCAR,Callum Ilott,callum ilott,34,2.0,2,114.415,24.308,43.382,46.725,,GF,1,91.22,122.9,57.0,False,362
wec,2024,COTA,Circuit of the Americas,race,847,12,HYPERCAR,Callum Ilott,callum ilott,35,2.0,3,114.856,24.07,43.393,47.393,,GF,2,90.68,122.18,57.0,False,362
