series_code,year,event,circuit_name,session,session_id,car,class,driver_name,driver_id,lap,stint_number,stint_lap,lap_time,lap_time_s1,lap_time_s2,lap_time_s3,pit_time,flags,est_tire_age,air_temp_f,track_temp_f,humidity_percent,raining,race_duration_minutes
wec,2025,Bahrain,Bahrain International Circuit,race,907,007,HYPERCAR,Harry Tincknell,harry tincknell,1,1.0,0,117.061,37.455,43.579,36.027,,GF,0,85.46,100.76,54.0,False,483
wec,2025,Bahrain,Bahrain International Circuit,race,907,007,HYPERCAR,Harry Tincknell,harry tincknell,2,1.0,1,114.036,35.984,42.69,35.362,,GF,0,84.56,100.76,55.0,False,483
wec,2025,Bahrain,Bahrain International Circuit,race,907,007,HYPERCAR,Harry Tincknell,harry tincknell,3,1.0,2,113.211,35.662,42.144,35.405,,GF,1,84.38,100.76,56.0,False,483
wec,2025,Bahrain,Bahrain International Circuit,race,907,007,HYPERCAR,Harry Tincknell,harry tincknell,4,1.0,3,113.269,36.056,42.007,35.206,,GF,2,84.74,100.76,54.0,False,483
wec,2025,Bahrain,Bahrain International Circuit,race,907,007,HYPERCAR,Harry Tincknell,harry tincknell,5,1.0,4,113.548,35.85,42.377,35.321,,GF,3,83.48,100.58,56.0,False,483
wec,2025,Bahrain,Bahrain International Circuit,race,907,007,HYPERCAR,Harry Tincknell,harry tincknell,6,1.0,5,113.485,35.862,42.104,35.519,,GF,4,84.02,100.4,55.0,False,483
wec,2025,Bahrain,Bahrain International Circuit,race,907,007,HYPERCAR,Harry Tincknell,harry tincknell,7,1.0,6,113.722,36.119,42.337,35.266,,GF,5,83.84,100.04,55.0,False,483
wec,2025,Bahrain,Bahrain International Circuit,race,907,007,HYPERCAR,Harry Tincknell,harry tincknell,8,1.0,7,113.717,35.956,42.429,35.332,,GF,6,84.2,100.04,55.0,False,483
wec,2025,Bahrain,Bahrain International Circuit,race,907,007,HYPERCAR,Harry Tincknell,harry tincknell,9,1.0,8,115.91,36.421,43.455,36.034,,GF,7,83.66,100.04,56.0,False,483
wec,2025,Bahrain,Bahrain International Circuit,race,907,007,HYPERCAR,Harry Tincknell,harry tincknell,10,1.0,9,115.282,36.359,43.035,35.888,,GF,8,84.2,99.86,55.0,False,483
wec,2025,Bahrain,Bahrain International Circuit,race,907,007,HYPERCAR,Harry Tincknell,harry tincknell,11,1.0,10,117.48,37.414,43.463,36.603,,GF,9,84.02,99.86,56.0,False,483
wec,2025,Bahrain,Bahrain International Circuit,race,907,007,HYPERCAR,Harry Tincknell,harry tincknell,12,1.0,11,114.712,36.262,42.762,35.688,,GF,10,84.38,99.86,55.0,False,483
wec,2025,Bahrain,Bahrain International Circuit,race,907,007,HYPERCAR,Harry Tincknell,harry tincknell,13,1.0,12,115.072,36.369,43.018,35.685,,GF,11,84.02,99.68,55.0,False,483
wec,2025,Bahrain,Bahrain International Circuit,race,907,007,HYPERCAR,Harry Tincknell,harry tincknell,14,1.0,13,114.389,36.107,42.605,35.677,,GF,12,84.2,99.5,55.0,False,483
wec,2025,Bahrain,Bahrain International Circuit,race,907,007,HYPERCAR,Harry Tincknell,harry tincknell,15,1.0,14,114.079,36.066,42.442,35.571,,GF,13,84.56,99.5,54.0,False,483
wec,2025,Bahrain,Bahrain International Circuit,race,907,007,HYPERCAR,Harry Tincknell,harry tincknell,16,1.0,15,113.749,36.071,42.425,35.253,,GF,14,85.1,99.14,54.0,False,483
wec,2025,Bahrain,Bahrain International Circuit,race,907,007,HYPERCAR,Harry Tincknell,harry tincknell,17,1.0,16,113.812,36.015,42.379,35.418,,GF,15,83.48,99.14,55.0,False,483
wec,2025,Bahrain,Bahrain International Circuit,race,907,007,HYPERCAR,Harry Tincknell,harry tincknell,18,1.0,17,114.415,36.07,42.711,35.634,,GF,16,83.66,99.14,54.0,False,483
wec,2025,Bahrain,Bahrain International Circuit,race,907,007,HYPERCAR,Harry Tincknell,harry tincknell,19,1.0,18,116.706,36.842,44.002,35.862,,GF,17,83.66,99.14,54.0,False,483
wec,2025,Bahrain,Bahrain International Circuit,race,907,007,HYPERCAR,Harry Tincknell,harry tincknell,20,1.0,19,116.577,36.361,43.126,37.09,,GF,18,84.2,98.96,53.0,False,483
wec,2025,Bahrain,Bahrain International Circuit,race,907,007,HYPERCAR,Harry Tincknell,harry tincknell,21,1.0,20,115.454,36.607,42.75,36.097,,GF,19,84.38,98.78,53.0,False,483
wec,2025,Bahrain,Bahrain International Circuit,race,907,007,HYPERCAR,Harry Tincknell,harry tincknell,22,1.0,21,114.641,36.442,42.694,35.505,,GF,20,84.38,98.96,53.0,False,483
wec,2025,Bahrain,Bahrain International Circuit,race,907,007,HYPERCAR,Harry Tincknell,harry tincknell,23,1.0,22,113.8,35.836,42.468,35.496,,GF,21,84.56,98.96,52.0,False,483
wec,2025,Bahrain,Bahrain International Circuit,race,907,007,HYPERCAR,Harry Tincknell,harry tincknell,24,1.0,23,113.698,35.947,42.413,35.338,,GF,22,84.2,98.78,53.0,False,483
