series_code,year,event,circuit_name,session,session_id,car,class,driver_name,driver_id,lap,stint_number,stint_lap,lap_time,lap_time_s1,lap_time_s2,lap_time_s3,pit_time,flags,est_tire_age,air_temp_f,track_temp_f,humidity_percent,raining,race_duration_minutes
wec,2025,Imola,Autodromo Enzo e Dino Ferrari,race,931,007,HYPERCAR,Harry Tincknell,harry tincknell,1,1.0,0,102.619,22.372,34.127,46.12,,GF,0,69.62,81.5,48.0,False,362
wec,2025,Imola,Autodromo Enzo e Dino Ferrari,race,931,007,HYPERCAR,Harry Tincknell,harry tincknell,2,1.0,1,96.092,19.964,31.564,44.564,,GF,0,69.62,82.04,50.0,False,362
wec,2025,Imola,Autodromo Enzo e Dino Ferrari,race,931,007,HYPERCAR,Harry Tincknell,harry tincknell,3,1.0,2,95.02,19.584,31.338,44.098,,GF,1,69.44,82.4,49.0,False,362
wec,2025,Imola,Autodromo Enzo e Dino Ferrari,race,931,007,HYPERCAR,Harry Tincknell,harry tincknell,4,1.0,3,95.187,19.52,31.411,44.256,,GF,2,70.16,82.4,48.0,False,362
wec,2025,Imola,Autodromo Enzo e Dino Ferrari,race,931,007,HYPERCAR,Harry Tincknell,harry tincknell,5,1.0,4,95.311,19.604,31.354,44.353,,GF,3,69.8,81.86,49.0,False,362
wec,2025,Imola,Autodromo Enzo e Dino Ferrari,race,931,007,HYPERCAR,Harry Tincknell,harry tincknell,6,1.0,5,95.247,19.514,31.272,44.461,,GF,4,69.8,81.68,49.0,False,362
wec,2025,Imola,Autodromo Enzo e Dino Ferrari,race,931,007,HYPERCAR,Harry Tincknell,harry tincknell,7,1.0,6,95.311,19.459,31.482,44.37,,GF,5,69.62,81.14,48.0,False,362
wec,2025,Imola,Autodromo Enzo e Dino Ferrari,race,931,007,HYPERCAR,Harry Tincknell,harry tincknell,8,1.0,7,95.571,19.588,31.413,44.57,,GF,6,68.72,80.78,49.0,False,362
wec,2025,Imola,Autodromo Enzo e Dino Ferrari,race,931,007,HYPERCAR,Harry Tincknell,harry tincknell,9,1.0,8,95.972,19.443,31.398,45.131,,GF,7,68.36,80.06,50.0,False,362
wec,2025,Imola,Autodromo Enzo e Dino Ferrari,race,931,007,HYPERCAR,Harry Tincknell,harry tincknell,10,1.0,9,96.966,20.252,32.118,44.596,,GF,8,68.54,79.7,51.0,False,362
wec,2025,Imola,Autodromo Enzo e Dino Ferrari,race,931,007,HYPERCAR,Harry Tincknell,harry tincknell,11,1.0,10,96.909,19.906,32.137,44.866,,GF,9,68.9,79.7,50.0,False,362
wec,2025,Imola,Autodromo Enzo e Dino Ferrari,race,931,007,HYPERCAR,Harry Tincknell,harry tincknell,12,1.0,11,97.075,20.065,32.085,44.925,,GF,10,68.72,79.34,50.0,False,362
wec,2025,Imola,Autodromo Enzo e Dino Ferrari,race,931,007,HYPERCAR,Harry Tincknell,harry tincknell,13,1.0,12,95.692,19.629,31.421,44.642,,GF,11,68.72,79.34,50.0,False,362
wec,2025,Imola,Autodromo Enzo e Dino Ferrari,race,931,007,HYPERCAR,Harry Tincknell,harry tincknell,14,1.0,13,95.937,19.671,31.578,44.688,,GF,12,69.62,79.34,50.0,False,362
wec,2025,Imola,Autodromo Enzo e Dino Ferrari,race,931,007,HYPERCAR,Harry Tincknell,harry tincknell,15,1.0,14,95.722,19.587,31.549,44.586,,GF,13,69.26,78.98,51.0,False,362
wec,2025,Imola,Autodromo Enzo e Dino Ferrari,race,931,007,HYPERCAR,Harry Tincknell,harry tincknell,16,1.0,15,95.658,19.654,31.454,44.55,,GF,14,69.44,79.16,50.0,False,362
