series_code,year,event,circuit_name,session,session_id,car,class,driver_name,driver_id,lap,stint_number,stint_lap,lap_time,lap_time_s1,lap_time_s2,lap_time_s3,pit_time,flags,est_tire_age,air_temp_f,track_temp_f,humidity_percent,raining,race_duration_minutes
wec,2025,Interlagos,Autodromo Jose Carlos Pace,race,965,007,HYPERCAR,Tom Gamble,tom gamble,1,1.0,0,94.7,27.3,47.321,20.079,,GF,0,70.88,84.74,45.0,False,362
wec,2025,Interlagos,Autodromo Jose Carlos Pace,race,965,007,HYPERCAR,Tom Gamble,tom gamble,2,1.0,1,88.547,22.677,45.91,19.96,,GF,0,71.06,85.28,45.0,False,362
wec,2025,Interlagos,Autodromo Jose Carlos Pace,race,965,007,HYPERCAR,Tom Gamble,tom gamble,3,1.0,2,87.944,22.627,45.366,19.951,,GF,1,71.96,85.46,46.0,False,362
wec,2025,Interlagos,Autodromo Jose Carlos Pace,race,965,007,HYPERCAR,Tom Gamble,tom gamble,4,1.0,3,87.45,22.394,45.088,19.968,,GF,2,71.6,85.64,44.0,False,362
wec,2025,Interlagos,Autodromo Jose Carlos Pace,race,965,007,HYPERCAR,Tom Gamble,tom gamble,5,1.0,4,87.541,22.346,45.2,19.995,,GF,3,71.6,86.18,44.0,False,362
wec,2025,Interlagos,Autodromo Jose Carlos Pace,race,965,007,HYPERCAR,Tom Gamble,tom gamble,6,1.0,5,87.935,22.38,45.427,20.128,,GF,4,71.78,86.18,43.0,False,362
wec,2025,Interlagos,Autodromo Jose Carlos Pace,race,965,007,HYPERCAR,Tom Gamble,tom gamble,7,1.0,6,87.755,22.335,45.383,20.037,,GF,5,72.32,86.36,42.0,False,362
wec,2025,Interlagos,Autodromo Jose Carlos Pace,race,965,007,HYPERCAR,Tom Gamble,tom gamble,8,1.0,7,87.441,22.267,45.13,20.044,,GF,6,72.5,86.36,43.0,False,362
wec,2025,Interlagos,Autodromo Jose Carlos Pace,race,965,007,HYPERCAR,Tom Gamble,tom gamble,9,1.0,8,87.77,22.344,45.377,20.049,,GF,7,72.86,86.9,41.0,False,362
wec,2025,Interlagos,Autodromo Jose Carlos Pace,race,965,007,HYPERCAR,Tom Gamble,tom gamble,10,1.0,9,91.622,22.985,48.354,20.283,,GF,8,72.14,86.9,40.0,False,362
wec,2025,Interlagos,Autodromo Jose Carlos Pace,race,965,007,HYPERCAR,Tom Gamble,tom gamble,11,1.0,10,89.951,22.791,46.852,20.308,,GF,9,71.06,86.36,41.0,False,362
wec,2025,Interlagos,Autodromo Jose Carlos Pace,race,965,007,HYPERCAR,Tom Gamble,tom gamble,12,1.0,11,87.599,22.37,45.172,20.057,,GF,10,71.42,86.54,41.0,False,362
wec,2025,Interlagos,Autodromo Jose Carlos Pace,race,965,007,HYPERCAR,Tom Gamble,tom gamble,13,1.0,12,87.203,22.118,45.098,19.987,,GF,11,71.78,86.36,40.0,False,362
wec,2025,Interlagos,Autodromo Jose Carlos Pace,race,965,007,HYPERCAR,Tom Gamble,tom gamble,14,1.0,13,87.411,22.287,45.167,19.957,,GF,12,71.78,86.36,41.0,False,362
wec,2025,Interlagos,Autodromo Jose Carlos Pace,race,965,007,HYPERCAR,Tom Gamble,tom gamble,15,1.0,14,87.434,22.155,45.269,20.01,,GF,13,71.96,86.54,42.0,False,362
wec,2025,Interlagos,Autodromo Jose Carlos Pace,race,965,007,HYPERCAR,Tom Gamble,tom gamble,16,1.0,15,87.686,22.292,45.344,20.05,,GF,14,71.42,86.36,42.0,False,362
wec,2025,Interlagos,Autodromo Jose Carlos Pace,race,965,007,HYPERCAR,Tom Gamble,tom gamble,17,1.0,16,87.815,22.462,45.303,20.05,,GF,15,71.42,86.18,43.0,False,362
wec,2025,Interlagos,Autodromo Jose Carlos Pace,race,965,007,HYPERCAR,Tom Gamble,tom gamble,18,1.0,17,87.677,22.34,45.274,20.063,,GF,16,70.52,85.46,45.0,False,362
wec,2025,Interlagos,Autodromo Jose Carlos Pace,race,965,007,HYPERCAR,Tom Gamble,tom gamble,19,1.0,18,88.158,22.284,45.72,20.154,,GF,17,70.7,85.46,45.0,False,362
wec,2025,Interlagos,Autodromo Jose Carlos Pace,race,965,007,HYPERCAR,Tom Gamble,tom gamble,20,1.0,19,89.202,22.843,46.074,20.285,,GF,18,70.88,85.64,43.0,False,362
wec,2025,Interlagos,Autodromo Jose Carlos Pace,race,965,007,HYPERCAR,Tom Gamble,tom gamble,21,1.0,20,88.857,22.463,46.171,20.223,,GF,19,70.52,86.0,44.0,False,362
wec,2025,Interlagos,Autodromo Jose Carlos Pace,race,965,007,HYPERCAR,Tom Gamble,tom gamble,22,1.0,21,88.649,22.648,45.936,20.065,,GF,20,70.34,86.18,44.0,False,362
wec,2025,Interlagos,Autodromo Jose Carlos Pace,race,965,007,HYPERCAR,Tom Gamble,tom gamble,23,1.0,22,87.985,22.516,45.455,20.014,,GF,21,71.24,86.18,44.0,False,362
wec,2025,Interlagos,Autodromo Jose Carlos Pace,race,965,007,HYPERCAR,Tom Gamble,tom gamble,24,1.0,23,87.943,22.445,45.513,19.985,,GF,22,70.34,86.36,44.0,False,362
wec,2025,Interlagos,Autodromo Jose Carlos Pace,race,965,007,HYPERCAR,Tom Gamble,tom gamble,25,1.0,24,87.658,22.454,45.217,19.987,,GF,23,70.16,86.36,45.0,False,362
wec,2025,Interlagos,Autodromo Jose Carlos Pace,race,965,007,HYPERCAR,Tom Gamble,tom gamble,26,1.0,25,87.669,22.296,45.398,19.975,,GF,24,71.24,86.18,45.0,False,362
wec,2025,Interlagos,Autodromo Jose Carlos Pace,race,965,007,HYPERCAR,Tom Gamble,tom gamble,27,1.0,26,87.819,22.341,45.421,20.057,,GF,25,72.5,86.18,43.0,False,362
wec,2025,Interlagos,Autodromo Jose Carlos Pace,race,965,007,HYPERCAR,Tom Gamble,tom gamble,28,1.0,27,88.116,22.419,45.616,20.081,,GF,26,70.88,86.36,44.0,False,362
wec,2025,Interlagos,Autodromo Jose Carlos Pace,race,965,007,HYPERCAR,Tom Gamble,tom gamble,29,1.0,28,88.048,22.176,45.867,20.005,,GF,27,69.8,86.36,47.0,False,362
wec,2025,Interlagos,Autodromo Jose Carlos Pace,race,965,007,HYPERCAR,Tom Gamble,tom gamble,30,1.0,29,88.738,22.371,46.318,20.049,,GF,28,70.7,86.36,47.0,False,362
wec,2025,Interlagos,Autodromo Jose Carlos Pace,race,965,007,HYPERCAR,Tom Gamble,tom gamble,31,1.0,30,89.46,22.636,46.585,20.239,,GF,29,70.88,86.36,45.0,False,362
wec,2025,Interlagos,Autodromo Jose Carlos Pace,race,965,007,HYPERCAR,Tom Gamble,tom gamble,32,1.0,31,87.631,22.25,45.283,20.098,,GF,30,71.42,86.54,46.0,False,362
wec,2025,Interlagos,Autodromo Jose Carlos Pace,race,965,007,HYPERCAR,Tom Gamble,tom gamble,33,1.0,32,87.753,22.308,45.381,20.064,,GF,31,72.68,87.26,45.0,False,362
wec,2025,Interlagos,Autodromo Jose Carlos Pace,race,965,007,HYPERCAR,Tom Gamble,tom gamble,34,1.0,33,87.314,22.193,45.088,20.033,,GF,32,72.32,87.44,46.0,False,362
wec,2025,Interlagos,Autodromo Jose Carlos Pace,race,965,007,HYPERCAR,Tom Gamble,tom gamble,35,1.0,34,87.32,22.302,45.052,19.966,,GF,33,73.58,87.98,45.0,False,362
wec,2025,Interlagos,Autodromo Jose Carlos Pace,race,965,007,HYPERCAR,Tom Gamble,tom gamble,36,1.0,35,87.422,22.179,45.182,20.061,,GF,34,72.68,88.16,46.0,False,362
