dimension,group,n_entries,n_classified,finish_rate,lo95,hi95
class,CDNT,3,1,0.375,0.0387,0.8233
class,LMP1,491,404,0.8222,0.7872,0.8546
class,INNOVATIVE CAR,2,2,0.8333,0.3332,0.9998
class,LMP2,977,833,0.8522,0.8294,0.8738
class,LMGTE Am,843,731,0.8667,0.843,0.8888
class,HYPERCAR,140,123,0.8759,0.8169,0.9248
class,LMGTE Pro,579,517,0.8922,0.8658,0.9161
duration,4h,62,59,0.9444,0.8765,0.9862
duration,6h,1929,1747,0.9054,0.892,0.9181
duration,8h,253,237,0.935,0.9017,0.9619
duration,12h,29,25,0.85,0.7046,0.9516
duration,24h,762,543,0.7123,0.6797,0.7439
